Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Tip kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;---------------------;--------------;-------------------;--------------------;------------------------
;0000-00;NULL;NULL;NULL;12500013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12500013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12503003;NULL;NULL;NULL;0
;0000-00;2;NULL;NULL;12503003;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12548013;6;NULL;1500.00;0
;0000-00;NULL;NULL;NULL;12548013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12548013;6;NULL;1500.00;0
;0000-00;1;NULL;NULL;12548013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12559013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12560013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12561013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12579016;6;NULL;.00;0
;0000-00;1;NULL;NULL;12579016;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;40.46;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;200.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;70.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;1000.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;226.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;10.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;4874.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
