ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
12463890;NULL;;;D0070;1
11546266;0;;;D0070;1
11549826;0;;;D0070;1
11551586;0;;;D0070;1
11552165;0;;;D0070;1
11552191;0;;;D0070;1
11559107;0;;;D0070;1
11559146;0;;;D0070;1
11562712;0;;;D0070;1
11562775;0;;;D0070;1
11562822;0;;;D0070;1
12512920;NULL;;;D0070;1
11566323;0;;;D0070;1
11566579;0;;;D0070;1
11579557;0;;;D0070;1
11580007;0;;;D0070;1
11580029;0;;;D0070;1
11580776;0;;;D0070;1
11595317;0;;;D0070;1
11595323;0;;;D0070;1
11578829;0;;;D0070;1
11578855;0;;;D0070;1
11605395;0;;;D0070;1
11609876;0;;;D0070;1
11610002;0;;;D0070;1
11616342;0;;;D0070;1
11616499;0;;;D0070;1
11618465;0;;;D0070;1
11618701;0;;;D0070;1
11619520;0;;;D0070;1
11636598;0;;;D0070;1
11642350;0;;;D0070;1
11642383;0;;;D0070;1
11655250;0;;;D0070;1
11655371;0;;;D0070;1
11655406;0;;;D0070;1
11662785;0;;;D0070;1
11690655;0;;;D0070;1
11690829;0;;;D0070;1
11691187;0;;;D0070;1
11693162;0;;;D0070;1
11693199;0;;;D0070;1
11694091;0;;;D0070;1
11697761;0;;;D0070;1
11701105;0;;;D0070;1
11701227;0;;;D0070;1
11701250;0;;;D0070;1
11701274;0;;;D0070;1
11671776;0;;;D0070;1
11671843;0;;;D0070;1
11674976;0;;;D0070;1
11678527;0;;;D0070;1
11678948;0;;;D0070;1
11706136;0;;;D0070;1
11707433;0;;;D0070;1
11719799;0;;;D0070;1
11721835;0;;;D0070;1
11725005;0;;;D0070;1
11740108;0;;;D0070;1
11740212;0;;;D0070;1
11740309;0;;;D0070;1
11740384;0;;;D0070;1
11744653;0;;;D0070;1
11752302;0;;;D0070;1
11753431;0;;;D0070;1
11755153;0;;;D0070;1
