ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
11536666;NULL;;;D0070;1
11566900;NULL;;;D0070;1
11588574;NULL;;;D0070;1
11588652;NULL;;;D0070;1
11588690;NULL;;;D0070;1
11588712;NULL;;;D0070;1
11588787;NULL;;;D0070;1
11588854;NULL;;;D0070;1
11601517;NULL;;;D0070;1
11601580;NULL;;;D0070;1
11601653;NULL;;;D0070;1
11601685;NULL;;;D0070;1
11601760;NULL;;;D0070;1
11601819;NULL;;;D0070;1
11601857;NULL;;;D0070;1
11643249;NULL;;;D0070;1
11643301;NULL;;;D0070;1
11657453;NULL;;;D0070;1
11705128;NULL;;;D0070;1
11707892;NULL;;;D0070;1
11724479;NULL;;;D0070;1
11724526;NULL;;;D0070;1
11724927;NULL;;;D0070;1
11729209;NULL;;;D0070;1
11738841;NULL;;;D0070;1
11683906;NULL;;;D0070;1
11683940;NULL;;;D0070;1
11749341;NULL;;;D0070;1
11749571;NULL;;;D0070;1
11749601;NULL;;;D0070;1
11770989;NULL;;;D0070;1
11771030;NULL;;;D0070;1
11771071;NULL;;;D0070;1
11771136;NULL;;;D0070;1
11771162;NULL;;;D0070;1
11771287;NULL;;;D0070;1
11771358;NULL;;;D0070;1
11771403;NULL;;;D0070;1
11771485;NULL;;;D0070;1
11784614;NULL;;;D0070;1
11784660;NULL;;;D0070;1
11784686;NULL;;;D0070;1
11785015;NULL;;;D0070;1
11787809;NULL;;;D0070;1
11787885;NULL;;;D0070;1
11787952;NULL;;;D0070;1
11805904;NULL;;;D0070;1
11805959;NULL;;;D0070;1
11806073;NULL;;;D0070;1
11630717;NULL;;;D0070;1
11819861;NULL;;;D0070;1
11819886;NULL;;;D0070;1
11823515;NULL;;;D0070;1
11823603;NULL;;;D0070;1
11829359;NULL;;;D0070;1
11829423;NULL;;;D0070;1
11836136;NULL;;;D0070;1
11844324;NULL;;;D0070;1
11844391;NULL;;;D0070;1
11844442;NULL;;;D0070;1
11852045;NULL;;;D0070;1
11852092;NULL;;;D0070;1
11852260;NULL;;;D0070;1
11868739;NULL;;;D0070;1
11868761;NULL;;;D0070;1
11868796;NULL;;;D0070;1
11868813;NULL;;;D0070;1
11868853;NULL;;;D0070;1
11869850;NULL;;;D0070;1
11893880;NULL;;;D0070;1
11893931;NULL;;;D0070;1
11894029;NULL;;;D0070;1
11894168;NULL;;;D0070;1
11935298;NULL;;;D0070;1
11935317;NULL;;;D0070;1
11935324;NULL;;;D0070;1
11935549;NULL;;;D0070;1
11935573;NULL;;;D0070;1
11949758;NULL;;;D0070;1
11949796;NULL;;;D0070;1
11949906;NULL;;;D0070;1
11950430;NULL;;;D0070;1
11954485;NULL;;;D0070;1
11954513;NULL;;;D0070;1
11975514;NULL;;;D0070;1
11975564;NULL;;;D0070;1
11975578;NULL;;;D0070;1
11975609;NULL;;;D0070;1
11985848;NULL;;;D0070;1
11874931;NULL;;;D0070;1
11931864;NULL;;;D0070;1
11932076;NULL;;;D0070;1
11990882;NULL;;;D0070;1
11990904;NULL;;;D0070;1
11991033;NULL;;;D0070;1
12058709;NULL;;;D0070;1
12059704;NULL;;;D0070;1
12059714;NULL;;;D0070;1
12334661;NULL;;;D0070;1
12345144;NULL;;;D0070;1
12346415;NULL;;;D0070;1
12346457;NULL;;;D0070;1
12346506;NULL;;;D0070;1
12346549;NULL;;;D0070;1
12346708;NULL;;;D0070;1
12346835;NULL;;;D0070;1
12283119;NULL;;;D0070;1
12294381;NULL;;;D0070;1
12294470;NULL;;;D0070;1
12295059;NULL;;;D0070;1
12299022;NULL;;;D0070;1
12301225;NULL;;;D0070;1
12325451;NULL;;;D0070;1
12325476;NULL;;;D0070;1
12361957;NULL;;;D0070;1
12362134;NULL;;;D0070;1
12362176;NULL;;;D0070;1
12379505;NULL;;;D0070;1
12379564;NULL;;;D0070;1
12379964;NULL;;;D0070;1
12379996;NULL;;;D0070;1
12380121;NULL;;;D0070;1
12388071;NULL;;;D0070;1
12402930;NULL;;;D0070;1
12403009;NULL;;;D0070;1
12403055;NULL;;;D0070;1
12403129;NULL;;;D0070;1
12416070;NULL;;;D0070;1
12416226;NULL;;;D0070;1
12429466;NULL;;;D0070;1
12433789;NULL;;;D0070;1
12459651;NULL;;;D0070;1
12459770;NULL;;;D0070;1
12485049;NULL;;;D0070;1
12485057;NULL;;;D0070;1
12485074;NULL;;;D0070;1
12485773;NULL;;;D0070;1
12485826;NULL;;;D0070;1
11985829;0;;;D0070;1
12225316;0;;;D0070;1
12226206;0;;;D0070;1
12505667;NULL;;;D0070;1
12505684;NULL;;;D0070;1
12505697;NULL;;;D0070;1
12508895;NULL;;;D0070;1
12525244;NULL;;;D0070;1
12075099;1;;;D0070;1
12075117;1;;;D0070;1
12075125;1;;;D0070;1
12075142;1;;;D0070;1
12095824;1;;;D0070;1
12095867;1;;;D0070;1
12100783;1;;;D0070;1
12100822;1;;;D0070;1
12100842;1;;;D0070;1
12100858;1;;;D0070;1
12109214;1;;;D0070;1
12109250;1;;;D0070;1
12109280;1;;;D0070;1
12127134;1;;;D0070;1
12130840;1;;;D0070;1
12130877;1;;;D0070;1
12130899;1;;;D0070;1
12130919;1;;;D0070;1
12262160;1;;;D0070;1
12262224;1;;;D0070;1
12262377;1;;;D0070;1
12058133;3;;;D0070;1
12058247;3;;;D0070;1
12164304;3;;;D0070;1
12250547;3;;;D0070;1
12070519;2;;;D0070;1
12070536;2;;;D0070;1
12070569;2;;;D0070;1
12070634;2;;;D0070;1
12070684;2;;;D0070;1
12070715;2;;;D0070;1
12070760;2;;;D0070;1
12129937;2;;;D0070;1
12129953;2;;;D0070;1
12129975;2;;;D0070;1
12130738;2;;;D0070;1
12130759;2;;;D0070;1
12130792;2;;;D0070;1
12222412;2;;;D0070;1
12245625;2;;;D0070;1
12245665;2;;;D0070;1
12245725;2;;;D0070;1
12245779;2;;;D0070;1
12245823;2;;;D0070;1
12247441;2;;;D0070;1
12061882;4;;;D0070;1
12061913;4;;;D0070;1
12063494;4;;;D0070;1
12090107;4;;;D0070;1
12090134;4;;;D0070;1
12115999;4;;;D0070;1
12116020;4;;;D0070;1
12169906;4;;;D0070;1
12250585;4;;;D0070;1
12154061;5;;;D0070;1
12195723;5;;;D0070;1
12195976;5;;;D0070;1
12196123;5;;;D0070;1
12218814;5;;;D0070;1
12154806;6;;;D0070;1
12154841;6;;;D0070;1
12154887;6;;;D0070;1
12195106;6;;;D0070;1
12195200;6;;;D0070;1
12218787;6;;;D0070;1
12058705;8;;;D0070;1
12058707;8;;;D0070;1
12058715;10;;;D0070;1
12059195;15;;;D0070;1
12059726;16;;;D0070;1
12059731;24;;;D0070;1
12059738;24;;;D0070;1
12059744;24;;;D0070;1
12059747;24;;;D0070;1
12059781;24;;;D0070;1
12051538;29;;;D0070;1
11964607;48;;;D0070;1
11544003;77;;;D0070;1
11845635;91;;;D0070;1
11976982;105;;;D0070;1
12059793;241;;;D0070;1
12469621;0;;;D1552;1
12469781;0;;;D0073;1
12483528;0;;;D0073;1
12488232;0;;;D0073;1
11523694;0;;;D0073;1
11543946;0;;;D0073;1
11544032;0;;;D0073;1
12238862;0;;;D0073;1
12251038;0;;;D0073;1
12350611;0;;;D0073;1
12360350;0;;;D0073;1
12390720;0;;;D0073;1
12407428;0;;;D0073;1
12427115;0;;;D0073;1
12444320;0;;;D0073;1
12444428;0;;;D0073;1
12444428;0;;;D0073;1
12444428;0;;;D0073;1
12444428;0;;;D0073;1
12444428;0;;;D0073;1
12444428;0;;;D0073;1
12469505;0;;;D0073;1
12007298;0;;;D0073;1
12007319;0;;;D0073;1
12020319;0;;;D0073;1
12044858;0;;;D0073;1
12044888;0;;;D0073;1
12044931;0;;;D0073;1
12102967;0;;;D0073;1
12102967;0;;;D0073;1
12102967;0;;;D0073;1
12104970;0;;;D0073;1
12110658;0;;;D0073;1
12116830;0;;;D0073;1
12116885;0;;;D0073;1
12150716;0;;;D0073;1
12170043;0;;;D0073;1
12186140;0;;;D0073;1
11568538;0;;;D0073;1
11578967;0;;;D0073;1
11579019;0;;;D0073;1
11588010;0;;;D0073;1
11648932;0;;;D0073;1
11649758;0;;;D0073;1
11649758;0;;;D0073;1
11662206;0;;;D0073;1
11662206;0;;;D0073;1
11689531;0;;;D0073;1
11716277;0;;;D0073;1
11724591;0;;;D0073;1
11724591;0;;;D0073;1
11724591;0;;;D0073;1
11724591;0;;;D0073;1
11739958;0;;;D0073;1
11752626;0;;;D0073;1
11752626;0;;;D0073;1
11752626;0;;;D0073;1
11752626;0;;;D0073;1
11752811;0;;;D0073;1
11765027;0;;;D0073;1
11781264;0;;;D0073;1
11791534;0;;;D0073;1
11848549;0;;;D0073;1
11890136;0;;;D0073;1
11896339;0;;;D0073;1
11927200;0;;;D0073;1
12273818;1;;;D0073;1
12278747;1;;;D0073;1
11950196;1;;;D0073;1
