ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
11592800;NULL;;;D0070;1
11632178;NULL;;;D0070;1
11632428;NULL;;;D0070;1
11632669;NULL;;;D0070;1
11647517;NULL;;;D0070;1
11647525;NULL;;;D0070;1
11793498;NULL;;;D0070;1
11763425;NULL;;;D0070;1
11851852;NULL;;;D0070;1
12148979;NULL;;;D0070;1
12154265;NULL;;;D0070;1
12267931;NULL;;;D0070;1
12276558;NULL;;;D0070;1
12321424;NULL;;;D0070;1
11591651;NULL;;;D0070;1
12316511;NULL;;;D0070;1
12449744;NULL;;;D0070;1
12467701;NULL;;;D0070;1
11535128;0;;;D0070;1
11535164;0;;;D0070;1
11566192;0;;;D0070;1
11566214;0;;;D0070;1
11609853;0;;;D0070;1
11609980;0;;;D0070;1
11610045;0;;;D0070;1
11659635;0;;;D0070;1
11664498;0;;;D0070;1
11688641;0;;;D0070;1
11797119;0;;;D0070;1
11797254;0;;;D0070;1
11797290;0;;;D0070;1
11797316;0;;;D0070;1
11797341;0;;;D0070;1
11797386;0;;;D0070;1
11858671;0;;;D0070;1
11864829;0;;;D0070;1
11864875;0;;;D0070;1
11927962;0;;;D0070;1
11928048;0;;;D0070;1
11928174;0;;;D0070;1
12162428;0;;;D0070;1
11751195;0;;;D0070;1
11751252;0;;;D0070;1
12237505;0;;;D0070;1
12237580;0;;;D0070;1
12238975;0;;;D0070;1
12239037;0;;;D0070;1
12239078;0;;;D0070;1
12239445;0;;;D0070;1
12239548;0;;;D0070;1
12239589;0;;;D0070;1
12329263;0;;;D0070;1
12431088;0;;;D0070;1
12431124;0;;;D0070;1
12438262;0;;;D0070;1
12438288;0;;;D0070;1
12438940;0;;;D0070;1
12464446;0;;;D0070;1
12464899;0;;;D0070;1
12490951;0;;;D0070;1
11622084;1;;;D0070;1
11622245;1;;;D0070;1
11622401;1;;;D0070;1
11622659;1;;;D0070;1
11634678;1;;;D0070;1
11634940;1;;;D0070;1
11635175;1;;;D0070;1
11635230;1;;;D0070;1
11685662;1;;;D0070;1
11685722;1;;;D0070;1
11685765;1;;;D0070;1
12454447;0;;;D0070;1
11572962;1;;;D0070;1
11659534;1;;;D0070;1
11719347;1;;;D0070;1
11765380;1;;;D0070;1
11765560;1;;;D0070;1
11743878;1;;;D0070;1
11743894;1;;;D0070;1
11931513;1;;;D0070;1
11931568;1;;;D0070;1
11980211;1;;;D0070;1
11991940;1;;;D0070;1
11992023;1;;;D0070;1
11992225;1;;;D0070;1
11992332;1;;;D0070;1
11997933;1;;;D0070;1
12321226;1;;;D0070;1
12362026;1;;;D0070;1
12362063;1;;;D0070;1
12405755;1;;;D0070;1
12436538;1;;;D0070;1
12436583;1;;;D0070;1
12244883;1;;;D0070;1
12461814;1;;;D0070;1
12166445;1;;;D0070;1
11574461;2;;;D0070;1
11596612;2;;;D0070;1
11606797;2;;;D0070;1
11606854;2;;;D0070;1
11664333;2;;;D0070;1
11743822;2;;;D0070;1
11789479;2;;;D0070;1
11789513;2;;;D0070;1
11855344;2;;;D0070;1
11855399;2;;;D0070;1
11884558;2;;;D0070;1
11884615;2;;;D0070;1
