Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Tip kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;---------------------;--------------;-------------------;--------------------;------------------------
;0000-00;2;NULL;NULL;12548034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12548034;6;NULL;.00;0
;0000-00;1;NULL;NULL;12543013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12543013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;422.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;2900.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;500.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;7922.27;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;7922.27;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;7922.27;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;422.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;7922.27;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;7922.27;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;2900.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;422.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;422.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;7922.27;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;422.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;2900.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;800.00;0
;0000-00;1;NULL;NULL;12596013;NULL;NULL;NULL;0
