ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
11564005;NULL;;;D0070;1
11579858;NULL;;;D0070;1
11551104;NULL;;;D0070;1
11607892;NULL;;;D0070;1
11659265;NULL;;;D0070;1
11754974;NULL;;;D0070;1
11914617;NULL;;;D0070;1
11859621;NULL;;;D0070;1
11989238;NULL;;;D0070;1
12011680;NULL;;;D0070;1
12023365;NULL;;;D0070;1
12266377;NULL;;;D0070;1
11783786;NULL;;;D0070;1
12161837;NULL;;;D0070;1
12447323;NULL;;;D0070;1
12380087;NULL;;;D0070;1
11550928;0;;;D0070;1
11551236;0;;;D0070;1
11592670;0;;;D0070;1
11602555;0;;;D0070;1
11700823;0;;;D0070;1
11704580;0;;;D0070;1
11708722;0;;;D0070;1
11708782;0;;;D0070;1
11709553;0;;;D0070;1
11714699;0;;;D0070;1
11714727;0;;;D0070;1
11714756;0;;;D0070;1
11718009;0;;;D0070;1
11718145;0;;;D0070;1
11718403;0;;;D0070;1
11723188;0;;;D0070;1
11724071;0;;;D0070;1
11725932;0;;;D0070;1
11727773;0;;;D0070;1
11580101;0;;;D0070;1
11743788;0;;;D0070;1
11767656;0;;;D0070;1
11780283;0;;;D0070;1
11783111;0;;;D0070;1
11783734;0;;;D0070;1
11783753;0;;;D0070;1
11784008;0;;;D0070;1
11792722;0;;;D0070;1
11795682;0;;;D0070;1
11797691;0;;;D0070;1
11798267;0;;;D0070;1
11798303;0;;;D0070;1
11799795;0;;;D0070;1
11799814;0;;;D0070;1
11810799;0;;;D0070;1
11747028;0;;;D0070;1
11753017;0;;;D0070;1
11755125;0;;;D0070;1
11755400;0;;;D0070;1
11755482;0;;;D0070;1
11824579;0;;;D0070;1
