ID,OE,Prisotnost
,ODT LJ,213
,ODT LJ,180
,ODT LJ,220
,ODT LJ,69
,ODT LJ,219
,ODT LJ,0
,ODT LJ,200
,ODT LJ,175.5
,ODT LJ,207
,ODT LJ,216
,ODT LJ,67
,ODT LJ,211
,ODT LJ,209
,ODT LJ,220
,ODT LJ,66
,ODT LJ,209
,ODT LJ,205
,ODT LJ,66
,ODT LJ,65
,ODT LJ,213
,ODT LJ,213
,ODT LJ,210
,ODT LJ,215
,ODT LJ,214
,ODT LJ,216
,ODT LJ,62
,ODT LJ,222
,ODT LJ,215
,ODT LJ,215
,ODT LJ,174
,ODT LJ,70
,ODT LJ,216
,ODT LJ,214
,ODT LJ,203
,ODT LJ,216
,ODT LJ,0
,ODT LJ,163
,ODT LJ,66
,ODT LJ,201
,ODT LJ,57
,ODT LJ,215
,ODT LJ,227
,ODT LJ,219
,ODT LJ,219
,ODT LJ,176
,ODT LJ,68
,ODT LJ,213
,ODT LJ,210
,ODT LJ,217
,ODT LJ,214
