Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Tip kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;---------------------;--------------;-------------------;--------------------;------------------------
;0000-00;NULL;NULL;m;12628013;6;NULL;150.00;0
;0000-00;NULL;NULL;m;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12628013;6;NULL;507.60;0
;0000-00;NULL;NULL;m;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;m;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;m;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;m;12628013;6;NULL;mar.76;0
;0000-00;NULL;NULL;m;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;m;12628013;6;NULL;.00;0
;0000-00;1;NULL;m;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12628013;6;NULL;500.00;0
;0000-00;NULL;NULL;m;12657013;6;NULL;50.00;0
;0000-00;NULL;NULL;m;12657013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12657013;6;NULL;3000.00;0
;0000-00;NULL;NULL;m;12657013;6;NULL;.00;0
;0000-00;0;NULL;m;12657013;6;NULL;.00;0
;0000-00;1;NULL;m;12658003;6;NULL;.00;0
;0000-00;NULL;NULL;m;12658003;3;NULL;.00;0
;0000-00;1;NULL;m;12658003;6;NULL;.00;0
;0000-00;0;NULL;m;12658003;6;NULL;3571.55;0
;0000-00;0;NULL;m;12658003;6;NULL;.00;0
;0000-00;1;NULL;m;12658003;6;NULL;.00;0
;0000-00;0;NULL;m;12657127;6;NULL;5500.00;0
;0000-00;NULL;NULL;m;12657127;6;NULL;apr.49;0
;0000-00;NULL;NULL;m;12658003;NULL;NULL;NULL;0
;0000-00;NULL;NULL;m;12658003;NULL;NULL;.00;0
;0000-00;NULL;NULL;m;12657013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12657013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12658003;6;NULL;.00;0
;0000-00;1;NULL;m;12658003;2;NULL;.00;0
;0000-00;NULL;NULL;m;12658003;6;NULL;.00;0
;0000-00;NULL;NULL;m;12658003;6;NULL;37570.78;0
;0000-00;1;NULL;m;12658003;6;NULL;.00;0
;0000-00;1;NULL;m;12658003;6;NULL;.00;0
;0000-00;1;NULL;m;12658006;NULL;NULL;NULL;0
;0000-00;NULL;NULL;m;12658006;NULL;NULL;NULL;0
;0000-00;NULL;21;m;12604024;NULL;NULL;NULL;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;1;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;10.jan;0
;0000-00;NULL;21;m;12604024;6;NULL;6030.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;1;21;m;12604024;6;NULL;.00;0
;0000-00;1;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;400.00;0
;0000-00;1;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;NULL;NULL;NULL;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;1;21;m;12604024;6;NULL;.00;0
;0000-00;1;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;1;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;1;21;m;12604024;6;NULL;29.97;0
;0000-00;NULL;21;m;12604024;6;NULL;29.97;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;NULL;NULL;NULL;0
;0000-00;NULL;21;m;12604024;6;NULL;1000.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;1;21;m;12604024;6;NULL;.00;0
;0000-00;2;21;m;12604024;NULL;NULL;NULL;0
;0000-00;1;21;m;12604024;6;NULL;.00;0
;0000-00;1;21;m;12604024;6;NULL;889.43;0
;0000-00;1;21;m;12604024;6;NULL;23.52;0
;0000-00;1;21;m;12604024;6;NULL;3000.00;0
;0000-00;1;21;m;12604024;6;NULL;.00;0
;0000-00;1;21;m;12604024;6;NULL;.00;0
;0000-00;1;21;m;12604024;6;NULL;.00;0
;0000-00;1;21;m;12604024;6;NULL;9800.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;NULL;21;m;12604024;6;NULL;9800.00;0
;0000-00;NULL;21;m;12604024;6;NULL;.00;0
;0000-00;1;21;m;12604027;6;NULL;.00;0
;0000-00;1;21;m;12604027;6;NULL;600.00;0
;0000-00;NULL;21;m;12604027;6;NULL;600.00;0
;0000-00;1;21;m;12604027;6;NULL;.00;0
;0000-00;NULL;21;m;12604027;NULL;NULL;NULL;0
;0000-00;NULL;21;m;12605014;6;NULL;.00;0
;0000-00;NULL;21;m;12605014;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12617012;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12617013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12617023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12617023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12617023;NULL;NULL;.00;0
;0000-00;1;NULL;NULL;12617024;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12623013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12623013;6;NULL;340.89;0
;0000-00;NULL;NULL;NULL;12623013;6;NULL;.00;0
;0000-00;2;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12625016;6;NULL;.00;0
;0000-00;2;NULL;NULL;12625016;6;NULL;.00;0
;0000-00;1;NULL;NULL;12626014;6;NULL;200.00;0
;0000-00;NULL;NULL;NULL;12626014;6;NULL;200.00;0
;0000-00;NULL;NULL;NULL;12626014;6;NULL;2400.77;0
;0000-00;NULL;NULL;NULL;12615013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12616013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12616013;6;NULL;1099.83;0
;0000-00;NULL;NULL;NULL;12616013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12616013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12616013;6;NULL;feb.65;0
;0000-00;1;NULL;NULL;12616013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12616013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12616013;6;NULL;feb.65;0
;0000-00;NULL;NULL;NULL;12616016;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12616033;6;NULL;1370.00;0
;0000-00;NULL;NULL;NULL;12617012;6;NULL;400.00;0
;0000-00;NULL;NULL;NULL;12617012;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12617012;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12617012;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12617013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12617023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12617024;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12620024;6;NULL;111.08;0
;0000-00;NULL;NULL;NULL;12623013;6;NULL;1000.00;0
;0000-00;NULL;NULL;NULL;12623013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12623026;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12625003;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12625016;6;NULL;.00;0
;0000-00;2;NULL;NULL;12625016;6;NULL;.00;0
;0000-00;2;NULL;NULL;12625016;6;NULL;.00;0
;0000-00;1;NULL;NULL;12626014;6;NULL;2400.77;0
;0000-00;1;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596027;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596033;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12597013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12597013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12597024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12599013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12599013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12599013;3;NULL;.00;0
;0000-00;2;NULL;NULL;12599016;6;NULL;14.40;0
;0000-00;NULL;NULL;NULL;12599016;6;NULL;14.40;0
;0000-00;NULL;NULL;NULL;12602003;NULL;NULL;1960.00;0
;0000-00;NULL;NULL;NULL;12604013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12604013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12604013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12640013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12640013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12640013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12640024;6;NULL;400.00;0
;0000-00;NULL;NULL;NULL;12640024;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12640024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12640024;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12657033;6;NULL;1273.00;0
;0000-00;NULL;NULL;NULL;12657033;6;NULL;.00;0
;0000-00;1;NULL;NULL;12657033;6;NULL;100.00;0
;0000-00;1;NULL;NULL;12657033;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12717013;3;NULL;.00;0
;0000-00;1;NULL;NULL;12732014;6;NULL;.00;0
;0000-00;1;NULL;NULL;12626014;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12626020;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12626023;6;NULL;8000.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;feb.18;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;379.85;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12627013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;NULL;NULL;383333.33;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628012;6;NULL;250.00;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;ž;12628013;6;NULL;150.00;0
;0000-00;NULL;NULL;ž;12657013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;ž;12657013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;ž;12657013;6;NULL;.00;0
;0000-00;NULL;NULL;ž;12657013;6;NULL;.00;0
;0000-00;1;NULL;ž;12657013;6;NULL;.00;0
;0000-00;NULL;NULL;ž;12657013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;ž;12657013;6;NULL;.00;0
;0000-00;NULL;NULL;ž;12657013;6;NULL;.00;0
;0000-00;NULL;NULL;ž;12657013;6;NULL;.00;0
;0000-00;NULL;NULL;ž;12657013;6;NULL;.00;0
;0000-00;NULL;NULL;ž;12657013;6;NULL;510.00;0
;0000-00;1;NULL;ž;12658003;NULL;NULL;NULL;0
;0000-00;NULL;NULL;ž;12658003;NULL;NULL;NULL;0
;0000-00;1;NULL;ž;12658003;6;NULL;.00;0
;0000-00;NULL;NULL;ž;12658003;6;NULL;.00;0
;0000-00;1;NULL;ž;12658003;NULL;NULL;NULL;0
;0000-00;1;NULL;ž;12658003;NULL;NULL;NULL;0
;0000-00;1;NULL;ž;12658003;NULL;NULL;384837.74;0
;0000-00;NULL;NULL;ž;12658003;NULL;NULL;NULL;0
;0000-00;NULL;NULL;ž;12658003;NULL;NULL;NULL;0
;0000-00;NULL;NULL;ž;12658003;6;NULL;.00;0
