ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
12115287;2;;;D0070;1
12063716;1;;;D0070;1
11870317;1;;;D0070;1
11727339;6;;;D0070;1
12016712;NULL;;;D0070;1
11748672;1;;;D0070;1
11625165;NULL;;;D0070;1
11780651;0;;;D0070;1
12425802;1;;;D0070;1
11883521;1;;;D0070;1
12256924;1;;;D0070;1
12451851;NULL;;;D0070;1
11884961;1;;;D0070;1
12420479;NULL;;;D0070;1
12359671;102;;;D0070;1
12141473;1;;;D0070;1
11743039;1;;;D0070;1
11574911;1;;;D0070;1
11628475;0;;;D0070;1
11623719;43;;;D0070;1
12045514;1;;;D0070;1
11820166;0;;;D0070;1
11905067;1;;;D0070;1
12063833;1;;;D0070;1
11578035;338;;;D0070;1
11811535;1;;;D0070;1
12107269;1;;;D0070;1
12079681;4;;;D0070;1
12245379;1;;;D0070;1
12053283;2;;;D0070;1
11604515;0;;;D0070;1
11604289;1;;;D0070;1
12295478;1;;;D0070;1
11839781;0;;;D0070;1
11844213;3;;;D0070;1
11812739;0;;;D0070;1
12141908;1;;;D0070;1
11969358;1;;;D0070;1
11892952;1;;;D0070;1
11727549;0;;;D0070;1
12487365;NULL;;;D0070;1
11937732;3;;;D0070;1
11726034;210;;;D0070;1
11884768;1;;;D0070;1
11819717;0;;;D0070;1
11845549;3;;;D0070;1
11816102;0;;;D0070;1
11626256;0;;;D0070;1
12385738;0;;;D0070;1
12306157;1;;;D0070;1
11812607;0;;;D0070;1
11870549;1;;;D0070;1
12396919;3;;;D0070;1
11941320;0;;;D0070;1
11892841;1;;;D0070;1
11918333;NULL;;;D0070;1
12062925;1;;;D0070;1
12184375;1;;;D0070;1
11624274;NULL;;;D0070;1
11867308;1;;;D0070;1
11809774;0;;;D0070;1
11739976;1;;;D0070;1
12124873;0;;;D0070;1
12073720;1;;;D0070;1
12426474;0;;;D0070;1
12283715;0;;;D0070;1
11802274;0;;;D0070;1
11736567;0;;;D0070;1
11840132;0;;;D0070;1
11626808;3;;;D0070;1
12443866;1;;;D0070;1
12079510;11;;;D0070;1
11928222;1;;;D0070;1
11823889;1;;;D0070;1
11624607;2;;;D0070;1
12157718;6;;;D0070;1
12292483;NULL;;;D0070;1
12141928;1;;;D0070;1
12455358;1;;;D0070;1
11729408;0;;;D0070;1
12478908;0;;;D0070;1
11567453;5;;;D0070;1
11741860;1;;;D0070;1
12119785;3;;;D0070;1
12101603;1;;;D0070;1
12009241;2;;;D0070;1
12004855;5;;;D0070;1
12243746;1;;;D0070;1
12168785;0;;;D0070;1
12176242;37;;;D0070;1
11727991;0;;;D0070;1
12434597;1;;;D0070;1
11817635;0;;;D0070;1
12368351;1;;;D0070;1
11819066;3;;;D0070;1
11568314;5;;;D0070;1
11812340;1;;;D0070;1
12113679;1;;;D0070;1
12009415;0;;;D0070;1
11742553;1;;;D0070;1
12402669;8;;;D0070;1
11745588;0;;;D0070;1
11796466;0;;;D0070;1
11904884;1;;;D0070;1
12101836;1;;;D0070;1
12017457;NULL;;;D0070;1
12455415;1;;;D0070;1
11872490;3;;;D0070;1
12338516;235;;;D0070;1
11818542;20;;;D0070;1
12074893;1;;;D0070;1
12321946;1;;;D0070;1
12009455;0;;;D0070;1
12283836;0;;;D0070;1
12423824;2;;;D0070;1
12141334;1;;;D0070;1
12317858;1;;;D0070;1
12016863;NULL;;;D0070;1
11844764;3;;;D0070;1
11680413;111;;;D0070;1
11626730;0;;;D0070;1
12229226;0;;;D0070;1
12003631;0;;;D0070;1
11905145;1;;;D0070;1
12156131;5;;;D0070;1
12153320;3;;;D0070;1
11637770;NULL;;;D0070;1
12091553;0;;;D0070;1
12275743;1;;;D0070;1
11614378;3;;;D0070;1
11818341;17;;;D0070;1
12462855;2;;;D0070;1
11904941;1;;;D0070;1
12113505;1;;;D0070;1
12163249;1;;;D0070;1
12083863;1;;;D0070;1
11883358;1;;;D0070;1
12192493;1;;;D0070;1
11969803;1;;;D0070;1
12478921;0;;;D0070;1
12192466;1;;;D0070;1
12156326;1;;;D0070;1
12319466;1;;;D0070;1
11729506;0;;;D0070;1
11741732;3;;;D0070;1
11812145;1;;;D0070;1
12157584;15;;;D0070;1
12290493;0;;;D0070;1
12068730;1;;;D0070;1
12114976;NULL;;;D0070;1
12039291;2;;;D0070;1
12462833;2;;;D0070;1
11726396;0;;;D0070;1
11817668;0;;;D0070;1
12394033;0;;;D0070;1
12036424;1;;;D0070;1
12422337;1;;;D0070;1
12113658;1;;;D0070;1
11850580;637;;;D0070;1
11603561;1;;;D0070;1
12079025;3;;;D0070;1
12272595;1;;;D0070;1
12245226;1;;;D0070;1
12340643;1;;;D0070;1
11812271;1;;;D0070;1
12083504;1;;;D0070;1
