ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
11720962;NULL;;;D0070;1
11723239;NULL;;;D0070;1
11723335;NULL;;;D0070;1
11723357;NULL;;;D0070;1
11725451;NULL;;;D0070;1
11725510;NULL;;;D0070;1
11725653;NULL;;;D0070;1
11758710;NULL;;;D0070;1
11759383;NULL;;;D0070;1
11730759;NULL;;;D0070;1
11740503;NULL;;;D0070;1
11814795;NULL;;;D0070;1
11858164;NULL;;;D0070;1
11837006;NULL;;;D0070;1
11888826;NULL;;;D0070;1
11930957;NULL;;;D0070;1
11953083;NULL;;;D0070;1
12015336;NULL;;;D0070;1
12102098;NULL;;;D0070;1
12109045;NULL;;;D0070;1
12121940;NULL;;;D0070;1
12126600;NULL;;;D0070;1
12126615;NULL;;;D0070;1
12126638;NULL;;;D0070;1
12126652;NULL;;;D0070;1
12097250;NULL;;;D0070;1
12213086;NULL;;;D0070;1
12213111;NULL;;;D0070;1
12213134;NULL;;;D0070;1
12213156;NULL;;;D0070;1
12213179;NULL;;;D0070;1
12213514;NULL;;;D0070;1
12346801;NULL;;;D0070;1
12346834;NULL;;;D0070;1
12346863;NULL;;;D0070;1
12346882;NULL;;;D0070;1
12346908;NULL;;;D0070;1
12346939;NULL;;;D0070;1
12346953;NULL;;;D0070;1
12360872;NULL;;;D0070;1
12432833;NULL;;;D0070;1
12432941;NULL;;;D0070;1
12432957;NULL;;;D0070;1
12424970;NULL;;;D0070;1
12425001;NULL;;;D0070;1
12425034;NULL;;;D0070;1
12425236;NULL;;;D0070;1
12343931;NULL;;;D0070;1
12427604;NULL;;;D0070;1
11548632;0;;;D0070;1
11554759;0;;;D0070;1
11554836;0;;;D0070;1
11554872;0;;;D0070;1
11554911;0;;;D0070;1
11554939;0;;;D0070;1
11554970;0;;;D0070;1
11555168;0;;;D0070;1
11555216;0;;;D0070;1
11555279;0;;;D0070;1
11555380;0;;;D0070;1
11556178;0;;;D0070;1
11556200;0;;;D0070;1
11556257;0;;;D0070;1
11556297;0;;;D0070;1
11556363;0;;;D0070;1
11556395;0;;;D0070;1
11556434;0;;;D0070;1
11556474;0;;;D0070;1
11556641;0;;;D0070;1
11556670;0;;;D0070;1
11556730;0;;;D0070;1
11556773;0;;;D0070;1
11556808;0;;;D0070;1
11556861;0;;;D0070;1
11556901;0;;;D0070;1
11556929;0;;;D0070;1
11556979;0;;;D0070;1
11557061;0;;;D0070;1
11557132;0;;;D0070;1
11557176;0;;;D0070;1
11557238;0;;;D0070;1
11576697;0;;;D0070;1
11576742;0;;;D0070;1
11586487;0;;;D0070;1
11586519;0;;;D0070;1
11586556;0;;;D0070;1
11586593;0;;;D0070;1
11586631;0;;;D0070;1
11586671;0;;;D0070;1
11586883;0;;;D0070;1
11586930;0;;;D0070;1
11586975;0;;;D0070;1
11586993;0;;;D0070;1
11587019;0;;;D0070;1
11587041;0;;;D0070;1
11587060;0;;;D0070;1
11587092;0;;;D0070;1
11587114;0;;;D0070;1
11587169;0;;;D0070;1
11587179;0;;;D0070;1
11587201;0;;;D0070;1
11604129;0;;;D0070;1
11604166;0;;;D0070;1
11604223;0;;;D0070;1
11604305;0;;;D0070;1
11604470;0;;;D0070;1
11604518;0;;;D0070;1
11604558;0;;;D0070;1
11604596;0;;;D0070;1
11604695;0;;;D0070;1
11604870;0;;;D0070;1
11604911;0;;;D0070;1
11604954;0;;;D0070;1
11604992;0;;;D0070;1
11605039;0;;;D0070;1
11606236;0;;;D0070;1
11608422;0;;;D0070;1
11608674;0;;;D0070;1
11533951;0;;;D0070;1
11533970;0;;;D0070;1
11534015;0;;;D0070;1
11534049;0;;;D0070;1
11534085;0;;;D0070;1
11534124;0;;;D0070;1
11617742;0;;;D0070;1
11617799;0;;;D0070;1
11617849;0;;;D0070;1
11651010;0;;;D0070;1
11651074;0;;;D0070;1
11655822;0;;;D0070;1
11655906;0;;;D0070;1
11659210;0;;;D0070;1
11659249;0;;;D0070;1
11659305;0;;;D0070;1
11659488;0;;;D0070;1
11659488;0;;;D0070;1
11675494;0;;;D0070;1
11646270;0;;;D0070;1
11677435;0;;;D0070;1
11706203;0;;;D0070;1
11789130;0;;;D0070;1
11795791;0;;;D0070;1
11795824;0;;;D0070;1
11795850;0;;;D0070;1
11795898;0;;;D0070;1
11795930;0;;;D0070;1
11795971;0;;;D0070;1
11796262;0;;;D0070;1
11796286;0;;;D0070;1
11796315;0;;;D0070;1
11796336;0;;;D0070;1
11796383;0;;;D0070;1
11796386;0;;;D0070;1
11796689;0;;;D0070;1
11796749;0;;;D0070;1
11796793;0;;;D0070;1
11796829;0;;;D0070;1
11723267;0;;;D0070;1
11724122;0;;;D0070;1
11724617;0;;;D0070;1
11725356;0;;;D0070;1
11725600;0;;;D0070;1
11725704;0;;;D0070;1
11725720;0;;;D0070;1
11725729;0;;;D0070;1
11731274;0;;;D0070;1
11739464;0;;;D0070;1
11739494;0;;;D0070;1
11824066;0;;;D0070;1
11888482;0;;;D0070;1
11888884;0;;;D0070;1
11893397;0;;;D0070;1
11894690;0;;;D0070;1
11905308;0;;;D0070;1
11905308;0;;;D0070;1
11905379;0;;;D0070;1
11905455;0;;;D0070;1
11905529;0;;;D0070;1
11905589;0;;;D0070;1
11905738;0;;;D0070;1
11905833;0;;;D0070;1
11906038;0;;;D0070;1
11906087;0;;;D0070;1
11906123;0;;;D0070;1
11914949;0;;;D0070;1
11758714;0;;;D0070;1
11759470;0;;;D0070;1
11814799;0;;;D0070;1
11821316;0;;;D0070;1
11925637;0;;;D0070;1
11927014;0;;;D0070;1
11927061;0;;;D0070;1
11927110;0;;;D0070;1
11927177;0;;;D0070;1
11928867;0;;;D0070;1
11931263;0;;;D0070;1
11951101;0;;;D0070;1
11951182;0;;;D0070;1
11951184;0;;;D0070;1
11951203;0;;;D0070;1
11951238;0;;;D0070;1
11951252;0;;;D0070;1
11951280;0;;;D0070;1
11951295;0;;;D0070;1
11951448;0;;;D0070;1
11952261;0;;;D0070;1
11952289;0;;;D0070;1
11952311;0;;;D0070;1
11952333;0;;;D0070;1
11952345;0;;;D0070;1
11952371;0;;;D0070;1
11952385;0;;;D0070;1
11952400;0;;;D0070;1
11952417;0;;;D0070;1
11952428;0;;;D0070;1
11952439;0;;;D0070;1
11952448;0;;;D0070;1
11952461;0;;;D0070;1
11952727;0;;;D0070;1
11952734;0;;;D0070;1
11952751;0;;;D0070;1
11952771;0;;;D0070;1
11952792;0;;;D0070;1
11952808;0;;;D0070;1
11952819;0;;;D0070;1
11952830;0;;;D0070;1
11952842;0;;;D0070;1
11952850;0;;;D0070;1
11952877;0;;;D0070;1
11952938;0;;;D0070;1
11968084;0;;;D0070;1
11968144;0;;;D0070;1
11968190;0;;;D0070;1
11968238;0;;;D0070;1
11952966;0;;;D0070;1
11953004;0;;;D0070;1
