Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Tip kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;---------------------;--------------;-------------------;--------------------;------------------------
;0000-00;NULL;NULL;NULL;12539024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;2;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;4;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;okt.14;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;okt.14;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12599013;6;NULL;300.00;0
;0000-00;NULL;NULL;NULL;12599013;6;NULL;300.00;0
;0000-00;NULL;NULL;NULL;12611034;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12611034;NULL;NULL;NULL;0
;0000-00;2;NULL;NULL;12611034;6;NULL;1000.00;0
;0000-00;NULL;NULL;NULL;12611034;6;NULL;1000.00;0
;0000-00;NULL;NULL;NULL;12611034;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12611034;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12611034;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12611034;6;NULL;1000.00;0
;0000-00;NULL;NULL;NULL;12611037;6;NULL;400.00;0
;0000-00;NULL;NULL;NULL;12611037;6;NULL;600.00;0
;0000-00;NULL;NULL;NULL;12611037;6;NULL;400.00;0
;0000-00;NULL;NULL;NULL;12611037;6;NULL;600.00;0
;0000-00;NULL;NULL;NULL;12611037;6;NULL;400.00;0
;0000-00;NULL;NULL;NULL;12611037;6;NULL;600.00;0
;0000-00;NULL;NULL;NULL;12611037;6;NULL;400.00;0
;0000-00;NULL;NULL;NULL;12611037;6;NULL;600.00;0
;0000-00;1;NULL;NULL;12608013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12608013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12609013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12532013;6;NULL;125.87;0
;0000-00;NULL;NULL;NULL;12539013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12615013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12616013;NULL;NULL;NULL;0
;0000-00;0;NULL;NULL;12616013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12616033;6;NULL;.00;0
;0000-00;1;NULL;NULL;12617023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12621023;6;NULL;.00;0
;0000-00;7;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12626014;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12626014;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12626014;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12626014;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;3;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;1;NULL;NULL;12627023;6;NULL;100.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;100.00;0
;0000-00;0;NULL;NULL;12627023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;17.98;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;50.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;50.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;104.67;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;104.67;0
;0000-00;1;NULL;NULL;12628013;6;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;17.98;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;17.98;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;150.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;150.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;0;NULL;NULL;12628013;6;NULL;200.00;0
;0000-00;NULL;NULL;NULL;12616013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12616013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;200.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12628013;6;NULL;200.00;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;50.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;0;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;150.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
