Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Tip kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;---------------------;--------------;-------------------;--------------------;------------------------
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;200.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;300.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;224.90;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;avg.89;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;120.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;120.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;77.20;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;77.20;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;300.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;224.90;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;811.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;2075.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;2100.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;2181.96;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;2181.99;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;2200.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;2250.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;3000.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;3500.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;811.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;2075.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;2100.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;2181.96;0
;0000-00;1;NULL;NULL;12596013;6;NULL;2181.99;0
;0000-00;1;NULL;NULL;12596013;6;NULL;2200.00;0
