ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
11884419;NULL;;;D0070;1
11886915;NULL;;;D0070;1
11887020;NULL;;;D0070;1
11891994;NULL;;;D0070;1
11788135;NULL;;;D0070;1
11788218;NULL;;;D0070;1
11788279;NULL;;;D0070;1
11968732;NULL;;;D0070;1
11968756;NULL;;;D0070;1
12239263;NULL;;;D0070;1
11541099;0;;;D0070;1
11541197;0;;;D0070;1
11541214;0;;;D0070;1
11541231;0;;;D0070;1
11541256;0;;;D0070;1
11559354;0;;;D0070;1
11560165;0;;;D0070;1
11560191;0;;;D0070;1
11560228;0;;;D0070;1
11560260;0;;;D0070;1
11568934;0;;;D0070;1
11569043;0;;;D0070;1
11569203;0;;;D0070;1
11569227;0;;;D0070;1
11569242;0;;;D0070;1
11581134;0;;;D0070;1
11581170;0;;;D0070;1
11581196;0;;;D0070;1
11581318;0;;;D0070;1
11581344;0;;;D0070;1
11581379;0;;;D0070;1
11581426;0;;;D0070;1
11581452;0;;;D0070;1
11606555;0;;;D0070;1
11606734;0;;;D0070;1
11606879;0;;;D0070;1
11606993;0;;;D0070;1
11607041;0;;;D0070;1
11607510;0;;;D0070;1
11607561;0;;;D0070;1
11607603;0;;;D0070;1
11607657;0;;;D0070;1
11607715;0;;;D0070;1
11607780;0;;;D0070;1
11610450;0;;;D0070;1
11610486;0;;;D0070;1
11610523;0;;;D0070;1
11610609;0;;;D0070;1
11610650;0;;;D0070;1
11611668;0;;;D0070;1
11617900;0;;;D0070;1
11617972;0;;;D0070;1
12570831;NULL;;;D0070;1
11598965;0;;;D0070;1
11599017;0;;;D0070;1
11599082;0;;;D0070;1
11599226;0;;;D0070;1
11599375;0;;;D0070;1
11599565;0;;;D0070;1
11628458;0;;;D0070;1
11628590;0;;;D0070;1
11628655;0;;;D0070;1
11628689;0;;;D0070;1
11628720;0;;;D0070;1
11628774;0;;;D0070;1
11628835;0;;;D0070;1
11638736;0;;;D0070;1
11641895;0;;;D0070;1
11642660;0;;;D0070;1
11642741;0;;;D0070;1
11642808;0;;;D0070;1
11642857;0;;;D0070;1
11642918;0;;;D0070;1
11642990;0;;;D0070;1
11648975;0;;;D0070;1
11650192;0;;;D0070;1
11650210;0;;;D0070;1
11650232;0;;;D0070;1
11650256;0;;;D0070;1
11650299;0;;;D0070;1
11866570;NULL;;;D0070;1
11667098;0;;;D0070;1
11667164;0;;;D0070;1
11667234;0;;;D0070;1
11679012;0;;;D0070;1
11688866;0;;;D0070;1
11691643;0;;;D0070;1
11691669;0;;;D0070;1
11692150;0;;;D0070;1
11749294;0;;;D0070;1
11751788;0;;;D0070;1
11752145;0;;;D0070;1
11752224;0;;;D0070;1
11752460;0;;;D0070;1
11752541;0;;;D0070;1
11752621;0;;;D0070;1
11752670;0;;;D0070;1
11752701;0;;;D0070;1
11752820;0;;;D0070;1
11773387;0;;;D0070;1
11773431;0;;;D0070;1
11773487;0;;;D0070;1
11773565;0;;;D0070;1
11773593;0;;;D0070;1
11788240;0;;;D0070;1
11788855;0;;;D0070;1
11789137;0;;;D0070;1
11789293;0;;;D0070;1
11790863;0;;;D0070;1
11791510;0;;;D0070;1
11791633;0;;;D0070;1
11791859;0;;;D0070;1
11791933;0;;;D0070;1
11791969;0;;;D0070;1
11791998;0;;;D0070;1
11792031;0;;;D0070;1
11792055;0;;;D0070;1
11792134;0;;;D0070;1
11792168;0;;;D0070;1
11814703;0;;;D0070;1
11816899;0;;;D0070;1
11816949;0;;;D0070;1
11816992;0;;;D0070;1
11817048;0;;;D0070;1
11817096;0;;;D0070;1
11817152;0;;;D0070;1
11818823;0;;;D0070;1
11824659;0;;;D0070;1
11824726;0;;;D0070;1
11824786;0;;;D0070;1
11824849;0;;;D0070;1
11824902;0;;;D0070;1
11825128;0;;;D0070;1
11825240;0;;;D0070;1
11732900;0;;;D0070;1
11732948;0;;;D0070;1
11733013;0;;;D0070;1
11733056;0;;;D0070;1
11733106;0;;;D0070;1
11733141;0;;;D0070;1
11733194;0;;;D0070;1
11733244;0;;;D0070;1
11741443;0;;;D0070;1
11741459;0;;;D0070;1
11837875;0;;;D0070;1
11838072;0;;;D0070;1
11838149;0;;;D0070;1
11838207;0;;;D0070;1
11838235;0;;;D0070;1
11839118;0;;;D0070;1
11839147;0;;;D0070;1
11839207;0;;;D0070;1
11839251;0;;;D0070;1
11839297;0;;;D0070;1
11844212;0;;;D0070;1
11849059;0;;;D0070;1
11849135;0;;;D0070;1
11849151;0;;;D0070;1
11865629;0;;;D0070;1
11866421;0;;;D0070;1
11866515;0;;;D0070;1
11866577;0;;;D0070;1
11866692;0;;;D0070;1
11920957;0;;;D0070;1
11921066;0;;;D0070;1
11921979;0;;;D0070;1
11922009;0;;;D0070;1
11922045;0;;;D0070;1
11922623;0;;;D0070;1
11922771;0;;;D0070;1
11922798;0;;;D0070;1
11922822;0;;;D0070;1
11923319;0;;;D0070;1
11923381;0;;;D0070;1
11936966;0;;;D0070;1
11937000;0;;;D0070;1
11937038;0;;;D0070;1
11937067;0;;;D0070;1
11937138;0;;;D0070;1
11937224;0;;;D0070;1
11937684;0;;;D0070;1
11937731;0;;;D0070;1
11937840;0;;;D0070;1
11937882;0;;;D0070;1
11937946;0;;;D0070;1
11937985;0;;;D0070;1
11714992;0;;;D0070;1
11715201;0;;;D0070;1
11715527;0;;;D0070;1
11715990;0;;;D0070;1
11716039;0;;;D0070;1
11716079;0;;;D0070;1
11884509;0;;;D0070;1
11886940;0;;;D0070;1
11887061;0;;;D0070;1
11887197;0;;;D0070;1
11887592;0;;;D0070;1
11940980;0;;;D0070;1
11968596;0;;;D0070;1
11968629;0;;;D0070;1
11968683;0;;;D0070;1
11968709;0;;;D0070;1
11968815;0;;;D0070;1
11971256;0;;;D0070;1
11971273;0;;;D0070;1
11971337;0;;;D0070;1
11971381;0;;;D0070;1
11997849;0;;;D0070;1
11997883;0;;;D0070;1
11997924;0;;;D0070;1
11997960;0;;;D0070;1
11998783;0;;;D0070;1
11998836;0;;;D0070;1
11998877;0;;;D0070;1
11998906;0;;;D0070;1
11998936;0;;;D0070;1
11999106;0;;;D0070;1
11999139;0;;;D0070;1
11999176;0;;;D0070;1
11999194;0;;;D0070;1
11999218;0;;;D0070;1
11999243;0;;;D0070;1
11999305;0;;;D0070;1
11999327;0;;;D0070;1
11999364;0;;;D0070;1
11999401;0;;;D0070;1
11999422;0;;;D0070;1
11999497;0;;;D0070;1
11999522;0;;;D0070;1
11999546;0;;;D0070;1
11996415;0;;;D0070;1
11996465;0;;;D0070;1
11996508;0;;;D0070;1
11996592;0;;;D0070;1
11996640;0;;;D0070;1
11996671;0;;;D0070;1
11996731;0;;;D0070;1
11907696;0;;;D0070;1
11907723;0;;;D0070;1
11907750;0;;;D0070;1
11907807;0;;;D0070;1
12015593;0;;;D0070;1
12015619;0;;;D0070;1
12015649;0;;;D0070;1
12015943;0;;;D0070;1
12015982;0;;;D0070;1
12038600;0;;;D0070;1
12038640;0;;;D0070;1
12043800;0;;;D0070;1
12044272;0;;;D0070;1
12044402;0;;;D0070;1
12044426;0;;;D0070;1
12044448;0;;;D0070;1
12044603;0;;;D0070;1
12044618;0;;;D0070;1
12044634;0;;;D0070;1
12044672;0;;;D0070;1
12044707;0;;;D0070;1
12044774;0;;;D0070;1
12044786;0;;;D0070;1
12044793;0;;;D0070;1
12044794;0;;;D0070;1
12044805;0;;;D0070;1
12044812;0;;;D0070;1
12047592;0;;;D0070;1
12048294;0;;;D0070;1
12048309;0;;;D0070;1
12048330;0;;;D0070;1
12048356;0;;;D0070;1
12048700;0;;;D0070;1
12048821;0;;;D0070;1
12048876;0;;;D0070;1
12048912;0;;;D0070;1
12048941;0;;;D0070;1
12048980;0;;;D0070;1
12049027;0;;;D0070;1
12049085;0;;;D0070;1
12049205;0;;;D0070;1
12049274;0;;;D0070;1
12049297;0;;;D0070;1
12049372;0;;;D0070;1
12062289;0;;;D0070;1
12062317;0;;;D0070;1
12062336;0;;;D0070;1
12062362;0;;;D0070;1
12062385;0;;;D0070;1
12062405;0;;;D0070;1
12062526;0;;;D0070;1
12062579;0;;;D0070;1
12062601;0;;;D0070;1
12062619;0;;;D0070;1
12062629;0;;;D0070;1
12062666;0;;;D0070;1
12068826;0;;;D0070;1
12017173;0;;;D0070;1
12017231;0;;;D0070;1
12017339;0;;;D0070;1
12017415;0;;;D0070;1
12017764;0;;;D0070;1
12017790;0;;;D0070;1
12017818;0;;;D0070;1
12017935;0;;;D0070;1
12018146;0;;;D0070;1
12018176;0;;;D0070;1
12026860;0;;;D0070;1
12026897;0;;;D0070;1
12032433;0;;;D0070;1
12032503;0;;;D0070;1
12032593;0;;;D0070;1
12032620;0;;;D0070;1
12032691;0;;;D0070;1
12032788;0;;;D0070;1
12032837;0;;;D0070;1
12084586;0;;;D0070;1
12084643;0;;;D0070;1
12084739;0;;;D0070;1
12084754;0;;;D0070;1
12084773;0;;;D0070;1
12084938;0;;;D0070;1
12084951;0;;;D0070;1
12084976;0;;;D0070;1
12084998;0;;;D0070;1
12085035;0;;;D0070;1
12085067;0;;;D0070;1
12085113;0;;;D0070;1
12085139;0;;;D0070;1
12085192;0;;;D0070;1
12094818;0;;;D0070;1
12094838;0;;;D0070;1
12094850;0;;;D0070;1
12094861;0;;;D0070;1
12095119;0;;;D0070;1
12095195;0;;;D0070;1
12095219;0;;;D0070;1
12095244;0;;;D0070;1
12095265;0;;;D0070;1
12133485;0;;;D0070;1
12133677;0;;;D0070;1
12133760;0;;;D0070;1
12133800;0;;;D0070;1
12133854;0;;;D0070;1
12133892;0;;;D0070;1
12133923;0;;;D0070;1
12133954;0;;;D0070;1
12133987;0;;;D0070;1
12134041;0;;;D0070;1
12134154;0;;;D0070;1
12134190;0;;;D0070;1
12135542;0;;;D0070;1
12135563;0;;;D0070;1
12135597;0;;;D0070;1
12135650;0;;;D0070;1
12137327;0;;;D0070;1
11891833;0;;;D0070;1
12173960;0;;;D0070;1
12174101;0;;;D0070;1
12174155;0;;;D0070;1
12174208;0;;;D0070;1
12239166;0;;;D0070;1
12239286;0;;;D0070;1
12239358;0;;;D0070;1
12239418;0;;;D0070;1
12239496;0;;;D0070;1
12239568;0;;;D0070;1
12271525;0;;;D0070;1
12271559;0;;;D0070;1
12273730;0;;;D0070;1
12273793;0;;;D0070;1
12275124;0;;;D0070;1
12275205;0;;;D0070;1
12275364;0;;;D0070;1
12275481;0;;;D0070;1
12277310;0;;;D0070;1
12277346;0;;;D0070;1
12277391;0;;;D0070;1
12277459;0;;;D0070;1
12277712;0;;;D0070;1
12277769;0;;;D0070;1
12277851;0;;;D0070;1
12277906;0;;;D0070;1
12277960;0;;;D0070;1
12277962;0;;;D0070;1
12284988;0;;;D0070;1
12285045;0;;;D0070;1
12285114;0;;;D0070;1
12285215;0;;;D0070;1
12285260;0;;;D0070;1
12285324;0;;;D0070;1
12286058;0;;;D0070;1
12286108;0;;;D0070;1
12286155;0;;;D0070;1
12286194;0;;;D0070;1
12286233;0;;;D0070;1
12286288;0;;;D0070;1
12288888;0;;;D0070;1
12288911;0;;;D0070;1
12288941;0;;;D0070;1
12288956;0;;;D0070;1
12257430;0;;;D0070;1
12257818;0;;;D0070;1
12257909;0;;;D0070;1
12258473;0;;;D0070;1
12258509;0;;;D0070;1
12258581;0;;;D0070;1
12258619;0;;;D0070;1
12258664;0;;;D0070;1
12258765;0;;;D0070;1
12258811;0;;;D0070;1
12258902;0;;;D0070;1
12258939;0;;;D0070;1
12259000;0;;;D0070;1
12265350;0;;;D0070;1
12265388;0;;;D0070;1
12265409;0;;;D0070;1
12265442;0;;;D0070;1
12267030;0;;;D0070;1
12267082;0;;;D0070;1
12267124;0;;;D0070;1
12312091;0;;;D0070;1
12312141;0;;;D0070;1
12326545;0;;;D0070;1
12355471;0;;;D0070;1
12355592;0;;;D0070;1
12356730;0;;;D0070;1
12356795;0;;;D0070;1
12356884;0;;;D0070;1
12356942;0;;;D0070;1
12357097;0;;;D0070;1
12357234;0;;;D0070;1
12357291;0;;;D0070;1
12357409;0;;;D0070;1
12357461;0;;;D0070;1
12357527;0;;;D0070;1
12357655;0;;;D0070;1
12435743;0;;;D0070;1
12435790;0;;;D0070;1
12449423;0;;;D0070;1
12449491;0;;;D0070;1
12449520;0;;;D0070;1
12449581;0;;;D0070;1
12451191;0;;;D0070;1
