ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
11620906;NULL;;;D0070;1
11677098;NULL;;;D0070;1
11883199;NULL;;;D0070;1
12249692;NULL;;;D0070;1
12367301;NULL;;;D0070;1
12304526;NULL;;;D0070;1
12385777;23;;;D0070;1
12271701;53;;;D0070;1
12296025;28;;;D0070;1
12104987;105;;;D0070;1
12464065;139;;;D0070;1
12167189;182;;;D0070;1
12103440;186;;;D0070;1
12304499;187;;;D0070;1
12244624;188;;;D0070;1
12244624;188;;;D0070;1
12244624;188;;;D0070;1
12367301;191;;;D0070;1
12023869;226;;;D0070;1
12249692;220;;;D0070;1
12167102;263;;;D0070;1
11729461;276;;;D0070;1
11674149;294;;;D0070;1
11886353;301;;;D0070;1
11700723;375;;;D0070;1
11827167;455;;;D0070;1
12304526;541;;;D0070;1
12463982;332;;;D0070;1
12193927;334;;;D0070;1
12004823;519;;;D0070;1
12167197;326;;;D0070;1
12093242;532;;;D0070;1
12093251;532;;;D0070;1
11674354;585;;;D0070;1
11620755;836;;;D0070;1
11621182;997;;;D0070;1
11674588;799;;;D0070;1
11621454;818;;;D0070;1
11844210;835;;;D0073;1
11613143;1026;;;D0073;1
12242829;1038;;;D0073;1
12242829;1038;;;D0073;1
12242829;1038;;;D0073;1
12242829;1038;;;D0073;1
11573321;1112;;;D0073;1
11573321;1112;;;D0073;1
11573321;1112;;;D0073;1
11573321;1112;;;D0073;1
11992913;1153;;;D0073;1
12142213;1177;;;D0073;1
11612671;1232;;;D0073;1
11917706;1258;;;D0073;1
11917706;1258;;;D0073;1
12201549;738;;;D0073;1
12201549;738;;;D0073;1
12201549;738;;;D0073;1
12324510;747;;;D0073;1
12324510;747;;;D0073;1
12023415;749;;;D0073;1
11884404;759;;;D0073;1
11573262;769;;;D0073;1
12058542;771;;;D0073;1
11760835;788;;;D0073;1
11760835;788;;;D0073;1
11937994;865;;;D0073;1
11937994;865;;;D0073;1
11728679;875;;;D0073;1
11939027;932;;;D0073;1
11939027;932;;;D0073;1
11939027;932;;;D0073;1
11939027;932;;;D0073;1
11939027;932;;;D0073;1
11939027;932;;;D0073;1
12092593;932;;;D0073;1
11917706;950;;;D0073;1
12227920;596;;;D0073;1
12227920;596;;;D0073;1
11862809;602;;;D0073;1
12470006;605;;;D0073;1
11938873;700;;;D0073;1
11938873;700;;;D0073;1
12243995;705;;;D0073;1
11573234;731;;;D0073;1
11693822;655;;;D0073;1
12385076;656;;;D0073;1
11613172;661;;;D0073;1
12035074;666;;;D0073;1
12405450;676;;;D0073;1
12140619;680;;;D0073;1
11761975;686;;;D0073;1
12463250;637;;;D0073;1
12463250;637;;;D0073;1
12342397;642;;;D0073;1
12342397;642;;;D0073;1
12342397;642;;;D0073;1
12342397;642;;;D0073;1
12342397;642;;;D0073;1
12342397;642;;;D0073;1
12342397;642;;;D0073;1
12342397;642;;;D0073;1
12342397;642;;;D0073;1
12342397;642;;;D0073;1
12342397;642;;;D0073;1
12342397;642;;;D0073;1
12392094;643;;;D0073;1
12324040;532;;;D0073;1
12447626;327;;;D0073;1
11993011;527;;;D0073;1
11993011;527;;;D0073;1
11993011;527;;;D0073;1
11669474;614;;;D0073;1
12142124;616;;;D0073;1
12409455;622;;;D0073;1
12228119;625;;;D0073;1
12228119;625;;;D0073;1
12228119;625;;;D0073;1
12228119;625;;;D0073;1
12228119;625;;;D0073;1
12228119;625;;;D0073;1
12228119;625;;;D0073;1
12323201;633;;;D0073;1
12323201;633;;;D0073;1
12323201;633;;;D0073;1
11589549;336;;;D0073;1
11589549;336;;;D0073;1
12385241;337;;;D0073;1
11589418;347;;;D0073;1
12463181;352;;;D0073;1
12463181;352;;;D0073;1
11993042;353;;;D0073;1
11589611;356;;;D0073;1
11589611;356;;;D0073;1
11781124;362;;;D0073;1
11781124;362;;;D0073;1
12142557;452;;;D0073;1
12142557;452;;;D0073;1
12142557;452;;;D0073;1
12142557;452;;;D0073;1
12463174;498;;;D0073;1
12500456;513;;;D0073;1
12500456;513;;;D0073;1
