Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Tip kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;---------------------;--------------;-------------------;--------------------;------------------------
;0000-00;NULL;NULL;NULL;12548013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12548013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12548013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;8469.90;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;8469.90;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;150.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;3;NULL;NULL;12596013;6;NULL;100.00;0
;0000-00;3;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;8469.90;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12596013;6;NULL;300.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;5000.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;40.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;300.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;700.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12596013;6;NULL;700.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596024;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;1000.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596024;6;NULL;1000.00;0
;0000-00;1;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;70.00;0
;0000-00;NULL;NULL;NULL;12596016;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596016;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596016;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596016;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12596027;NULL;NULL;20000.00;0
;0000-00;1;NULL;NULL;12596027;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596027;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596027;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596027;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12599016;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12601056;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596016;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596016;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12599016;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12608013;NULL;NULL;.00;0
;0000-00;NULL;NULL;NULL;12608013;6;NULL;500.00;0
;0000-00;1;NULL;NULL;12608013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12608013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12608013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12608013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12608013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12608013;6;NULL;2124.12;0
;0000-00;NULL;NULL;NULL;12608013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12608013;6;NULL;2124.12;0
;0000-00;NULL;NULL;NULL;12608013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12608013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12608013;6;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12608013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12608024;6;NULL;98.00;0
;0000-00;NULL;NULL;NULL;12608046;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12608046;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12608013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12609034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12609034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12609034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12611013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12611013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12611013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12611013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12611013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12611013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12611013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12611016;6;NULL;.00;0
;0000-00;1;NULL;NULL;12611016;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12611024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611027;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12611027;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12611034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611054;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12616033;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12621023;6;NULL;.00;0
;0000-00;1;NULL;NULL;12621023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;50.00;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12623023;6;NULL;50.00;0
;0000-00;1;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;450.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;668.44;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;1000.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;40.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;400.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;2000.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;2000.00;0
