Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Tip kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;---------------------;--------------;-------------------;--------------------;------------------------
;0000-00;2;NULL;NULL;12513024;6;NULL;.00;0
;0000-00;2;NULL;NULL;12513024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12539013;NULL;NULL;NULL;0
;0000-00;2;NULL;NULL;12539013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12609024;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12609024;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12611034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611034;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12611034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611034;6;NULL;.00;0
;0000-00;0;NULL;NULL;12611034;6;NULL;.00;0
;0000-00;0;NULL;NULL;12611034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611044;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12611044;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611044;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12615013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12615013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12615013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12615013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12616013;6;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12627013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;6000.00;0
;0000-00;NULL;NULL;NULL;12627013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;1500.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;2;NULL;NULL;12627013;NULL;NULL;NULL;0
;0000-00;2;NULL;NULL;12627013;6;NULL;6000.00;0
;0000-00;2;NULL;NULL;12627013;NULL;NULL;NULL;0
;0000-00;2;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;2;NULL;NULL;12627013;6;NULL;1500.00;0
;0000-00;2;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;6000.00;0
;0000-00;NULL;NULL;NULL;12627013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;1500.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12627013;6;NULL;100.00;0
;0000-00;0;NULL;NULL;12627013;6;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12617012;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12617023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12617023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12617023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12617023;NULL;NULL;NULL;0
;0000-00;2;NULL;NULL;12626034;6;NULL;.00;0
;0000-00;2;NULL;NULL;12626034;NULL;NULL;NULL;0
;0000-00;3;NULL;NULL;12627023;6;NULL;300.00;0
;0000-00;3;NULL;NULL;12627023;NULL;NULL;NULL;0
;0000-00;3;NULL;NULL;12627023;6;NULL;22995.72;0
;0000-00;3;NULL;NULL;12627023;NULL;NULL;NULL;0
;0000-00;3;NULL;NULL;12627023;6;NULL;20.00;0
;0000-00;3;NULL;NULL;12627023;6;NULL;2150.00;0
;0000-00;3;NULL;NULL;12627023;NULL;NULL;NULL;0
;0000-00;3;NULL;NULL;12627023;6;NULL;4170.65;0
;0000-00;3;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;3;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627013;NULL;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12627023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627023;NULL;NULL;40.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;1000.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;897.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;1000.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;897.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;300.00;0
;0000-00;NULL;NULL;NULL;12627023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;22995.72;0
;0000-00;NULL;NULL;NULL;12627023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;20.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;2150.00;0
;0000-00;NULL;NULL;NULL;12627023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;4170.65;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;1000.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;897.00;0
;0000-00;NULL;NULL;NULL;12627023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;0;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;0;NULL;NULL;12627023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;100.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;300.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12629024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12629024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12629024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12629024;6;NULL;.00;0
;0000-00;0;NULL;NULL;12629037;6;NULL;.00;0
;0000-00;0;NULL;NULL;12629037;6;NULL;.00;0
;0000-00;0;NULL;NULL;12629037;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12630013;6;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12630013;6;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12630013;6;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12630013;NULL;NULL;NULL;0
;0000-00;0;NULL;NULL;12630013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12635012;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12635012;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12635013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635013;6;NULL;95.16;0
;0000-00;1;NULL;NULL;12635013;6;NULL;95.16;0
;0000-00;NULL;NULL;NULL;12635013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12635013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12635013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12635013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12635013;NULL;NULL;NULL;0
;0000-00;0;NULL;NULL;12635013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12635013;NULL;NULL;NULL;0
;0000-00;0;NULL;NULL;12635013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635013;6;NULL;.00;0
;0000-00;7;NULL;NULL;12635013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635013;6;NULL;95.16;0
