ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
12309811;0;;;D0070;1
12423206;NULL;;;D1552;1
11816242;421;;;D1552;1
11815677;432;;;D1552;1
11815677;432;;;D1552;1
11605138;1006;;;D1552;1
11999239;1889;;;D1552;1
11999239;1889;;;D1552;1
11999239;1889;;;D1552;1
12223241;2002;;;D0073;1
12370456;1196;;;D0073;1
12370469;1196;;;D0073;1
12370469;1196;;;D0073;1
12370469;1196;;;D0073;1
11634954;1546;;;D0073;1
11634954;1546;;;D0073;1
11634954;1546;;;D0073;1
11634954;1546;;;D0073;1
12133131;1627;;;D0073;1
12133131;1627;;;D0073;1
12133131;1627;;;D0073;1
12048656;1710;;;D0073;1
12048656;1710;;;D0073;1
12165659;1022;;;D0073;1
12165659;1022;;;D0073;1
12165659;1022;;;D0073;1
12165659;1022;;;D0073;1
12165659;1022;;;D0073;1
12165659;1022;;;D0073;1
12165783;1091;;;D0073;1
12165783;1091;;;D0073;1
12165783;1091;;;D0073;1
12165783;1091;;;D0073;1
12165783;1091;;;D0073;1
12165783;1091;;;D0073;1
12165783;1091;;;D0073;1
12165783;1091;;;D0073;1
12165783;1091;;;D0073;1
12165783;1091;;;D0073;1
12165783;1091;;;D0073;1
12165783;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12166405;1091;;;D0073;1
12021029;1092;;;D0073;1
12182532;1011;;;D0073;1
12367709;941;;;D0073;1
11638555;853;;;D0073;1
11638555;853;;;D0073;1
11638555;853;;;D0073;1
12248619;889;;;D0073;1
12248619;889;;;D0073;1
12248619;889;;;D0073;1
12248619;889;;;D0073;1
12248619;889;;;D0073;1
11636806;929;;;D0073;1
12117471;696;;;D0073;1
12321250;748;;;D0073;1
11984959;861;;;D0073;1
11984959;861;;;D0073;1
11984959;861;;;D0073;1
12119741;875;;;D0073;1
12119741;875;;;D0073;1
12119741;875;;;D0073;1
12119741;875;;;D0073;1
12175766;631;;;D0073;1
12175766;631;;;D0073;1
12175766;631;;;D0073;1
12175766;631;;;D0073;1
12140220;595;;;D0073;1
12140220;595;;;D0073;1
11984318;602;;;D0073;1
12378370;626;;;D0073;1
12378370;626;;;D0073;1
12378370;626;;;D0073;1
12084649;665;;;D0073;1
12084649;665;;;D0073;1
12084649;665;;;D0073;1
12084649;665;;;D0073;1
12196520;431;;;D0073;1
12489643;431;;;D0073;1
12489643;431;;;D0073;1
11572330;432;;;D0073;1
11652199;359;;;D0073;1
11988149;366;;;D0073;1
11638723;371;;;D0073;1
11959383;220;;;D0073;1
12374186;417;;;D0073;1
12010288;475;;;D0073;1
12010288;475;;;D0073;1
12010288;475;;;D0073;1
12386855;478;;;D0073;1
12096411;506;;;D0073;1
12374186;511;;;D0073;1
12061933;515;;;D0073;1
11734248;517;;;D0073;1
11734248;517;;;D0073;1
12374186;554;;;D0073;1
12374186;554;;;D0073;1
12374186;554;;;D0073;1
12374186;554;;;D0073;1
12374186;554;;;D0073;1
12445808;95;;;D0073;1
12445812;95;;;D0073;1
12231359;129;;;D0073;1
12231359;129;;;D0073;1
12231359;129;;;D0073;1
12231359;129;;;D0073;1
11577333;132;;;D0073;1
11577333;132;;;D0073;1
12468807;144;;;D0073;1
12468807;144;;;D0073;1
12267912;0;;;D0073;1
11870613;57;;;D0073;1
11790595;71;;;D0073;1
11790595;71;;;D0073;1
12092722;76;;;D0073;1
12092722;76;;;D0073;1
12322466;109;;;D0073;1
12064983;112;;;D0073;1
12065628;113;;;D0073;1
12065628;113;;;D0073;1
11929270;167;;;D0073;1
11929270;167;;;D0073;1
11966491;172;;;D0073;1
11856614;192;;;D0073;1
11856614;192;;;D0073;1
11856614;192;;;D0073;1
11856614;192;;;D0073;1
11856614;192;;;D0073;1
11856614;192;;;D0073;1
11746564;196;;;D0073;1
12005814;120;;;D0073;1
12301154;187;;;D0073;1
12165659;200;;;D0073;1
12165659;200;;;D0073;1
11763203;232;;;D0073;1
12301154;234;;;D0073;1
12398069;250;;;D0073;1
12398069;250;;;D0073;1
12398069;250;;;D0073;1
11653209;252;;;D0073;1
11653209;252;;;D0073;1
11653209;252;;;D0073;1
11653209;252;;;D0073;1
11653209;252;;;D0073;1
11653209;252;;;D0073;1
11653209;252;;;D0073;1
11653209;252;;;D0073;1
11763280;256;;;D0073;1
11763280;256;;;D0073;1
11757483;268;;;D0073;1
11757483;268;;;D0073;1
12098745;271;;;D0073;1
12098745;271;;;D0073;1
12150740;280;;;D0073;1
12150740;280;;;D0073;1
12132592;284;;;D0073;1
12398069;209;;;D0073;1
12087975;210;;;D0073;1
12150845;320;;;D0073;1
12150845;320;;;D0073;1
12377999;322;;;D0073;1
12377999;322;;;D0073;1
12377999;322;;;D0073;1
11846048;329;;;D0073;1
12374186;NULL;;;D0073;1
12374186;NULL;;;D0073;1
11693451;5;;;D0073;1
11693451;5;;;D0073;1
12468974;5;;;D0073;1
12468974;5;;;D0073;1
12468974;5;;;D0073;1
12468974;5;;;D0073;1
12289866;9;;;D0073;1
12289866;9;;;D0073;1
11950279;12;;;D0073;1
11950279;12;;;D0073;1
11950279;12;;;D0073;1
11566508;13;;;D0073;1
11562294;17;;;D0073;1
12469061;17;;;D0073;1
12469061;17;;;D0073;1
12469061;17;;;D0073;1
12469061;17;;;D0073;1
12469061;17;;;D0073;1
12469061;17;;;D0073;1
12231229;19;;;D0073;1
12231229;19;;;D0073;1
12098400;27;;;D0073;1
12098400;27;;;D0073;1
12353215;33;;;D0073;1
12336853;35;;;D0073;1
12336853;35;;;D0073;1
12336853;35;;;D0073;1
12468514;38;;;D0073;1
12169111;41;;;D0073;1
12169111;41;;;D0073;1
12169111;41;;;D0073;1
12169111;41;;;D0073;1
12169111;41;;;D0073;1
12169111;41;;;D0073;1
12353239;45;;;D0073;1
12321147;48;;;D0073;1
12451831;48;;;D0073;1
12451831;48;;;D0073;1
12451831;48;;;D0073;1
12200774;65;;;D0073;1
12200774;65;;;D0073;1
12200774;65;;;D0073;1
11966465;0;;;D0073;1
11966465;0;;;D0073;1
12153662;1;;;D0073;1
11883540;NULL;;;D0073;1
11883540;NULL;;;D0073;1
11959383;NULL;;;D0073;1
11959383;NULL;;;D0073;1
11959383;NULL;;;D0073;1
11959383;NULL;;;D0073;1
11959383;NULL;;;D0073;1
11959383;NULL;;;D0073;1
