ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
12203512;NULL;;;D0070;1
12451087;NULL;;;D0070;1
11535511;0;;;D0070;1
11551751;0;;;D0070;1
11579456;0;;;D0070;1
11588507;0;;;D0070;1
11591316;0;;;D0070;1
11599772;0;;;D0070;1
11650847;0;;;D0070;1
11666799;0;;;D0070;1
11668540;0;;;D0070;1
11672733;0;;;D0070;1
11718453;0;;;D0070;1
11718499;0;;;D0070;1
11733769;0;;;D0070;1
11740006;0;;;D0070;1
11740207;0;;;D0070;1
11771377;0;;;D0070;1
11867568;0;;;D0070;1
11867595;0;;;D0070;1
11892231;0;;;D0070;1
11892863;0;;;D0070;1
11895216;0;;;D0070;1
11906756;0;;;D0070;1
11933093;0;;;D0070;1
11933159;0;;;D0070;1
11996571;0;;;D0070;1
12009378;0;;;D0070;1
12050033;0;;;D0070;1
12064579;0;;;D0070;1
12102533;0;;;D0070;1
12104301;0;;;D0070;1
12104763;0;;;D0070;1
12111410;0;;;D0070;1
12119238;0;;;D0070;1
12119306;0;;;D0070;1
12131073;0;;;D0070;1
12131080;0;;;D0070;1
12159083;0;;;D0070;1
11780551;0;;;D0070;1
11805897;0;;;D0070;1
11805949;0;;;D0070;1
11829337;0;;;D0070;1
11829383;0;;;D0070;1
12182854;0;;;D0070;1
12184766;0;;;D0070;1
12221007;0;;;D0070;1
12223000;0;;;D0070;1
12247142;0;;;D0070;1
12247223;0;;;D0070;1
12247249;0;;;D0070;1
12247292;0;;;D0070;1
12252070;0;;;D0070;1
12272557;0;;;D0070;1
12295035;0;;;D0070;1
12304724;0;;;D0070;1
12304969;0;;;D0070;1
12314976;0;;;D0070;1
12328093;0;;;D0070;1
