Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Kazenski zakonik;Šifra kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;----------------;-----------------------;--------------;-------------------;--------------------;------------------------
;2017-7;1;38;m;KZ-1B;209010;6;0;NULL;D1552
;2017-7;1;38;m;KZ-1B;209010;6;0;NULL;D1552
;2017-7;1;38;m;KZ-1B;209010;6;0;NULL;D1552
;2017-7;1;38;m;KZ-1B;209010;6;0;40.01;D1552
;2017-7;1;38;m;KZ-1B;209010;NULL;0;NULL;D1552
;2017-7;1;38;m;KZ-1B;209010;6;0;NULL;D1552
;2017-6;0;61;m;KZ-1;253010;6;0;NULL;D0073
;2017-6;0;61;m;KZ-1;253010;6;0;NULL;D0073
;2017-6;0;61;m;KZ-1;253010;6;0;500.00;D0073
;2017-7;1;NULL;;KZ-1B;223020;6;0;NULL;D0073
;2017-7;1;48;m;KZ-1B;228010;6;0;850.00;D0073
;2017-7;1;NULL;;KZ-1B;228010;6;0;630.00;D0073
;2017-8;1;45;m;KZ-1B;204010;6;0;NULL;D0073
;2017-8;1;45;m;KZ-1B;204010;6;0;NULL;D0073
;2017-8;1;45;m;KZ-1B;204010;6;0;NULL;D0073
;2017-8;1;45;m;KZ-1B;204010;6;0;NULL;D0073
;2017-8;1;45;m;KZ-1B;204010;6;0;NULL;D0073
;2017-8;1;16;m;KZ-1B;204021;6;0;NULL;D0073
;2017-8;1;42;m;KZ-1B;228010;NULL;0;NULL;D0073
;2017-8;1;NULL;;KZ-1B;228010;6;0;NULL;D0073
;2017-8;1;45;ž;KZ-1B;208010;6;0;258.00;D0073
;2017-8;1;31;m;KZ-1B;211010;6;0;NULL;D0073
;2017-8;1;18;m;KZ-1B;220010;6;0;NULL;D0073
;2017-8;1;46;m;KZ-1B;323010;6;0;NULL;D0073
;2017-8;2;19;m;KZ-1;249030;6;0;NULL;D0073
;2017-8;2;NULL;;KZ-1;249030;6;0;NULL;D0073
;2017-8;2;41;m;KZ-1B;251030;6;0;NULL;D0073
;2017-8;1;56;m;KZ-1;323010;6;0;NULL;D0073
;2017-1;1;38;m;KZ-1;228010;6;0;400.00;D0073
;2017-1;1;NULL;;KZ-1;228010;6;0;300.00;D0073
;2017-1;2;32;ž;KZ-1;204021;6;0;300.00;D0073
;2017-1;2;NULL;m;KZ-1;308030;6;0;800.00;D0073
;2017-7;1;65;m;KZ-1;204021;NULL;0;NULL;D0073
;2017-8;1;45;m;KZ-1;310042;6;0;NULL;D0073
;2017-9;1;52;m;KZ-1;205011;NULL;0;NULL;D0073
