ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
14385029;630;;;D0981;1
13571591;2354;;;D0981;1
13678351;1232;;;D0981;1
14079633;76;;;D0981;1
13654652;NULL;;;D0981;1
13781404;2849;;;D0981;1
13627236;2787;;;D0981;1
13781482;2849;;;D0981;1
13714887;2818;;;D0981;1
14079597;76;;;D0981;1
13654652;2797;;;D0981;1
13781333;NULL;;;D0981;1
13827727;2864;;;D0981;1
14297470;619;;;D0981;1
13654845;2797;;;D0981;1
13739812;2829;;;D0981;1
13654652;2797;;;D0981;1
13735973;NULL;;;D0981;1
14079535;76;;;D0981;1
13654706;2797;;;D0981;1
13673989;2803;;;D0981;1
13736266;2825;;;D0981;1
13736278;2825;;;D0981;1
13739873;2829;;;D0981;1
14016343;168;;;D0981;1
13497512;1999;;;D0981;1
13714654;2818;;;D0981;1
13739765;NULL;;;D0981;1
13955718;665;;;D0981;1
13827727;2864;;;D0981;1
14258267;738;;;D0981;1
13449337;357;;;D0981;1
14168210;5055;;;D0981;1
13739951;2829;;;D0981;1
14058564;1412;;;D0981;1
14079470;76;;;D0981;1
14079548;76;;;D0981;1
14330911;369;;;D0981;1
14456844;457;;;D0981;1
13526102;40;;;D0981;1
13580743;311;;;D0981;1
13673989;2803;;;D0981;1
13736278;2825;;;D0981;1
13590738;2361;;;D0981;1
13739951;2829;;;D0981;1
13759923;3;;;D0981;1
13800822;2853;;;D0981;1
13897270;2207;;;D0981;1
14079617;76;;;D0981;1
14160308;256;;;D0981;1
13654652;2797;;;D0981;1
13747741;1144;;;D0981;1
13769379;605;;;D0981;1
13827727;2864;;;D0981;1
13827770;2864;;;D0981;1
14079604;76;;;D0981;1
13481647;1655;;;D0981;1
13654845;2797;;;D0981;1
13781451;NULL;;;D0981;1
13714772;2818;;;D0981;1
13714906;2818;;;D0981;1
14456844;457;;;D0981;1
13654706;2797;;;D0981;1
13673989;2803;;;D0981;1
13781540;NULL;;;D0981;1
14311671;183;;;D0981;1
13450389;1592;;;D0981;1
13714677;2818;;;D0981;1
13736153;2825;;;D0981;1
13739783;2829;;;D0981;1
13781697;2849;;;D0981;1
14079519;76;;;D0981;1
13627129;2787;;;D0981;1
13714782;2818;;;D0981;1
13800822;2853;;;D0981;1
14079490;76;;;D0981;1
13735874;2825;;;D0981;1
14079479;76;;;D0981;1
14310915;NULL;;;D0981;1
13739783;2829;;;D0981;1
13739812;2829;;;D0981;1
13781464;2849;;;D0981;1
13781697;2849;;;D0981;1
14079535;76;;;D0981;1
14409881;3276;;;D0981;1
13654822;2797;;;D0981;1
13736368;2825;;;D0981;1
14459573;459;;;D0981;1
13714744;2818;;;D0981;1
14456839;457;;;D0981;1
13714677;2818;;;D0981;1
13571591;2354;;;D0981;1
13654822;2797;;;D0981;1
13739873;NULL;;;D0981;1
13654870;NULL;;;D0981;1
14164088;1918;;;D0981;1
13627236;2787;;;D0981;1
14443178;3242;;;D0981;1
13897270;2207;;;D0981;1
14079498;76;;;D0981;1
13793853;1769;;;D0981;1
13481726;301;;;D0981;1
13538166;199;;;D0981;1
13654870;2797;;;D0981;1
13915877;2894;;;D0981;1
13781333;2849;;;D0981;1
13505096;1105;;;D0981;1
13906486;1005;;;D0981;1
13934671;97;;;D0981;1
14456847;457;;;D0981;1
13827770;2864;;;D0981;1
13451599;41;;;D0981;1
13739812;NULL;;;D0981;1
13740740;379;;;D0981;1
13781540;2849;;;D0981;1
13495728;53;;;D0981;1
13714677;NULL;;;D0981;1
13828890;1119;;;D0981;1
14087731;367;;;D0981;1
14176247;45;;;D0981;1
13627123;2787;;;D0981;1
13654643;2797;;;D0981;1
13736106;2825;;;D0981;1
13800822;2853;;;D0981;1
14054817;208;;;D0981;1
14402833;651;;;D0981;1
13915828;2894;;;D0981;1
14208553;370;;;D0981;1
13763619;103;;;D0981;1
13807581;1020;;;D0981;1
13810435;2480;;;D0981;1
13739765;2829;;;D0981;1
14128996;1619;;;D0981;1
14079498;76;;;D0981;1
14079513;76;;;D0981;1
13627068;2787;;;D0981;1
13649479;2421;;;D0981;1
13781516;2849;;;D0981;1
14079545;76;;;D0981;1
14140651;573;;;D0981;1
