ID,OE,Prisotnost
,ODT LJ,189
,ODT LJ,81.75
,ODT LJ,209
,ODT LJ,158.625
,ODT LJ,204
,ODT LJ,34
,ODT LJ,162
,ODT LJ,4
,ODT LJ,210
,ODT LJ,205
,ODT LJ,187
,ODT LJ,188
,ODT LJ,203
,ODT LJ,214
,ODT LJ,213
,ODT LJ,120.75
,ODT LJ,197.25
,ODT LJ,190
,ODT LJ,212
,ODT LJ,198
,ODT LJ,199
,ODT LJ,194
,ODT LJ,202
,ODT LJ,207
,ODT LJ,172.375
,ODT LJ,207
,ODT LJ,208
,ODT LJ,187
,ODT LJ,191
,ODT LJ,213
,ODT LJ,207
,ODT LJ,180
,ODT LJ,157.5
,ODT LJ,47
,ODT LJ,109.5
,ODT LJ,205
,ODT LJ,191
,ODT LJ,207
,ODT LJ,214
,ODT LJ,203.5
,ODT LJ,210
,ODT LJ,16.5
,ODT LJ,163
,ODT LJ,205
,ODT LJ,215
,ODT LJ,201
,ODT LJ,203
