ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
13523469;3;;;D0070;1
13723931;3;;;D0070;1
13631758;1;;;D0070;1
13718510;5;;;D0070;1
13605193;1;;;D0070;1
13713856;1;;;D0070;1
13885541;193;;;D0070;1
13715098;1;;;D0070;1
13484279;18;;;D0070;1
13446826;1;;;D0070;1
13482485;1;;;D0070;1
13723795;2;;;D0070;1
13524605;3;;;D0070;1
13511296;576;;;D0070;1
13525295;1;;;D0070;1
13554619;77;;;D0070;1
13702540;2;;;D0070;1
13608690;0;;;D0070;1
13486305;1;;;D0070;1
14017365;554;;;D0070;1
13705125;1;;;D0070;1
13626709;1;;;D0070;1
13534871;1;;;D0070;1
13483636;1;;;D0070;1
13614535;6;;;D0070;1
13586256;703;;;D0070;1
13605336;1;;;D0070;1
13545978;1;;;D0070;1
13632875;154;;;D0070;1
13604995;1;;;D0070;1
13607401;1;;;D0070;1
13479929;0;;;D0070;1
13519739;1;;;D0070;1
13549760;2;;;D0070;1
13546299;1;;;D0070;1
13578934;1;;;D0070;1
13833883;NULL;;;D0070;1
13524446;4;;;D0070;1
13561257;1;;;D0070;1
13620956;1;;;D0070;1
13446134;1;;;D0070;1
13705144;1;;;D0070;1
13561021;115;;;D0070;1
13458276;0;;;D0070;1
13583061;1;;;D0070;1
13523955;1;;;D0070;1
13486258;1;;;D0070;1
14100895;195;;;D0070;1
13563242;0;;;D0070;1
13565662;1;;;D0070;1
13715183;1;;;D0070;1
13479919;6;;;D0070;1
13486229;1;;;D0070;1
13629423;78;;;D0070;1
13608466;1;;;D0070;1
13723933;2;;;D0070;1
13739739;4;;;D0070;1
13667643;1;;;D0070;1
13714862;1;;;D0070;1
13643677;1;;;D0070;1
13599478;1;;;D0070;1
14102227;206;;;D0070;1
13603709;1;;;D0070;1
13563149;3;;;D0070;1
13456676;0;;;D0070;1
13671169;1;;;D0070;1
13621623;3;;;D0070;1
13475144;1;;;D0070;1
13702036;1;;;D0070;1
13623754;77;;;D0070;1
13643732;1;;;D0070;1
13498581;3;;;D0070;1
13515267;3;;;D0070;1
13667672;1;;;D0070;1
13490574;1;;;D0070;1
13671259;1;;;D0070;1
13583181;1;;;D0070;1
13658809;3;;;D0070;1
13647636;1;;;D0070;1
13792056;156;;;D0070;1
13690530;1;;;D0070;1
13541771;1;;;D0070;1
13523495;0;;;D0070;1
13445940;1;;;D0070;1
13643894;1;;;D0070;1
13513348;1;;;D0070;1
13723448;2;;;D0070;1
13604100;1;;;D0070;1
13524300;1;;;D0070;1
13723224;2;;;D0070;1
13654573;1;;;D0070;1
13555711;1;;;D0070;1
13482534;1;;;D0070;1
13643840;1;;;D0070;1
13702572;2;;;D0070;1
