Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Kazenski zakonik;Šifra kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;----------------;-----------------------;--------------;-------------------;--------------------;------------------------
;2016-5;1;16;m;KZ-1C;186010;6;0;.00;D1552
;2016-12;1;36;m;KZ-1;196010;NULL;0;NULL;D1552
;2016-12;1;39;m;KZ-1;113021;6;0;.00;D1552
;2017-1;1;10;m;KZ-1;122010;6;0;.00;D1552
;2007-3;1;19;m;KZ;211010;NULL;0;NULL;D1552
;2007-3;1;19;m;KZ;211010;NULL;0;NULL;D1552
;2007-3;1;19;m;KZ;211010;NULL;0;.00;D1552
;2011-6;2;35;;KZ-1;263020;NULL;0;60.00;D0073
;2017-10;1;18;m;KZ-1;204021;NULL;0;NULL;D0073
;2017-10;1;19;m;KZ-1;170010;6;0;.00;D0073
;2017-10;1;16;ž;KZ-1;204021;6;0;300.00;D0073
;2016-11;1;NULL;;KZ-1;228010;6;0;NULL;D0073
;2017-11;1;42;;KZ-1;211051;6;0;.00;D0073
;2017-11;1;39;m;KZ-1;211051;NULL;0;.00;D0073
;2017-11;1;16;ž;KZ-1;204021;6;0;NULL;D0073
;2017-10;1;57;m;KZ-1;285021;6;0;NULL;D0073
;2017-11;1;45;m;KZ-1;204021;6;0;.00;D0073
;2017-11;1;50;m;KZ-1B;228010;6;0;NULL;D0073
;2017-11;1;NULL;;KZ-1B;228010;6;0;NULL;D0073
;2017-11;1;48;m;KZ-1B;220010;6;0;NULL;D0073
;2017-11;1;41;m;KZ-1C;135010;NULL;0;NULL;D0073
;2017-11;1;23;m;KZ-1C;135010;6;0;NULL;D0073
;2017-11;1;54;m;KZ-1;283010;6;0;NULL;D0073
;2016-4;1;21;m;KZ-1;213010;6;0;NULL;D0073
;2017-11;1;41;ž;KZ-1;158010;NULL;0;NULL;D0073
;2017-11;1;41;m;KZ-1;197010;6;0;140.00;D0073
;2017-11;1;49;m;KZ-1;204021;6;0;NULL;D0073
;2015-11;1;42;m;KZ-1;191010;6;0;.00;D0073
;2015-12;7;NULL;;KZ-1;228021;NULL;0;NULL;D0073
;2015-11;1;60;m;KZ-1;192010;NULL;0;NULL;D0073
;2016-1;1;58;m;KZ-1;192010;6;0;300.00;D0073
;2016-1;1;59;m;KZ-1;192010;6;0;.00;D0073
;2016-1;1;57;m;KZ-1;192010;6;0;.00;D0073
;2016-1;1;59;m;KZ-1;192010;6;0;.00;D0073
;2016-1;1;59;m;KZ-1;192010;6;0;250.00;D0073
;2016-1;1;59;m;KZ-1;192010;NULL;0;NULL;D0073
;2016-1;0;50;m;KZ-1B;251010;6;0;.00;D0073
;2015-9;1;NULL;;KZ-1;196010;6;0;.00;D0073
;2016-1;1;NULL;;KZ-1;196010;6;0;.00;D0073
;2016-1;1;NULL;;KZ-1;251010;6;0;.00;D0073
;2016-3;1;32;m;KZ-1;296021;6;0;.00;D0073
;2016-3;1;51;m;KZ-1;296021;6;0;.00;D0073
;2016-3;1;53;ž;KZ-1;228010;6;0;.00;D0073
;2016-3;1;NULL;;KZ-1;228010;6;0;.00;D0073
;2016-8;7;NULL;;KZ-1;179031;6;0;230.00;D0073
;2016-8;7;NULL;;KZ-1;179031;6;0;.00;D0073
;2016-8;7;NULL;;KZ-1;179031;6;0;300.00;D0073
;2016-8;1;38;m;KZ-1;208050;6;0;.00;D0073
;2016-8;1;47;m;KZ-1;191010;6;0;.00;D0073
;2016-8;1;35;;KZ-1;190010;NULL;0;NULL;D0073
;2016-8;1;31;ž;KZ-1;228010;6;0;250.00;D0073
;2016-8;1;NULL;;KZ-1;228010;NULL;0;NULL;D0073
;2016-8;1;NULL;;KZ-1;240021;6;0;50.00;D0073
;2016-7;1;56;ž;KZ-1;211021;6;0;.00;D0073
;2016-9;1;46;m;KZ-1;211010;6;0;.00;D0073
;2016-9;1;31;ž;KZ-1;228010;6;0;.00;D0073
;2016-9;1;35;m;KZ-1;204010;6;0;.00;D0073
;2016-9;1;37;m;KZ-1;204010;6;0;.00;D0073
;2016-9;1;37;m;KZ-1;205031;6;0;.00;D0073
;2016-9;1;35;m;KZ-1;205031;6;0;.00;D0073
