Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Kazenski zakonik;Šifra kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;----------------;-----------------------;--------------;-------------------;--------------------;------------------------
;2017-3;2;18;ž;KZ-1;204021;6;0;.00;D1552
;2017-5;1;37;m;KZ-1;199010;6;0;NULL;D1552
;2017-12;1;29;ž;KZ-1;204021;6;0;.00;D0073
;2017-5;7;28;m;KZ-1;204021;6;0;NULL;D0073
;2017-3;1;48;m;KZ-1;257010;6;0;NULL;D0073
;2017-4;1;23;m;KZ-1;211051;6;0;.00;D0073
;2017-4;1;65;ž;KZ-1;204021;6;0;.00;D0073
;2017-4;1;52;m;KZ-1;204021;6;0;.00;D0073
;2017-3;1;63;m;KZ-1;204021;6;0;.00;D0073
;2017-4;1;39;m;KZ-1;204021;6;0;450.00;D0073
;2017-4;1;NULL;;KZ-1;122010;6;0;.00;D0073
;2017-4;2;43;m;KZ-1;122010;6;0;.00;D0073
;2017-4;1;15;m;KZ-1;204021;6;0;jun.88;D0073
;2017-4;1;15;ž;KZ-1;204021;6;0;70160.93;D0073
;2017-4;1;36;m;KZ-1;235010;6;0;200.00;D0073
;2017-4;1;53;ž;KZ-1;205011;6;0;.00;D0073
;2017-4;1;53;ž;KZ-1;204021;6;0;400.00;D0073
;2017-4;1;53;ž;KZ-1;204021;6;0;.00;D0073
;2017-4;1;53;ž;KZ-1;204021;6;0;.00;D0073
;2017-1;0;33;m;KZ-1;283010;6;0;.00;D0073
;2017-1;1;33;m;KZ-1;228010;NULL;0;NULL;D0073
;2017-1;1;33;m;KZ-1;216010;NULL;0;NULL;D0073
;2017-5;1;35;m;KZ-1;204021;6;0;.00;D0073
;2017-3;1;76;m;KZ-1C;135010;6;0;.00;D0073
;2017-3;1;NULL;;KZ-1;257010;6;0;.00;D0073
;2017-3;1;NULL;;KZ-1;288010;6;0;.00;D0073
;2017-3;1;38;m;KZ-1;122010;6;0;150.00;D0073
