ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
14288786;118;;;D0073;1
14199323;38;;;D0073;1
14034148;161;;;D0073;1
13524748;0;;;D0073;1
13878571;694;;;D0073;1
14073272;79;;;D0073;1
14068213;500;;;D0073;1
14198767;181;;;D0073;1
13802972;98;;;D0073;1
13677524;213;;;D0073;1
13984087;290;;;D0073;1
14018652;4;;;D0073;1
13918360;163;;;D0073;1
13548191;105;;;D0073;1
13627604;207;;;D0073;1
14301494;11;;;D0073;1
13810471;440;;;D0073;1
14127661;367;;;D0073;1
14347876;183;;;D0073;1
14196816;87;;;D0073;1
13655161;54;;;D0073;1
13520242;79;;;D0073;1
14285763;259;;;D0073;1
14430414;252;;;D0073;1
14079557;276;;;D0073;1
14080074;329;;;D0073;1
13876183;249;;;D0073;1
14338958;156;;;D0073;1
14204536;21;;;D0073;1
13542246;105;;;D0073;1
13698978;81;;;D0073;1
13479170;87;;;D0073;1
14023858;7;;;D0073;1
13587725;95;;;D0073;1
13832417;67;;;D0073;1
14027456;0;;;D0073;1
13702108;46;;;D0073;1
13698957;54;;;D0073;1
14393316;64;;;D0073;1
13466965;169;;;D0073;1
13482232;79;;;D0073;1
13852777;68;;;D0073;1
13759913;105;;;D0073;1
14021555;88;;;D0073;1
13530244;55;;;D0073;1
14204232;24;;;D0073;1
13586273;142;;;D0073;1
13732065;718;;;D0073;1
13500730;64;;;D0073;1
14409802;87;;;D0073;1
13604023;174;;;D0073;1
13449183;140;;;D0073;1
13646517;-1;;;D0073;1
13882975;41;;;D0073;1
13826511;164;;;D0073;1
13461472;213;;;D0073;1
13932923;158;;;D0073;1
14108193;148;;;D0073;1
13522069;287;;;D0073;1
13888805;93;;;D0073;1
14198020;212;;;D0073;1
14365875;24;;;D0073;1
14401382;381;;;D0073;1
13976553;124;;;D0073;1
14108630;343;;;D0073;1
13521506;226;;;D0073;1
14189298;84;;;D0073;1
13836032;100;;;D0073;1
14108500;83;;;D0073;1
14352850;387;;;D0073;1
14079154;49;;;D0073;1
13918220;74;;;D0073;1
13855497;14;;;D0073;1
14201031;3;;;D0073;1
13835265;103;;;D0073;1
13550776;6;;;D0073;1
13725900;94;;;D0073;1
14375409;168;;;D0073;1
13548510;252;;;D0073;1
13771813;318;;;D0073;1
13685359;90;;;D0073;1
14282872;351;;;D0073;1
13802957;98;;;D0073;1
14068041;552;;;D0073;1
14021524;0;;;D0073;1
14321705;141;;;D0073;1
14400882;4;;;D0073;1
13629575;76;;;D0073;1
14118939;22;;;D0073;1
13984827;59;;;D0073;1
14053005;257;;;D0073;1
14021524;0;;;D0073;1
14034148;161;;;D0073;1
13926363;35;;;D0073;1
14376577;76;;;D0073;1
14028950;52;;;D0073;1
13629575;76;;;D0073;1
13829060;101;;;D0073;1
14170049;77;;;D0073;1
13467438;202;;;D0073;1
