ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
13450060;355;;;D0070;1
13475840;301;;;D0070;1
13609481;27;;;D0070;1
13706094;178;;;D0070;1
13706094;178;;;D0070;1
13717160;128;;;D0070;1
13741093;287;;;D0070;1
13744986;125;;;D0070;1
13766175;119;;;D0070;1
13766199;126;;;D0070;1
13766218;NULL;;;D0070;1
13829669;2;;;D0070;1
13844790;210;;;D0070;1
13903821;345;;;D0070;1
13903821;345;;;D0070;1
13959959;NULL;;;D0070;1
13991985;18;;;D0070;1
14026677;105;;;D0070;1
14046085;7;;;D0070;1
14152555;287;;;D0070;1
14193927;244;;;D0070;1
14193953;477;;;D0070;1
14193981;192;;;D0070;1
14193981;192;;;D0070;1
14193981;192;;;D0070;1
14219511;336;;;D0070;1
14219536;313;;;D0070;1
14219684;328;;;D0070;1
14219696;293;;;D0070;1
14219704;160;;;D0070;1
14219775;17;;;D0070;1
14226397;314;;;D0070;1
14226544;298;;;D0070;1
14226746;119;;;D0070;1
14348381;97;;;D0070;1
14348381;97;;;D0070;1
14351865;118;;;D0073;1
14351865;118;;;D0073;1
14351865;280;;;D0073;1
14351865;280;;;D0073;1
14343230;57;;;D0073;1
14343230;123;;;D0073;1
14319201;74;;;D0073;1
14319201;74;;;D0073;1
14319291;49;;;D0073;1
14324119;38;;;D0073;1
14326127;56;;;D0073;1
14326127;56;;;D0073;1
14326140;152;;;D0073;1
14333319;41;;;D0073;1
14333338;72;;;D0073;1
14339732;323;;;D0073;1
14273836;3;;;D0073;1
14273836;3;;;D0073;1
14273836;8;;;D0073;1
14273836;8;;;D0073;1
14273874;180;;;D0073;1
14273874;180;;;D0073;1
14273890;65;;;D0073;1
14273901;61;;;D0073;1
14273901;61;;;D0073;1
14249927;4;;;D0073;1
14283137;181;;;D0073;1
14287504;195;;;D0073;1
14287571;174;;;D0073;1
