ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
13648556;0;;;D0070;1
13448496;1;;;D0070;1
13448521;1;;;D0070;1
13481452;0;;;D0070;1
13544072;1;;;D0070;1
13648421;0;;;D0070;1
13680299;0;;;D0070;1
13680504;-5;;;D0070;1
13680632;0;;;D0070;1
13660467;6;;;D0070;1
13674244;0;;;D0070;1
13449729;1;;;D0070;1
13647673;0;;;D0070;1
13648503;0;;;D0070;1
13647814;0;;;D0070;1
13448457;1;;;D0070;1
13564512;-7;;;D0070;1
13544143;1;;;D0070;1
13448539;1;;;D0070;1
13648782;6;;;D0070;1
13449625;1;;;D0070;1
13448407;1;;;D0070;1
13661419;0;;;D0070;1
13660498;0;;;D0070;1
13685465;11;;;D0070;1
13746283;0;;;D0070;1
13448328;1;;;D0070;1
13564707;-7;;;D0070;1
13793663;917;;;D0070;1
13481158;0;;;D0070;1
13600532;-4;;;D0070;1
13564664;-7;;;D0070;1
13564819;-7;;;D0070;1
13558186;0;;;D0070;1
13564806;-7;;;D0070;1
13661548;0;;;D0070;1
13680594;0;;;D0070;1
13665686;0;;;D0070;1
13741131;0;;;D0070;1
13544019;1;;;D0070;1
14455552;NULL;;;D0070;1
13557876;0;;;D0070;1
13599708;-4;;;D0070;1
14455531;632;;;D0070;1
13544588;1;;;D0070;1
13660541;6;;;D0070;1
13746133;0;;;D0070;1
13747275;0;;;D0070;1
13635159;103;;;D0070;1
13742592;0;;;D0070;1
13450575;2;;;D0070;1
13680276;0;;;D0070;1
13648009;0;;;D0070;1
13542495;0;;;D0070;1
13742782;0;;;D0070;1
13558827;0;;;D0070;1
13544386;1;;;D0070;1
13737485;0;;;D0070;1
13600555;-4;;;D0070;1
13680371;0;;;D0070;1
13680449;0;;;D0070;1
13543557;1;;;D0070;1
13448289;1;;;D0070;1
13746322;0;;;D0070;1
13450422;1;;;D0070;1
13481242;0;;;D0070;1
13660593;0;;;D0070;1
13992232;29;;;D0070;1
13680511;0;;;D0070;1
13599312;-4;;;D0070;1
13599136;0;;;D0070;1
13680691;0;;;D0070;1
14119249;9511;;;D0070;1
13767639;1005;;;D0070;1
13648114;0;;;D0070;1
13466797;2;;;D0070;1
13680541;0;;;D0070;1
13564779;-7;;;D0070;1
13743058;0;;;D0070;1
13747263;0;;;D0070;1
13481496;0;;;D0070;1
13450613;1;;;D0070;1
13566776;0;;;D0070;1
13560166;-6;;;D0070;1
13742497;0;;;D0070;1
13481070;-3;;;D0070;1
13647861;0;;;D0070;1
13789909;354;;;D0092;1
13565183;292;;;D0092;1
14261811;582;;;D0092;1
13956032;160;;;D0092;1
14442224;323;;;D0092;1
13938788;470;;;D0092;1
13899610;587;;;D0092;1
13935289;301;;;D0092;1
14442224;442;;;D0092;1
13627057;249;;;D0092;1
13935289;301;;;D0092;1
13565183;292;;;D0092;1
13922425;362;;;D0092;1
14157335;279;;;D0092;1
13652240;339;;;D0092;1
14063301;497;;;D0092;1
13917470;826;;;D0962;1
13904885;495;;;D0962;1
13600609;1161;;;D0962;1
13874616;816;;;D0962;1
13992516;527;;;D0962;1
13915519;1066;;;D0962;1
13568744;834;;;D0962;1
13802399;1248;;;D0962;1
14233542;123;;;D0962;1
14132158;184;;;D0962;1
14429023;64;;;D0962;1
14178360;980;;;D0962;1
14348846;20;;;D0962;1
13656019;280;;;D0962;1
13911782;2918;;;D0962;1
14027634;NULL;;;D0962;1
13923161;506;;;D0962;1
13738341;58;;;D0962;1
13623916;1156;;;D0962;1
13690532;753;;;D0962;1
13917535;376;;;D0962;1
14429206;807;;;D0962;1
13915554;178;;;D0962;1
13620104;264;;;D0962;1
14139466;598;;;D0962;1
13636772;400;;;D0962;1
13752910;825;;;D0962;1
13544857;16;;;D0962;1
13923536;3154;;;D0962;1
13611858;830;;;D0962;1
13860321;491;;;D1458;1
14417472;559;;;D1458;1
13490465;357;;;D1458;1
13951952;524;;;D1458;1
14429804;695;;;D1458;1
14168279;476;;;D1458;1
14060937;895;;;D1458;1
13742199;902;;;D1458;1
14331799;316;;;D1005;1
14497991;90;;;D1005;1
14422367;446;;;D1005;1
14455143;37;;;D1005;1
14365823;204;;;D0073;1
13650859;83;;;D0073;1
13759564;144;;;D0073;1
14269866;119;;;D0073;1
13702718;37;;;D0073;1
13589639;105;;;D0073;1
14336089;236;;;D0073;1
14194369;287;;;D0073;1
14386038;1;;;D0073;1
14025641;970;;;D0073;1
14150058;19;;;D0073;1
13922390;94;;;D0073;1
13635088;330;;;D0073;1
14456039;107;;;D0073;1
13847352;177;;;D0073;1
14151538;62;;;D0073;1
14102132;238;;;D0073;1
14232804;145;;;D0073;1
13512742;69;;;D0073;1
14058679;135;;;D0073;1
13699674;32;;;D0073;1
14020903;85;;;D0073;1
14366648;129;;;D0073;1
14419477;54;;;D0073;1
14456044;86;;;D0073;1
13856129;264;;;D0073;1
14424767;12;;;D0073;1
14072362;338;;;D0073;1
13776771;30;;;D0073;1
14025086;753;;;D0073;1
13657649;287;;;D0073;1
13604672;71;;;D0073;1
13476452;42;;;D0073;1
13762030;273;;;D0073;1
13751454;825;;;D0073;1
13595024;49;;;D0073;1
14266104;228;;;D0073;1
13936088;388;;;D0073;1
14202358;318;;;D0073;1
13510938;137;;;D0073;1
14351875;71;;;D0073;1
14102108;112;;;D0073;1
14096919;94;;;D0073;1
14351921;145;;;D0073;1
14282091;1126;;;D0073;1
14305766;141;;;D0073;1
14351932;16;;;D0073;1
13450984;61;;;D0073;1
13527796;NULL;;;D0073;1
13618700;312;;;D0073;1
14077488;79;;;D0073;1
13965456;110;;;D0073;1
13774259;210;;;D0073;1
14064177;215;;;D0073;1
13859596;236;;;D0073;1
13851673;137;;;D0073;1
14258314;111;;;D0073;1
13793445;112;;;D0073;1
14274696;109;;;D0073;1
13779543;120;;;D0073;1
13936088;249;;;D0073;1
13943531;296;;;D0073;1
13943569;751;;;D0073;1
14287771;167;;;D0073;1
14351945;8;;;D0073;1
13949766;263;;;D0073;1
13809992;95;;;D0073;1
13809971;98;;;D0073;1
14190176;630;;;D0073;1
14451607;269;;;D0073;1
13979758;3;;;D0073;1
13548639;63;;;D0073;1
13775215;95;;;D0073;1
13911090;173;;;D0073;1
14025132;161;;;D0073;1
13856024;73;;;D0073;1
14391126;1010;;;D0073;1
14424918;200;;;D0073;1
14483972;176;;;D0073;1
14394751;896;;;D0073;1
14184964;237;;;D0073;1
13988435;348;;;D0073;1
13779483;169;;;D0073;1
14394874;196;;;D0073;1
13847226;112;;;D0073;1
14447573;132;;;D0073;1
14266416;129;;;D0073;1
13510938;137;;;D0073;1
14019653;7;;;D0073;1
14443030;210;;;D0073;1
14258314;238;;;D0073;1
13505622;1;;;D0073;1
14020861;220;;;D0073;1
13935032;59;;;D0073;1
14096790;118;;;D0073;1
13500632;7;;;D0073;1
14102118;446;;;D0073;1
13847130;NULL;;;D0073;1
14424618;25;;;D0073;1
14365142;237;;;D0073;1
13496059;6;;;D0073;1
14366111;80;;;D0073;1
14201596;39;;;D0073;1
14443036;184;;;D0073;1
13563167;82;;;D0073;1
13949775;263;;;D0073;1
14080775;543;;;D0073;1
14095985;2555;;;D0073;1
14016940;191;;;D0073;1
13532463;15;;;D0073;1
14443011;105;;;D0073;1
14443072;309;;;D0073;1
14131417;93;;;D0073;1
13847226;112;;;D0073;1
14096906;77;;;D0073;1
13650806;1622;;;D0073;1
13480796;62;;;D0073;1
13522188;98;;;D0073;1
14443044;79;;;D0073;1
13532427;14;;;D0073;1
14331826;202;;;D0073;1
14385966;67;;;D0073;1
13774937;160;;;D0073;1
14020846;110;;;D0073;1
14149269;NULL;;;D0073;1
14266108;352;;;D0073;1
13936088;101;;;D0073;1
14385564;363;;;D0073;1
14366261;147;;;D0073;1
13510938;137;;;D0073;1
13805882;94;;;D0073;1
13988338;110;;;D0073;1
13779519;171;;;D0073;1
14220625;249;;;D0073;1
13637849;55;;;D0073;1
14183389;380;;;D0073;1
13450984;61;;;D0073;1
14274766;209;;;D0073;1
13481194;166;;;D0073;1
14172162;295;;;D0073;1
13618791;90;;;D0073;1
14419530;251;;;D0073;1
14441804;952;;;D0073;1
14365715;819;;;D0073;1
13527869;169;;;D0073;1
14037186;NULL;;;D0130;1
13496172;NULL;;;D0130;1
13955853;NULL;;;D0130;1
13697451;71;;;D5245;1
13697451;71;;;D5245;1
13966417;119;;;D0968;1
13966232;111;;;D0968;1
