ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
13570644;119;;;D0966;1
13525592;213;;;D0966;1
13677975;364;;;D0966;1
14020341;7;;;D0966;1
13536318;26;;;D0966;1
13705830;157;;;D0966;1
13749311;84;;;D0966;1
14110303;1604;;;D0966;1
13944801;76;;;D0966;1
14190302;27;;;D0966;1
14032158;83;;;D0966;1
13522784;140;;;D0966;1
13943874;14;;;D0966;1
14131164;578;;;D0966;1
14190302;27;;;D0966;1
13773320;93;;;D0966;1
13663539;6;;;D0966;1
14096665;804;;;D0966;1
14172401;7;;;D0966;1
13984951;13;;;D0966;1
13859806;671;;;D0966;1
13601355;69;;;D0966;1
13522784;-161;;;D0966;1
14097613;5;;;D0966;1
13649300;76;;;D0966;1
13751315;13;;;D0966;1
13926122;3;;;D0966;1
14249769;27;;;D0966;1
13878708;558;;;D0966;1
13749905;14;;;D0966;1
13770191;683;;;D0966;1
14066720;30;;;D0966;1
13707386;113;;;D0966;1
14031934;76;;;D0966;1
14354933;1596;;;D0966;1
14188600;119;;;D0966;1
13800302;109;;;D0966;1
13717456;65;;;D0966;1
14030967;46;;;D0966;1
14185575;51;;;D0966;1
13712762;NULL;;;D0966;1
14036052;23;;;D0966;1
14207206;6;;;D0966;1
13672990;93;;;D0966;1
13869517;560;;;D0966;1
13707408;113;;;D0966;1
13707386;113;;;D0966;1
13988945;14;;;D0966;1
14388244;125;;;D0966;1
13490786;84;;;D0966;1
13631890;2;;;D0966;1
13859806;671;;;D0966;1
14511121;6;;;D0966;1
13769706;471;;;D0966;1
13698685;NULL;;;D0966;1
13984951;13;;;D0966;1
14000213;28;;;D0966;1
14359072;107;;;D0966;1
14084607;86;;;D0966;1
14130935;5;;;D0966;1
14164494;71;;;D0966;1
14171738;79;;;D0966;1
14318448;1;;;D0966;1
14318401;27;;;D0966;1
