ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
14029877;6;;;D1552;1
14029877;6;;;D1552;1
14023901;196;;;D1552;1
14029877;6;;;D1552;1
14029877;6;;;D1552;1
14029877;6;;;D1552;1
14023901;196;;;D1552;1
14029877;6;;;D1552;1
13693882;325;;;D0085;1
14002378;133;;;D0085;1
14200148;369;;;D0085;1
14401704;102;;;D0085;1
14002378;133;;;D0085;1
14401704;102;;;D0085;1
14002378;133;;;D0085;1
14401704;102;;;D0085;1
14401704;102;;;D0085;1
14002378;133;;;D0085;1
14401704;102;;;D0085;1
13609591;461;;;D1553;1
13609591;579;;;D1553;1
13609591;461;;;D1553;1
14176745;407;;;D0098;1
13532536;251;;;D0098;1
13699781;14;;;D0098;1
13936101;92;;;D0098;1
14439173;30;;;D0098;1
13645648;589;;;D0098;1
14487546;155;;;D0098;1
13977500;3;;;D0098;1
13911752;84;;;D0098;1
13474682;107;;;D0098;1
14399509;106;;;D0098;1
14005064;NULL;;;D0098;1
13532536;286;;;D0098;1
14024144;164;;;D0098;1
14036238;714;;;D0098;1
13857522;393;;;D0098;1
14025883;164;;;D0098;1
14487546;155;;;D0098;1
14001372;43;;;D0098;1
14422314;258;;;D0098;1
14093849;254;;;D0098;1
13701970;11;;;D0098;1
13911752;84;;;D0098;1
13972019;131;;;D0098;1
14019063;350;;;D0098;1
14155343;252;;;D0098;1
13936101;92;;;D0098;1
14240561;180;;;D0098;1
14001287;104;;;D0098;1
14311145;28;;;D0098;1
13972034;104;;;D0098;1
14024144;164;;;D0098;1
14430843;134;;;D0098;1
14273008;37;;;D0098;1
13681677;152;;;D0098;1
13911752;84;;;D0098;1
13911752;135;;;D0098;1
13769614;253;;;D0098;1
14325726;13;;;D0098;1
13977500;3;;;D0098;1
14024144;164;;;D0098;1
13911752;84;;;D0098;1
14487546;155;;;D0098;1
13600720;51;;;D0098;1
14014477;241;;;D0098;1
13972037;188;;;D0098;1
13605944;34;;;D0098;1
14001287;104;;;D0098;1
13476136;291;;;D0098;1
13972037;104;;;D0098;1
13972034;160;;;D0098;1
14019063;489;;;D0098;1
14487546;155;;;D0098;1
14146934;225;;;D0098;1
13972037;104;;;D0098;1
14025883;164;;;D0098;1
13661372;150;;;D0098;1
14036238;714;;;D0098;1
14024144;164;;;D0098;1
14025883;164;;;D0098;1
13977500;3;;;D0098;1
13573116;89;;;D0098;1
13554056;122;;;D0098;1
14001287;104;;;D0098;1
14243100;4;;;D0098;1
14487546;155;;;D0098;1
13646340;204;;;D0098;1
14025883;164;;;D0098;1
13812769;412;;;D0098;1
14439177;140;;;D0098;1
14240383;545;;;D0098;1
13936101;92;;;D0098;1
13812386;29;;;D0098;1
14025883;164;;;D0098;1
14487546;155;;;D0098;1
14036228;55;;;D0098;1
13916376;188;;;D0098;1
14240383;545;;;D0098;1
14025883;164;;;D0098;1
13911752;84;;;D0098;1
14025883;164;;;D0098;1
13701815;21;;;D0098;1
13972034;104;;;D0098;1
14001287;104;;;D0098;1
13492696;1;;;D0098;1
14209594;11;;;D0098;1
13911752;84;;;D0098;1
14024144;164;;;D0098;1
13874534;28;;;D0098;1
14487546;155;;;D0098;1
13936101;190;;;D0098;1
14268279;531;;;D0098;1
13977500;3;;;D0098;1
14024144;164;;;D0098;1
14053985;39;;;D0098;1
13813334;203;;;D0098;1
13972037;104;;;D0098;1
14359814;20;;;D0098;1
13972034;104;;;D0098;1
13636662;52;;;D0098;1
14106233;106;;;D0098;1
14024144;164;;;D0098;1
13873936;274;;;D0098;1
