Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Kazenski zakonik;Šifra kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;----------------;-----------------------;--------------;-------------------;--------------------;------------------------
;2017-1;1;31;m;KZ-1;217031;6;0;.00;D1552
;2017-1;1;24;m;KZ-1;217031;6;0;.00;D1552
;2017-1;1;32;;KZ-1;217031;6;0;200.00;D1552
;2017-3;1;44;m;KZ-1;228010;NULL;0;NULL;D1552
;2017-3;1;NULL;;KZ-1;228010;NULL;0;6170.63;D1552
;2017-7;1;26;m;KZ-1B;186010;6;0;NULL;D1552
;2017-7;1;31;ž;KZ-1;220010;NULL;0;NULL;D0073
;2017-7;1;42;m;KZ-1B;228010;6;0;NULL;D0073
;2017-7;1;NULL;;KZ-1B;228010;6;0;.00;D0073
;2015-5;1;42;m;KZ-1;226020;6;0;NULL;D0073
;2017-7;1;50;ž;KZ-1B;160010;6;0;NULL;D0073
;2017-6;1;NULL;;KZ-1B;228010;6;0;NULL;D0073
;2017-6;1;15;m;KZ-1;138010;6;0;NULL;D0073
;2017-6;1;72;ž;KZ-1;208050;6;0;NULL;D0073
;2017-6;1;38;m;KZ-1;228010;NULL;0;NULL;D0073
;2017-6;1;13;m;KZ-1B;122010;6;0;.00;D0073
;2017-7;2;20;m;KZ-1;251030;6;0;NULL;D0073
;2017-7;1;36;m;KZ-1B;204021;6;0;.00;D0073
;2017-7;1;35;ž;KZ-1;228010;6;0;.00;D0073
;2017-7;1;NULL;;KZ-1;228010;6;0;.00;D0073
;2017-3;1;15;m;KZ-1;123031;6;0;8217.23;D0073
;2017-3;1;NULL;ž;KZ-1;284020;NULL;0;NULL;D0073
;2017-3;1;16;m;KZ-1;204021;6;0;.00;D0073
;2017-3;1;55;m;KZ-1C;135010;6;0;.00;D0073
;2015-9;2;NULL;ž;KZ-1;251030;6;0;60.00;D0073
;2015-9;2;NULL;ž;KZ-1;251030;6;0;200.00;D0073
;2015-9;2;NULL;m;KZ-1;251030;6;0;.00;D0073
;2017-2;1;22;m;KZ-1;228010;NULL;0;NULL;D0073
;2017-2;1;NULL;;KZ-1;228010;NULL;0;NULL;D0073
;2017-2;1;17;m;KZ-1;220010;6;0;.00;D0073
;2017-3;1;17;m;KZ-1;205011;6;0;.00;D0073
;2017-8;1;56;m;KZ-1C;135010;6;0;2630.00;D0073
;2017-8;1;16;m;KZ-1;204021;6;0;NULL;D0073
;2017-8;1;16;m;KZ-1;208050;6;0;NULL;D0073
;2017-8;1;19;ž;KZ-1B;122021;6;0;300.00;D0073
;2017-5;1;NULL;m;KZ-1;211010;NULL;0;NULL;D0073
;2017-9;1;28;m;KZ-1C;135021;NULL;0;NULL;D0073
;2017-9;1;63;m;KZ-1;211051;6;0;NULL;D0073
;2017-9;1;42;m;KZ-1;253010;6;0;.00;D0073
;2017-9;1;17;m;KZ-1C;135010;6;0;.00;D0073
;2017-9;1;21;m;KZ-1C;135010;6;0;NULL;D0073
;2017-9;1;22;m;KZ-1C;135010;6;0;NULL;D0073
;2017-9;1;37;ž;KZ-1;192020;6;0;NULL;D0073
;2017-1;1;17;m;KZ-1;220021;6;0;.00;D0073
;2014-7;1;36;m;KZ-1;209051;6;0;.00;D0073
;2016-12;1;17;m;KZ-1;205013;6;0;.00;D0073
;2016-12;1;16;m;KZ-1;205013;6;0;.00;D0073
;2016-12;2;18;m;KZ-1;205013;6;0;30.00;D0073
;2016-12;1;17;m;KZ-1;204021;6;0;.00;D0073
;2016-12;1;29;m;KZ-1;204021;6;0;.00;D0073
;2016-12;1;52;ž;KZ-1;284010;6;0;250.00;D0073
;2016-10;1;NULL;;KZ-1;228010;6;0;.00;D0073
;2016-12;1;54;m;KZ-1C;135010;NULL;0;NULL;D0073
;2017-1;2;75;m;KZ-1;245031;NULL;0;NULL;D0073
;2016-12;1;59;ž;KZ-1;257010;NULL;0;NULL;D0073
;2016-12;1;NULL;ž;KZ-1;288010;NULL;0;NULL;D0073
;2016-11;1;18;m;KZ-1;208050;6;0;100.00;D0073
;2016-11;1;51;m;KZ-1C;135010;6;0;300.00;D0073
;2016-8;1;48;ž;KZ-1;258000;NULL;0;NULL;D0073
;2016-8;1;48;ž;KZ-1;288021;6;0;.00;D0073
;2016-11;1;19;m;KZ-1;235010;6;0;25.feb;D0073
;2016-11;1;37;m;KZ-1;235010;NULL;0;NULL;D0073
;2016-11;1;31;m;KZ-1;235010;NULL;0;NULL;D0073
;2016-11;1;27;m;KZ-1;235010;NULL;0;NULL;D0073
;2016-11;1;21;m;KZ-1;211051;6;0;600.00;D0073
;2016-11;1;NULL;m;KZ-1;257010;NULL;0;NULL;D0073
;2016-11;1;34;ž;KZ-1;190010;6;0;.00;D0073
;2016-11;1;31;m;KZ-1;323010;6;0;780.00;D0073
;2016-11;1;21;m;KZ-1;214000;6;0;.00;D0073
;2016-11;1;26;m;KZ-1;204021;6;0;3350.00;D0073
;2016-11;2;59;ž;KZ-1;249010;6;0;2000.00;D0073
;2016-11;2;59;ž;KZ-1;227010;6;0;.00;D0073
;2016-11;1;32;m;KZ-1;191010;6;0;100.00;D0073
;2016-11;1;31;m;KZ-1;211051;6;0;1225.73;D0073
