Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Kazenski zakonik;Šifra kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;----------------;-----------------------;--------------;-------------------;--------------------;------------------------
;2015-11;0;39;m;KZ-1;194010;6;0;.00;D1552
;2016-4;1;NULL;;KZ-1;228010;6;0;.00;D1552
;2017-1;1;44;m;KZ-1;122010;NULL;0;NULL;D1552
;2014-1;0;64;m;KZ-1;228010;6;0;200000.00;D1552
;2014-12;1;43;m;KZ-1;228010;6;0;.00;D1552
;2015-3;1;NULL;;KZ-1;228010;NULL;0;NULL;D1552
;2015-1;1;NULL;;KZ-1;228010;NULL;0;NULL;D1552
;2016-2;1;20;m;KZ-1;217010;NULL;0;NULL;D1552
;2017-7;1;35;ž;KZ-1;122010;6;0;.00;D1552
;2015-11;1;42;m;KZ-1;196021;6;0;NULL;D1552
;2015-11;1;74;m;KZ-1;196021;6;0;NULL;D1552
;2015-11;1;65;ž;KZ-1;196021;6;0;NULL;D1552
;2015-11;1;42;m;KZ-1;202000;NULL;0;NULL;D1552
;2015-11;1;74;m;KZ-1;202000;NULL;0;NULL;D1552
;2015-11;1;65;ž;KZ-1;202000;NULL;0;NULL;D1552
;2015-11;1;42;m;KZ-1;211010;6;0;.00;D1552
;2015-11;1;74;m;KZ-1;211010;NULL;0;NULL;D1552
;2015-11;1;65;ž;KZ-1;211010;NULL;0;NULL;D1552
;2017-11;1;34;m;KZ-1;190010;6;0;.00;D1552
;2017-10;1;34;m;KZ-1B;190010;6;0;.00;D1552
;2008-11;1;NULL;;KZ;234110;NULL;0;NULL;D1552
;2008-11;1;NULL;;KZ;215010;NULL;0;NULL;D1552
;2008-11;1;NULL;;KZ;217010;NULL;0;NULL;D1552
;2008-11;1;NULL;;KZ;256010;NULL;0;NULL;D1552
;2014-4;1;46;m;KZ-1;227010;6;0;200.00;D1552
;2014-4;1;NULL;;KZ-1;227010;6;0;379.85;D1552
;2015-6;1;30;m;KZ-1;251010;6;0;250.00;D1552
;2016-10;1;36;m;KZ-1;191010;NULL;0;NULL;D1552
;2017-6;0;25;ž;KZ-1;251010;6;0;.00;D1552
;2017-7;1;53;m;KZ-1;211010;6;0;NULL;D1552
;2017-10;1;58;m;KZ-1B;173030;NULL;0;NULL;D1552
;2017-10;1;58;m;KZ-1B;192010;6;0;560.00;D1552
;2017-10;1;58;m;KZ-1B;135010;6;0;.00;D1552
;2017-11;1;25;m;KZ-1;204021;6;0;NULL;D0073
;2017-10;1;NULL;ž;KZ-1;258000;6;0;NULL;D0073
;2017-11;1;44;ž;KZ-1;204021;NULL;0;NULL;D0073
;2017-11;1;45;ž;KZ-1B;135010;6;0;NULL;D0073
;2017-11;1;49;m;KZ-1;252013;NULL;0;NULL;D0073
;2017-11;1;33;m;KZ-1;252013;NULL;0;NULL;D0073
;2017-11;1;32;m;KZ-1;299010;6;0;NULL;D0073
;2017-11;1;44;m;KZ-1;217021;6;0;NULL;D0073
;2017-10;1;39;m;KZ-1;228010;6;0;.00;D0073
;2017-11;1;22;m;KZ-1;211010;6;0;800.00;D0073
;2017-11;1;34;ž;KZ-1;204021;6;0;NULL;D0073
;2017-11;1;20;m;KZ-1;204021;6;0;700.00;D0073
;2017-10;1;NULL;ž;KZ-1;284010;6;0;NULL;D0073
;2017-11;1;32;m;KZ-1B;122010;6;0;NULL;D0073
;2017-11;2;35;m;KZ-1B;186010;NULL;0;NULL;D0073
;2017-11;1;25;m;KZ-1;204021;6;0;.00;D0073
;2017-11;1;25;m;KZ-1;204021;6;0;NULL;D0073
;2017-11;1;26;m;KZ-1;204021;6;0;.00;D0073
;2017-11;1;35;m;KZ-1;204021;NULL;0;NULL;D0073
;2017-11;1;52;m;KZ-1;204021;NULL;0;NULL;D0073
;2017-11;1;26;m;KZ-1;211051;NULL;0;NULL;D0073
;2017-11;1;35;m;KZ-1;204021;NULL;0;NULL;D0073
;2017-11;1;29;m;KZ-1;217021;6;0;NULL;D0073
;2017-11;7;74;ž;KZ-1C;204021;6;0;NULL;D0073
;2017-11;1;57;ž;KZ-1;328010;6;0;NULL;D0073
;2017-11;1;53;ž;KZ-1;211010;6;0;.00;D0073
;2017-11;1;56;m;KZ-1;208050;6;0;NULL;D0073
;2017-11;1;43;m;KZ-1;211010;6;0;NULL;D0073
;2017-11;1;45;ž;KZ-1;204021;NULL;0;NULL;D0073
;2017-11;1;43;m;KZ-1;220010;6;0;.00;D0073
;2017-11;1;39;ž;KZ-1;204021;6;0;NULL;D0073
;2017-10;1;43;m;KZ-1C;135010;6;0;NULL;D0073
;2017-10;1;57;m;KZ-1C;135010;6;0;NULL;D0073
