Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Kazenski zakonik;Šifra kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;----------------;-----------------------;--------------;-------------------;--------------------;------------------------
;2016-9;1;NULL;m;KZ-1;228010;6;0;.00;D1552
;2016-9;1;NULL;;KZ-1;228010;6;0;.00;D1552
;2016-9;1;NULL;m;KZ-1;209010;6;0;.00;D1552
;2016-9;1;NULL;;KZ-1;209010;NULL;0;NULL;D1552
;2015-1;0;65;m;KZ-1;245031;6;0;.00;D1552
;2017-10;0;65;m;KZ-1;221020;6;0;51.98;D0073
;2017-9;1;23;m;KZ-1C;135010;6;0;.00;D0073
;2017-9;7;59;m;KZ-1;251010;NULL;0;NULL;D0073
;2017-9;7;58;m;KZ-1;211010;NULL;0;NULL;D0073
;2017-10;1;42;m;KZ-1;122010;6;0;NULL;D0073
;2017-10;1;19;m;KZ-1;122010;NULL;0;NULL;D0073
;2017-9;0;54;m;KZ-1C;135010;6;0;67.98;D0073
;2017-9;0;15;m;KZ-1B;190010;6;0;NULL;D0073
;2015-3;0;NULL;;KZ-1;228010;6;0;NULL;D0073
;2015-6;1;30;ž;KZ-1;228010;6;0;.00;D0073
;2015-6;1;NULL;;KZ-1;228010;6;0;.00;D0073
;2015-6;1;18;m;KZ-1;205012;6;0;40.00;D0073
;2015-6;1;20;ž;KZ-1;205012;6;0;.00;D0073
;2015-6;1;18;m;KZ-1;204010;6;0;750.00;D0073
;2016-9;1;61;m;KZ-1;122010;6;0;.00;D0073
;2016-11;1;53;m;KZ-1;228010;6;0;.00;D0073
;2016-11;1;NULL;;KZ-1;228010;6;0;.00;D0073
;2016-11;0;43;m;KZ-1;257010;6;0;.00;D0073
;2016-11;1;44;m;KZ-1;228010;6;0;20.00;D0073
