Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Kazenski zakonik;Šifra kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;----------------;-----------------------;--------------;-------------------;--------------------;------------------------
;2017-2;1;48;ž;KZ-1;283010;NULL;0;NULL;D1552
;2017-2;1;46;;KZ-1;204021;6;0;1000.00;D1552
;2017-5;2;35;m;KZ-1;308060;3;0;.00;D1552
;2017-5;2;36;m;KZ-1;308060;NULL;0;NULL;D1552
;2017-5;2;35;m;KZ-1;308060;6;0;NULL;D1552
;2017-8;1;52;m;KZ-1B;135010;6;0;NULL;D1552
;2017-9;2;27;m;KZ-1B;186010;6;0;.00;D1552
;2017-9;7;29;ž;KZ-1;204021;NULL;0;NULL;D1552
;2017-9;1;54;m;KZ-1;204021;NULL;0;NULL;D0073
;2017-9;1;39;m;KZ-1B;135010;NULL;0;NULL;D0073
;2017-9;1;45;m;KZ-1B;135010;NULL;0;NULL;D0073
;2017-9;1;73;m;KZ-1;122010;6;0;NULL;D0073
;2017-9;1;76;ž;KZ-1;204010;6;0;150.00;D0073
;2017-9;1;57;m;KZ-1;208050;6;0;110.00;D0073
;2017-9;1;39;m;KZ-1B;135010;6;0;NULL;D0073
;2017-9;2;28;m;KZ-1B;186010;6;0;.00;D0073
;2017-9;1;35;m;KZ-1;220010;6;0;.00;D0073
;2017-10;2;22;m;KZ-1B;186010;NULL;0;NULL;D0073
;0000-00;NULL;71;m;KZ-1;204021;6;0;NULL;D0073
;2017-10;2;27;m;KZ-1;251030;NULL;0;NULL;D0073
;2017-10;1;48;m;KZ-1B;220010;6;0;NULL;D0073
;2017-10;2;27;m;KZ-1;251030;6;0;NULL;D0073
;2017-10;7;27;m;KZ-1B;186010;6;0;NULL;D0073
;2017-10;1;54;m;KZ-1;211051;6;0;NULL;D0073
;2017-10;1;32;m;KZ-1;204021;6;0;NULL;D0073
;2017-10;1;31;m;KZ-1B;211051;6;0;50.00;D0073
;2017-10;2;56;m;KZ-1;251030;NULL;0;NULL;D0073
;2017-8;1;43;;KZ-1;257010;6;0;NULL;D0073
;2017-8;1;38;m;KZ-1;257010;6;0;NULL;D0073
;2017-8;2;58;m;KZ-1;251030;6;0;.00;D0073
;2017-8;1;49;m;KZ-1;257010;6;0;NULL;D0073
;2017-8;1;29;m;KZ-1;204021;6;0;NULL;D0073
;2017-8;1;38;m;KZ-1;284010;6;0;NULL;D0073
;2017-8;1;44;;KZ-1;258000;6;0;24805.00;D0073
;2017-8;1;39;m;KZ-1;258000;6;0;24805.00;D0073
;2017-3;1;33;m;KZ-1B;135010;6;0;.00;D0073
;2017-3;1;40;m;KZ-1B;135010;6;0;NULL;D0073
;2017-3;1;33;m;KZ-1;314020;6;0;150.00;D0073
;2017-3;1;40;m;KZ-1;314020;6;0;2605.00;D0073
;2017-8;1;19;m;KZ-1;208050;6;0;.00;D0073
;2017-8;1;46;m;KZ-1;204021;6;0;NULL;D0073
;2017-3;1;28;;KZ-1;204010;NULL;0;NULL;D0073
;2017-1;1;NULL;;KZ-1;228010;6;0;.00;D0073
;2017-9;2;52;m;KZ-1;251030;NULL;0;NULL;D0073
;2016-12;1;21;ž;KZ-1;204021;NULL;0;NULL;D0073
;2017-8;2;61;m;KZ-1;251030;NULL;0;NULL;D0073
;2017-8;2;27;m;KZ-1B;186010;NULL;0;NULL;D0073
;2017-8;1;60;ž;KZ-1B;135010;6;0;.00;D0073
;2016-12;1;34;ž;KZ-1B;135010;6;0;.00;D0073
;2016-12;1;14;m;KZ-1;204021;6;0;.00;D0073
;2016-12;2;28;m;KZ-1;251030;NULL;0;NULL;D0073
;2016-12;2;41;m;KZ-1;305010;6;0;.00;D0073
;2016-12;2;41;m;KZ-1;305010;6;0;.00;D0073
;2016-6;1;55;ž;KZ-1;251010;6;0;.00;D0073
;2016-7;1;NULL;;KZ-1;228010;6;0;.00;D0073
;2016-8;1;73;m;KZ-1;213010;1;0;.00;D0073
;2016-8;1;39;ž;KZ-1;252011;6;0;2400.00;D0073
;2016-8;1;39;ž;KZ-1;211010;6;0;20.00;D0073
;2016-8;1;39;m;KZ-1;203020;6;0;.00;D0073
;2016-7;1;57;m;KZ-1;122021;NULL;0;NULL;D0073
;2016-9;1;68;ž;KZ-1;284020;NULL;0;NULL;D0073
;2016-9;1;43;ž;KZ-1;284020;6;0;.00;D0073
;2016-9;1;47;ž;KZ-1;284020;6;0;.00;D0073
;2016-9;1;52;m;KZ-1;284020;6;0;.00;D0073
;2016-9;1;68;ž;KZ-1;220010;NULL;0;NULL;D0073
;2016-9;1;43;ž;KZ-1;220010;6;0;.00;D0073
;2016-9;1;48;ž;KZ-1;220010;6;0;.00;D0073
;2016-9;1;52;m;KZ-1;220010;6;0;.00;D0073
;2016-9;1;55;m;KZ-1;204010;6;0;.00;D0073
;2016-9;2;56;m;KZ-1;211021;6;0;2000.00;D0073
;2016-10;1;22;ž;KZ-1;228010;NULL;0;NULL;D0073
;2016-10;1;16;;KZ-1;204021;6;0;.00;D0073
;2016-10;1;45;m;KZ-1;191010;6;0;90.00;D0073
;2016-11;1;28;m;KZ-1;179031;6;0;.00;D0073
;2016-11;1;39;ž;KZ-1;179031;6;0;.00;D0073
;2016-11;1;47;m;KZ-1;179031;6;0;.00;D0073
;0000-00;NULL;NULL;;KZ-1;196021;NULL;0;NULL;D0073
;2016-11;1;56;m;KZ-1B;135010;6;0;.00;D0073
;2016-11;2;23;m;KZ-1;251030;NULL;0;NULL;D0073
;2016-11;1;34;m;KZ-1B;196010;6;0;8000.00;D0073
;2016-11;1;58;m;KZ-1;228010;6;0;.00;D0073
;2016-11;2;45;m;KZ-1;251030;6;0;70.00;D0073
;2016-11;1;43;ž;KZ-1;211010;6;0;.00;D0073
;2016-11;1;58;ž;KZ-1;191010;NULL;0;NULL;D0073
;2016-12;1;NULL;;KZ-1;228010;6;0;.00;D0073
;2016-12;1;42;m;KZ-1;228010;6;0;.00;D0073
;2017-11;2;41;m;KZ-1;251030;NULL;0;NULL;D0073
;2017-10;1;36;ž;KZ-1;197010;6;0;NULL;D0073
;2017-10;1;48;ž;KZ-1;257010;6;0;90.00;D0073
;2017-11;2;37;m;KZ-1;251030;6;0;.00;D0073
;2017-11;1;46;m;KZ-1;211010;6;0;NULL;D0073
;2017-11;2;42;m;KZ-1;251030;NULL;0;NULL;D0073
;2017-11;1;53;m;KZ-1;211051;NULL;0;NULL;D0073
;2017-11;2;52;m;KZ-1;251030;6;0;NULL;D0073
;2017-11;2;36;m;KZ-1;251030;6;0;NULL;D0073
;2017-11;2;63;m;KZ-1;251030;6;0;71.00;D0073
;2017-11;1;59;m;KZ-1;211010;6;0;NULL;D0073
;2017-12;2;34;m;KZ-1;251030;6;0;NULL;D0073
;2017-10;1;35;m;KZ-1;211010;6;0;NULL;D0073
;2017-10;1;37;m;KZ-1;211010;6;0;.00;D0073
;2017-10;1;NULL;;KZ-1;211010;6;0;NULL;D0073
;2017-8;1;49;m;KZ-1;258000;6;0;NULL;D0073
;2017-12;1;62;m;KZ-1;204021;6;0;.00;D0073
;2017-4;1;41;m;KZ-1C;135021;6;0;.00;D0073
;2017-6;1;NULL;;KZ-1;228010;6;0;.00;D0073
;2017-9;2;69;m;KZ-1;307031;6;0;.00;D0073
;2017-5;1;58;m;KZ-1;204021;6;0;NULL;D0073
;2017-5;2;33;m;KZ-1;186010;6;0;jan.15;D0073
;2017-5;2;28;m;KZ-1;186010;NULL;0;NULL;D0073
;2017-5;2;26;m;KZ-1;251030;NULL;0;NULL;D0073
;2017-5;1;42;m;KZ-1B;135010;6;0;NULL;D0073
;2017-5;1;41;m;KZ-1;122010;NULL;0;NULL;D0073
;2017-5;1;41;m;KZ-1;220010;NULL;0;NULL;D0073
;2017-5;1;30;ž;KZ-1;205011;6;0;.00;D0073
;2017-5;1;24;ž;KZ-1;217010;6;0;.00;D0073
;2017-5;7;25;m;KZ-1;296010;NULL;0;NULL;D0073
;2017-5;7;20;m;KZ-1;296010;NULL;0;NULL;D0073
;2017-5;7;22;m;KZ-1;296010;NULL;0;NULL;D0073
;2017-5;1;49;m;KZ-1C;135010;NULL;0;NULL;D0073
;2017-5;1;39;m;KZ-1;196010;NULL;0;NULL;D0073
;2017-3;1;21;m;KZ-1;208021;NULL;0;NULL;D0073
;2017-4;1;15;ž;KZ-1;191010;6;0;.00;D0073
;2017-4;1;19;ž;KZ-1;191010;6;0;.00;D0073
;2017-4;1;15;ž;KZ-1;122010;6;0;.00;D0073
;2017-4;1;19;ž;KZ-1;122010;6;0;.00;D0073
;2017-4;1;69;m;KZ-1B;135010;6;0;.00;D0073
;2017-4;2;37;m;KZ-1;251030;6;0;.00;D0073
;2017-4;1;57;ž;KZ-1;228031;6;0;15.00;D0073
;0000-00;NULL;54;m;KZ-1;251030;6;0;.00;D0073
;2017-4;1;21;m;KZ-1C;134121;6;0;.00;D0073
;2017-4;1;41;m;KZ-1C;135021;6;0;.00;D0073
;2017-4;1;47;;KZ-1;158010;6;0;.00;D0073
;2017-2;1;33;ž;KZ-1;211010;6;0;150.00;D0073
;2017-2;1;35;ž;KZ-1;143010;6;0;.00;D0073
;2017-3;1;54;m;KZ-1;191010;6;0;.00;D0073
;2017-3;1;54;m;KZ-1;122010;6;0;.00;D0073
;2017-3;1;60;m;KZ-1;204021;NULL;0;NULL;D0073
;2017-3;1;33;m;KZ-1;213031;6;0;.00;D0073
;2017-3;1;40;m;KZ-1;213031;6;0;.00;D0073
;2017-3;1;56;m;KZ-1B;135010;6;0;.00;D0073
;0000-00;NULL;48;m;KZ-1;191010;6;0;.00;D0073
;2017-3;2;40;m;KZ-1;251030;6;0;.00;D0073
;2017-3;2;46;m;KZ-1;323010;NULL;0;.00;D0073
;2014-8;1;61;m;KZ-1;240021;6;0;.00;D0073
;2016-12;2;31;m;KZ-1;251030;6;0;.00;D0073
;2017-1;1;47;m;KZ-1;204010;NULL;0;NULL;D0073
;2017-1;1;31;m;KZ-1;211051;NULL;0;NULL;D0073
;2017-1;1;25;ž;KZ-1;190010;6;0;.00;D0073
;2017-1;2;26;m;KZ-1;186020;6;0;100.00;D0073
;2017-1;2;39;m;KZ-1;217021;6;0;.00;D0073
;2017-1;1;50;;KZ-1B;135010;6;0;.00;D0073
;2017-1;1;54;m;KZ-1;122010;6;0;1250.00;D0073
;2017-1;1;36;m;KZ-1;204021;6;0;.00;D0073
;2016-11;1;45;m;KZ-1;213010;NULL;0;NULL;D0073
;2017-2;1;NULL;;KZ-1;228010;6;0;.00;D0073
;2017-2;1;51;m;KZ-1;228010;6;0;.00;D0073
;2017-2;1;37;m;KZ-1;228010;6;0;400.00;D0073
;2012-4;1;41;m;KZ-1;122010;NULL;0;2000.00;D0073
;2010-9;3;NULL;;KZ-1;196010;NULL;0;NULL;D0073
;2017-5;1;16;m;KZ-1;204021;6;0;.00;D0073
;2017-5;1;46;m;KZ-1;251030;6;0;NULL;D0073
;2017-5;1;50;m;KZ-1;211010;NULL;0;NULL;D0073
;2017-5;2;47;m;KZ-1;251030;6;0;NULL;D0073
;2017-5;2;36;m;KZ-1;251030;6;0;.00;D0073
;2017-5;1;51;ž;KZ-1;341010;6;0;NULL;D0073
;2017-2;1;16;;KZ-1;220010;6;0;.00;D0073
;2017-6;1;28;m;KZ-1;251030;6;0;NULL;D0073
;2017-6;2;33;ž;KZ-1;251030;6;0;NULL;D0073
;2017-6;2;34;m;KZ-1B;186010;6;0;NULL;D0073
;2017-6;2;24;m;KZ-1B;244010;6;0;NULL;D0073
;2017-6;1;53;ž;KZ-1;259010;6;0;.00;D0073
;2017-6;1;54;ž;KZ-1;257010;NULL;0;NULL;D0073
;2017-6;1;41;ž;KZ-1;191010;NULL;0;NULL;D0073
;2017-6;1;25;m;KZ-1;204010;6;0;.00;D0073
;2017-7;2;25;m;KZ-1;251030;6;0;30.jan;D0073
;2017-6;1;68;m;KZ-1;138010;6;0;NULL;D0073
;2017-6;1;68;m;KZ-1;285021;6;0;50.00;D0073
;2017-6;1;53;m;KZ-1;220010;6;0;NULL;D0073
;2017-4;1;47;;KZ-1;160010;6;0;500.00;D0073
;2017-6;1;68;m;KZ-1;283010;6;0;NULL;D0073
;2017-6;1;70;ž;KZ-1;283010;6;0;140.00;D0073
;2017-7;2;36;m;KZ-1;251030;6;0;.00;D0073
;2017-6;2;42;m;KZ-1;251030;6;0;.00;D0073
;2017-7;1;54;ž;KZ-1;211051;NULL;0;NULL;D0073
;2017-7;2;42;m;KZ-1B;186010;6;0;NULL;D0073
;2017-7;1;69;ž;KZ-1;284010;6;0;.00;D0073
