ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
14049041;5;;;D5092;1
14227143;415;;;D5092;1
14116129;1616;;;D5092;1
14049041;5;;;D5092;1
14178103;46;;;D5092;1
13808415;409;;;D5092;1
14161184;1254;;;D5092;1
14169340;2308;;;D5092;1
13479706;NULL;;;D5092;1
13686513;89;;;D5092;1
13446868;103;;;D5092;1
14075034;471;;;D5092;1
14116129;1616;;;D5092;1
14049041;5;;;D5092;1
13628396;NULL;;;D5092;1
14139829;181;;;D5092;1
14049041;5;;;D5092;1
14178103;46;;;D5092;1
14173839;372;;;D5092;1
13762281;124;;;D5092;1
14178103;46;;;D5092;1
14222663;934;;;D5092;1
14212770;2640;;;D5092;1
14056996;NULL;;;D5092;1
14222663;934;;;D5092;1
14198992;898;;;D5092;1
13686523;NULL;;;D5092;1
14340548;1169;;;D5092;1
14178103;46;;;D5092;1
13504787;279;;;D5092;1
14049041;5;;;D5092;1
14227071;2048;;;D5092;1
13740983;1093;;;D5092;1
14342547;2376;;;D5092;1
13587825;398;;;D5092;1
14173839;372;;;D5092;1
14116129;1483;;;D5092;1
13524277;NULL;;;D5092;1
13524277;NULL;;;D5092;1
14089533;NULL;;;D5092;1
13497898;1199;;;D5092;1
14220881;686;;;D5092;1
14178103;46;;;D5092;1
13760827;NULL;;;D5092;1
14049041;5;;;D5092;1
13493944;143;;;D5092;1
13613545;381;;;D5092;1
14178135;971;;;D5092;1
13740983;1093;;;D5092;1
14178103;46;;;D5092;1
14384427;2386;;;D5092;1
14172315;NULL;;;D5092;1
13740983;1093;;;D5092;1
14049041;5;;;D5092;1
14056996;67;;;D5092;1
13569672;87;;;D5092;1
14116129;1483;;;D5092;1
14295588;2081;;;D5092;1
14263565;434;;;D5092;1
14049041;5;;;D5092;1
14384427;2110;;;D5092;1
14178103;46;;;D5092;1
14227071;NULL;;;D5092;1
13844167;29;;;D5092;1
14178103;46;;;D5092;1
13524277;156;;;D5092;1
13524277;NULL;;;D5092;1
13972804;NULL;;;D5092;1
14306423;881;;;D5092;1
14204069;865;;;D5092;1
13972341;795;;;D5092;1
13636997;1387;;;D5092;1
14049041;5;;;D5092;1
14169340;4053;;;D5092;1
14089533;NULL;;;D5092;1
14112557;736;;;D5092;1
13740983;1093;;;D5092;1
13628396;1052;;;D5092;1
14069293;1225;;;D5092;1
14263548;994;;;D5092;1
13762281;124;;;D5092;1
14056996;67;;;D5092;1
14178103;46;;;D5092;1
13942053;NULL;;;D5092;1
13509758;NULL;;;D5092;1
14340548;NULL;;;D5092;1
13878175;511;;;D5092;1
14089533;2609;;;D5092;1
14221466;979;;;D5092;1
13689920;19;;;D5092;1
14321114;4109;;;D5092;1
13628247;411;;;D5092;1
14178103;46;;;D5092;1
14220881;686;;;D5092;1
13907503;NULL;;;D5092;1
13587852;398;;;D5092;1
14195557;1631;;;D5092;1
14112027;1645;;;D5092;1
14049041;5;;;D5092;1
14227143;NULL;;;D5092;1
13996880;530;;;D5092;1
13808415;409;;;D5092;1
13925417;1778;;;D5092;1
13843888;1052;;;D5092;1
14198992;898;;;D5092;1
14172315;862;;;D5092;1
13878108;430;;;D5092;1
14178103;46;;;D5092;1
14221466;904;;;D5092;1
14178103;46;;;D5092;1
13686513;89;;;D5092;1
14049041;5;;;D5092;1
14198992;973;;;D5092;1
14340548;535;;;D5092;1
14204098;531;;;D5092;1
14116129;1426;;;D5092;1
14340548;1169;;;D5092;1
13762245;924;;;D5092;1
13689846;182;;;D5092;1
14049041;5;;;D5092;1
13673393;819;;;D5092;1
13689846;182;;;D5092;1
14049041;5;;;D5092;1
14227143;NULL;;;D5092;1
14049041;5;;;D5092;1
14069293;NULL;;;D5092;1
14321114;NULL;;;D5092;1
14121371;1419;;;D5092;1
14004253;544;;;D5092;1
14121371;1865;;;D5092;1
14178135;971;;;D5092;1
14178103;46;;;D5092;1
13984939;462;;;D5092;1
14112561;735;;;D5092;1
14049041;5;;;D5092;1
13973303;1823;;;D5092;1
14178103;46;;;D5092;1
14153084;1499;;;D5092;1
14295588;4102;;;D5092;1
13686523;89;;;D5092;1
14342547;NULL;;;D5092;1
13689920;19;;;D5092;1
13479706;217;;;D5092;1
14342547;2376;;;D5092;1
14220881;NULL;;;D5092;1
13762281;124;;;D5092;1
14153084;NULL;;;D5092;1
14169340;2308;;;D5092;1
14049041;5;;;D5092;1
13637491;99;;;D5092;1
14178103;46;;;D5092;1
14056996;67;;;D5092;1
14178103;46;;;D5092;1
14172315;862;;;D5092;1
14178103;46;;;D5092;1
13686513;89;;;D5092;1
14306423;1728;;;D5092;1
14195557;1631;;;D5092;1
14178135;971;;;D5092;1
14198992;898;;;D5092;1
14139827;354;;;D5092;1
14227071;NULL;;;D5092;1
13945712;714;;;D5092;1
13843888;1052;;;D5092;1
13808415;409;;;D5092;1
13844167;29;;;D5092;1
13972804;994;;;D5092;1
14178103;46;;;D5092;1
13686523;89;;;D5092;1
14198992;973;;;D5092;1
14220881;686;;;D5092;1
13878159;568;;;D5092;1
14221466;904;;;D5092;1
13972341;NULL;;;D5092;1
14222663;934;;;D5092;1
13580077;NULL;;;D5092;1
14212770;NULL;;;D5092;1
14220881;1127;;;D5092;1
14220881;1127;;;D5092;1
14306423;881;;;D5092;1
14178103;46;;;D5092;1
14056996;NULL;;;D5092;1
14049041;5;;;D5092;1
14178103;46;;;D5092;1
14220881;1457;;;D5092;1
14139825;354;;;D5092;1
14049041;5;;;D5092;1
14116129;1616;;;D5092;1
14178103;46;;;D5092;1
14116107;1616;;;D5092;1
14116129;NULL;;;D5092;1
14049041;5;;;D5092;1
13762245;901;;;D5092;1
13689846;182;;;D5092;1
14139827;354;;;D5092;1
14321114;NULL;;;D5092;1
14295588;NULL;;;D5092;1
14049041;5;;;D5092;1
13887852;508;;;D5092;1
14153084;1442;;;D5092;1
14069293;NULL;;;D5092;1
13976048;648;;;D5092;1
13843888;1052;;;D5092;1
14178103;46;;;D5092;1
14340548;1169;;;D5092;1
14263548;NULL;;;D5092;1
14384427;NULL;;;D5092;1
14178103;46;;;D5092;1
14178135;971;;;D5092;1
14306423;881;;;D5092;1
14263548;994;;;D5092;1
13925417;510;;;D5092;1
13862597;285;;;D5092;1
13587825;398;;;D5092;1
13984939;462;;;D5092;1
14384427;2386;;;D5092;1
14342547;4121;;;D5092;1
14049041;5;;;D5092;1
14227071;2048;;;D5092;1
14169340;2032;;;D5092;1
13762245;924;;;D5092;1
13686513;NULL;;;D5092;1
14172315;862;;;D5092;1
14056996;67;;;D5092;1
14195557;1631;;;D5092;1
14159448;1631;;;D5092;1
14173839;372;;;D5092;1
14049041;5;;;D5092;1
13925417;510;;;D5092;1
14178135;NULL;;;D5092;1
13972804;994;;;D5092;1
14049041;5;;;D5092;1
13589651;784;;;D5092;1
14049041;5;;;D5092;1
14263565;434;;;D5092;1
13589646;784;;;D5092;1
14222663;934;;;D5092;1
13580077;1455;;;D5092;1
13773720;256;;;D5092;1
14220881;686;;;D5092;1
14049041;5;;;D5092;1
14227143;415;;;D5092;1
13740983;NULL;;;D5092;1
14178103;46;;;D5092;1
13628396;1052;;;D5092;1
14178103;46;;;D5092;1
14069293;NULL;;;D5092;1
13760827;654;;;D5092;1
14049041;5;;;D5092;1
14178103;46;;;D5092;1
13862597;285;;;D5092;1
14295588;NULL;;;D5092;1
13589593;839;;;D5092;1
14263565;434;;;D5092;1
13587825;398;;;D5092;1
14075034;471;;;D5092;1
14159448;1631;;;D5092;1
14169340;NULL;;;D5092;1
14173839;372;;;D5092;1
14178103;46;;;D5092;1
14178103;46;;;D5092;1
13900244;122;;;D5092;1
14116107;NULL;;;D5092;1
14178103;46;;;D5092;1
14121371;1419;;;D5092;1
13479706;217;;;D5092;1
13636997;1387;;;D5092;1
13686523;89;;;D5092;1
14069293;1225;;;D5092;1
13446868;103;;;D5092;1
14049041;5;;;D5092;1
13743114;727;;;D5092;1
13628396;1052;;;D5092;1
13740983;1093;;;D5092;1
13972341;795;;;D5092;1
13486329;279;;;D5092;1
14321114;2364;;;D5092;1
14049041;5;;;D5092;1
13479706;NULL;;;D5092;1
14178103;46;;;D5092;1
14178103;46;;;D5092;1
14169340;2032;;;D5092;1
13843888;1052;;;D5092;1
13686523;NULL;;;D5092;1
14102380;2616;;;D5092;1
13843888;1052;;;D5092;1
13580077;NULL;;;D5092;1
14178135;971;;;D5092;1
14227143;415;;;D5092;1
14178103;46;;;D5092;1
13587852;398;;;D5092;1
14204098;531;;;D5092;1
14049041;5;;;D5092;1
14384427;2386;;;D5092;1
14049041;5;;;D5092;1
14049041;5;;;D5092;1
14178103;46;;;D5092;1
14221466;NULL;;;D5092;1
14178103;46;;;D5092;1
14321114;2364;;;D5092;1
14295588;NULL;;;D5092;1
14342547;NULL;;;D5092;1
14049041;5;;;D5092;1
14049041;1443;;;D5092;1
14178103;46;;;D5092;1
13524277;156;;;D5092;1
13564434;1082;;;D5092;1
13900244;122;;;D5092;1
14056996;67;;;D5092;1
13972804;994;;;D5092;1
13945712;714;;;D5092;1
14049041;5;;;D5092;1
14222663;934;;;D5092;1
14178103;46;;;D5092;1
14169340;NULL;;;D5092;1
14049041;5;;;D5092;1
14049041;5;;;D5092;1
14340548;NULL;;;D5092;1
14049041;5;;;D5092;1
14056996;67;;;D5092;1
13973299;1823;;;D5092;1
14178103;46;;;D5092;1
14112557;736;;;D5092;1
14173839;372;;;D5092;1
14161184;1254;;;D5092;1
14340548;728;;;D5092;1
14263548;919;;;D5092;1
14159448;1498;;;D5092;1
14227071;NULL;;;D5092;1
14173839;372;;;D5092;1
13673393;819;;;D5092;1
14220881;NULL;;;D5092;1
14178103;46;;;D5092;1
13843888;1052;;;D5092;1
14227143;NULL;;;D5092;1
14112027;1455;;;D5092;1
14069293;NULL;;;D5092;1
14263548;994;;;D5092;1
14263565;434;;;D5092;1
14049041;5;;;D5092;1
14178103;46;;;D5092;1
13628396;1052;;;D5092;1
13628247;411;;;D5092;1
13762245;924;;;D5092;1
14049041;5;;;D5092;1
13689920;19;;;D5092;1
13878108;430;;;D5092;1
13587825;39;;;D5092;1
13996880;530;;;D5092;1
14049041;5;;;D5092;1
14116129;762;;;D5092;1
14116107;1616;;;D5092;1
14384427;NULL;;;D5092;1
13689735;185;;;D5092;1
13587852;398;;;D5092;1
14112027;1645;;;D5092;1
13587825;398;;;D5092;1
13504787;279;;;D5092;1
13976048;NULL;;;D5092;1
14049041;5;;;D5092;1
14049041;5;;;D5092;1
14173839;372;;;D5092;1
14153084;1632;;;D5092;1
13509758;851;;;D5092;1
14178103;46;;;D5092;1
13587852;398;;;D5092;1
14222663;934;;;D5092;1
14072307;265;;;D5092;1
14159448;NULL;;;D5092;1
13942053;189;;;D5092;1
14178103;46;;;D5092;1
14178103;46;;;D5092;1
14263548;919;;;D5092;1
14139825;354;;;D5092;1
14161184;1254;;;D5092;1
14342547;NULL;;;D5092;1
14116107;1616;;;D5092;1
14049041;5;;;D5092;1
14004253;1812;;;D5092;1
14049041;5;;;D5092;1
14178103;46;;;D5092;1
14221524;551;;;D5092;1
14227143;NULL;;;D5092;1
13689920;19;;;D5092;1
14056996;NULL;;;D5092;1
13686523;89;;;D5092;1
14049041;5;;;D5092;1
13479706;217;;;D5092;1
13580077;1455;;;D5092;1
14116107;1426;;;D5092;1
14056996;67;;;D5092;1
14178135;971;;;D5092;1
13740983;NULL;;;D5092;1
14178103;46;;;D5092;1
14049041;5;;;D5092;1
14049041;5;;;D5092;1
13762245;924;;;D5092;1
13689846;182;;;D5092;1
13475043;279;;;D5092;1
14263565;434;;;D5092;1
14384427;4131;;;D5092;1
14178103;46;;;D5092;1
14222663;934;;;D5092;1
13524277;NULL;;;D5092;1
14049041;5;;;D5092;1
14116107;762;;;D5092;1
14178103;46;;;D5092;1
13686513;89;;;D5092;1
14049041;5;;;D5092;1
14139791;1244;;;D5092;1
13689920;19;;;D5092;1
13628247;411;;;D5092;1
14340548;728;;;D5092;1
13972804;971;;;D5092;1
13493963;1120;;;D5092;1
14173839;372;;;D5092;1
13446868;103;;;D5092;1
14056996;67;;;D5092;1
14139791;1244;;;D5092;1
14306423;1728;;;D5092;1
13973303;1823;;;D5092;1
14222663;934;;;D5092;1
13690072;421;;;D5092;1
13742779;315;;;D5092;1
14221524;551;;;D5092;1
14049041;5;;;D5092;1
14153084;1632;;;D5092;1
14172315;862;;;D5092;1
14178103;46;;;D5092;1
14172183;538;;;D5092;1
14169340;2308;;;D5092;1
13762245;NULL;;;D5092;1
13762281;124;;;D5092;1
13762281;NULL;;;D5092;1
14340548;728;;;D5092;1
13686523;89;;;D5092;1
14178103;46;;;D5092;1
13686523;89;;;D5092;1
13843888;NULL;;;D5092;1
14178103;46;;;D5092;1
14069293;1225;;;D5092;1
14139829;354;;;D5092;1
13479706;217;;;D5092;1
14340548;617;;;D5092;1
14178103;46;;;D5092;1
14025688;480;;;D5092;1
14153084;1632;;;D5092;1
13446868;103;;;D5092;1
13524763;1877;;;D5092;1
14056996;NULL;;;D5092;1
14049041;5;;;D5092;1
14178103;46;;;D5092;1
14159448;1631;;;D5092;1
14049041;5;;;D5092;1
