Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Kazenski zakonik;Šifra kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;----------------;-----------------------;--------------;-------------------;--------------------;------------------------
41076378;2018-11;1;21;m;KZ-1;205011;6;0;500.00;D0098
41076379;2018-11;1;34;m;KZ-1;217021;6;0;354757.00;D0098
41076380;2018-11;1;19;m;KZ-1;205011;6;0;354757.00;D0098
41076409;2018-11;1;38;m;KZ-1B;191031;6;0;0.00;D0981
41076410;2018-11;1;42;m;KZ-1B;192020;6;0;1400.00;D0981
41076481;2018-11;0;NULL;m;KZ-1;310010;NULL;0;NULL;D0003
41076507;2018-11;2;40;m;KZ-1;328010;6;0;0.00;D0003
41076518;2018-8;1;51;m;KZ-1B;122010;6;0;0.00;D0003
41076552;2018-11;1;46;ž;KZ-1;204010;6;0;NULL;D0003
41076554;2018-11;1;41;m;KZ-1;314010;6;0;NULL;D0003
41076567;2018-11;1;41;m;KZ-1;138010;6;0;119.53;D0003
41076571;2018-11;1;45;ž;KZ-1;131010;6;0;NULL;D1469
41076602;2018-11;1;52;ž;KZ-1;204021;6;0;NULL;D0003
41076619;2018-5;1;NULL;;KZ-1;227020;6;0;NULL;D0003
41076620;2018-5;1;48;m;KZ-1;227020;6;0;1000.00;D0003
41076696;2018-11;1;18;ž;KZ-1;204021;6;0;0.00;D0003
41076705;2018-11;1;63;ž;KZ-1;229021;6;0;200.00;D1465
41076706;2018-11;1;34;m;KZ-1;229021;6;0;37.68;D1465
41076714;2018-10;1;38;m;KZ-1;204010;6;0;40.00;D1465
41076715;2018-10;1;38;m;KZ-1;204010;6;0;NULL;D1465
41076718;2018-10;1;38;m;KZ-1;204010;6;0;1500.00;D1465
41076719;2018-10;1;41;m;KZ-1;204010;6;0;NULL;D1465
41076756;2018-11;1;49;m;KZ-1;196010;6;0;NULL;D5092
41076757;2018-11;1;NULL;;KZ-1;196010;6;0;NULL;D5092
41076814;2018-11;2;24;m;KZ-1;251010;6;0;0.00;D0098
41076821;2018-11;1;32;m;KZ-1;191010;6;0;NULL;D0003
41076822;2018-11;1;67;m;KZ-1;160010;6;0;220.00;D0003
41076880;2018-11;1;42;m;KZ-1C;135010;6;0;0.00;D0003
41076958;2018-9;1;40;m;KZ-1;204021;6;0;NULL;D0014
41076977;2018-11;1;58;ž;KZ-1;204021;6;0;0.00;D0003
41077113;2018-11;1;18;ž;KZ-1;204021;6;0;200.00;D0003
41077122;2018-11;1;29;m;KZ-1B;135021;6;0;130.00;D0003
41077180;2018-12;1;27;m;KZ-1;211051;NULL;0;NULL;D0003
41077191;2018-10;1;29;ž;KZ;261021;6;0;NULL;D0003
41077192;2018-10;1;42;ž;KZ;261021;6;0;0.00;D0003
41077193;2018-10;1;NULL;;KZ;261021;6;0;NULL;D0003
41077194;2018-10;1;NULL;ž;KZ;261021;6;0;NULL;D0003
