ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
15996304;3;20417;41106799;D0966;1
16237655;44;20417;41118856;D1165;1
16926284;2594;20443;20160387;D0003;1
16906353;NULL;20905;41208761;D1313;1
16838498;4;20685;41200268;D0003;1
16483223;236;83582015;41082934;D1460;1
16306755;39;21013;41097643;D0966;1
16886882;9;21213;41201345;D5092;1
16182214;102;20685;41092244;D0073;1
16552025;1861;21009;40635874;D0021;1
16503103;70;83582015;41142166;D0082;1
16271070;653;20685;41138786;D0014;1
16397455;116;83582015;41114499;D1460;1
16198976;NULL;83582015;41130814;D3151;1
16271123;618;20685;41138792;D0014;1
16271132;618;20685;41138792;D0014;1
16271070;695;20685;41185466;D0014;1
16155868;82;83582005;41122824;D0966;1
16899919;927;21213;40900609;D0003;1
16270981;651;20685;41185744;D0014;1
16318924;NULL;NULL;41143861;D0003;1
16122590;230;21279;41043704;D0003;1
16032249;287;20685;41112731;D0014;1
16124377;107;21279;41084492;D1164;1
16344205;1426;20905;40692415;D1317;1
16242831;524;21279;40962147;D1469;1
16075599;579;20685;41117126;D0014;1
15840545;70;21213;41066960;D0073;1
15836439;55;20685;41069953;D1166;1
16519001;422;20415;41023300;D0021;1
16552025;1853;21009;40575700;D0021;1
16218418;25;20417;41125349;D1165;1
15940699;1;20685;41101051;D0003;1
16218384;7;20417;41129455;D5092;1
16415638;220;83582005;41080891;D0966;1
16049390;NULL;NULL;41114550;D1165;1
16891889;475;82781195;41047473;D0003;1
16271212;651;20685;41185744;D0014;1
16394766;610;21213;40978259;D1469;1
16727457;105;21279;41152019;D0098;1
16147759;75;20685;41098706;D1165;1
16443398;1114;21279;40799723;D0003;1
16839254;2401;20905;40414740;D1469;1
16271200;630;20685;41138791;D0014;1
16363474;29;21279;41140951;D1166;1
15888592;7;20685;41094145;D0073;1
16270981;651;20685;41138775;D0014;1
16032278;299;20685;41112714;D0014;1
16901238;107;20969;41170721;D5092;1
16271085;574;20685;41138795;D0014;1
16032212;240;20685;41112742;D0014;1
16687183;2477;20905;20175826;D1469;1
16190509;347;21013;41011163;D0098;1
16512871;83;21279;41140951;D0003;1
16693778;92;21213;41185477;D0014;1
16750961;180;83253457;41134239;D0003;1
16912465;814;20417;40940604;D0003;1
16141499;581;21279;40932033;D0003;1
16075590;107;20685;41117141;D0014;1
16270981;798;20685;41212215;D0014;1
16271070;728;20685;40891493;D0014;1
16436475;201;21213;41089511;D1166;1
16652820;1130;20527;40814725;D1469;1
15961168;118;83582015;41064406;D0003;1
16806517;2158;21165;40497664;D1175;1
16283202;15;20685;41134369;D1165;1
16136490;3368;21279;20165281;D1469;1
16270993;651;20685;41138775;D0014;1
16578892;223;83582005;41099789;D5093;1
16389589;NULL;NULL;41152952;D1131;1
16344514;41;20905;41133722;D0003;1
16304501;174;21279;41081511;D5092;1
16438346;11;20417;41156463;D0966;1
16899781;5;20685;41202941;D0073;1
16031686;89;21171;41083548;D0020;1
16340699;862;20969;40863643;D0105;1
16271160;756;20685;41185462;D0014;1
16271123;651;20685;41185743;D0014;1
16438449;322;21279;41047142;D0098;1
16565942;412;21279;41035037;D0003;1
16776420;96;83582005;41164542;D0073;1
16793615;2071;21013;40841971;D0003;1
16826963;2053;20417;40536280;D5092;1
