ID,OE,Prisotnost,,
20313,ODT LJ,132,,
21165,ODT LJ,197,,
20793,ODT LJ,203,,
83580083,ODT LJ,17,,
20571,ODT LJ,193,,
21157,ODT LJ,194,,
20603,ODT LJ,193,,
20579,ODT LJ,209,,
85087439,ODT LJ,10,,
20993,ODT LJ,205,,
21161,ODT LJ,185,,
20955,ODT LJ,216,,
20529,ODT LJ,215,,
21437,ODT LJ,208,,
83580163,ODT LJ,200,,
20853,ODT LJ,139,,
21323,ODT LJ,198,,
20865,ODT LJ,191,,
83253347,ODT LJ,10,,
20997,ODT LJ,213,,
83581279,ODT LJ,195.5,,
21319,ODT LJ,198,,
20043,ODT LJ,197,,
83580139,ODT LJ,178.875,,
20281,ODT LJ,212,,
20767,ODT LJ,196,,
21445,ODT LJ,171,,
20753,ODT LJ,202,,
20841,ODT LJ,200,,
20445,ODT LJ,151.5,,
83233789,ODT LJ,182,,
20125,ODT LJ,137.375,,
21225,ODT LJ,206,,
83326815,ODT LJ,191,,
20187,ODT LJ,0,,
20633,ODT LJ,199,,
20663,ODT LJ,201,,
21207,ODT LJ,200,,
20503,ODT LJ,182.25,,
83338425,ODT LJ,190,,
21009,ODT LJ,210,,
20415,ODT LJ,200,,
82925745,ODT LJ,208,,
20527,ODT LJ,196,,
83462719,ODT LJ,0,,
83326797,ODT LJ,220,,
20353,ODT LJ,205,,
83234513,ODT LJ,206,,
20983,ODT LJ,58,,
