ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
16765796;14;20809;41188509;D3151;1
16315878;NULL;21045;41144466;D3151;1
16432600;5;21215;41155519;D3151;1
16713213;98;21215;41155651;D3151;1
16097350;NULL;20953;41119480;D3151;1
16508562;NULL;20461;41165858;D3151;1
16052118;6;20953;41114507;D3151;1
16538865;13;20077;41168348;D3151;1
16665799;6;20809;41210048;D3151;1
15961053;NULL;20467;41104984;D3151;1
16499770;15;20809;41160642;D3151;1
16289942;NULL;20497;41139427;D3151;1
16713213;98;21215;41155658;D3151;1
16722522;8;21159;41184706;D3151;1
16764183;19;21045;41185350;D3151;1
16440823;8;21215;41155654;D3151;1
16555535;NULL;NULL;41170915;D3151;1
16693909;118;20461;41162818;D3151;1
16780608;1;20497;41193517;D3151;1
16025618;19;20809;41104840;D3151;1
15914967;126;21159;41055152;D3151;1
16165473;133;21215;41107673;D3151;1
16348111;1;20467;41146538;D3151;1
15852351;1;20779;41091506;D3151;1
16387429;NULL;NULL;41152728;D3151;1
16888507;8;20809;41203193;D3151;1
16268171;1;21329;41136862;D3151;1
16440823;NULL;21215;41208352;D3151;1
16117152;2;21329;41119699;D3151;1
16421139;7;21329;41153160;D3151;1
16117091;12;83581631;41117182;D3151;1
16245810;23;21159;41129476;D3151;1
16720463;99;21215;41155655;D3151;1
16372708;29;20461;41143463;D3151;1
16366650;115;20943;41110952;D3151;1
15997754;1106;20953;40753689;D3151;1
16702058;3;21159;41183760;D3151;1
16538865;13;20077;41168350;D3151;1
16722522;8;21159;41184701;D3151;1
16165473;133;21215;41107668;D3151;1
16720458;99;21215;41179522;D3151;1
16498923;NULL;21045;41163837;D3151;1
16765450;25;20943;41193724;D3151;1
16517790;8;21215;41165677;D3151;1
16579380;36;20809;41162094;D3151;1
16362367;28;20809;41138690;D3151;1
16165473;133;21215;41107656;D3151;1
16410178;77;20573;41131374;D3151;1
16814983;46;21215;41183854;D3151;1
16538952;7;21215;41165970;D3151;1
16266092;NULL;20809;41138360;D3151;1
16620166;97;20461;41147062;D3151;1
16713217;98;21215;41179522;D3151;1
16485400;NULL;83581631;41163364;D3151;1
16714993;2;20943;41185400;D3151;1
16720463;NULL;21215;41179518;D3151;1
16165433;279;21215;41127355;D3151;1
15997754;1106;20953;40753686;D3151;1
16098753;5;21329;41116516;D3151;1
16899341;3;20809;41205805;D3151;1
16165473;279;21215;41127392;D3151;1
16093822;7;NULL;41115867;D3151;1
16713213;98;21215;41155653;D3151;1
16579380;36;20809;41162093;D3151;1
16316574;5;NULL;41141982;D3151;1
16280714;1;20809;41137889;D3151;1
16441315;2;20809;41156980;D3151;1
16720463;99;21215;41155658;D3151;1
15907153;36;21159;41085685;D3151;1
16720463;NULL;21215;41208354;D3151;1
16171106;NULL;21215;41127690;D3151;1
16665075;40;21073;41166365;D3151;1
