ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
16250726;127;20759;41092576;D0073;1
16725235;40;20479;41175182;D0073;1
16053908;51;20227;41094019;D0073;1
16296863;14;20107;41132037;D0073;1
16520878;53;20679;41148717;D0073;1
16893600;10;20759;41198814;D0073;1
16022975;14;20679;41104701;D0073;1
15914188;77;83569975;41072068;D0073;1
15830491;437;20679;40946522;D0073;1
16172217;4;20759;41122673;D0073;1
16429292;112;20201;41118293;D0073;1
16014082;89;20479;41081185;D0073;1
15882240;29;20107;41088294;D0073;1
16290956;13;20107;41137386;D0073;1
16117661;327;20479;41010345;D0073;1
16360981;227;20201;41068565;D0073;1
16553859;21;20305;41161943;D0073;1
15923242;19;83569975;41092116;D0073;1
16051838;277;20107;41021663;D0073;1
16716343;1;20479;41186532;D0073;1
16618691;49;20305;41159268;D0073;1
16618691;49;20305;41159261;D0073;1
16618310;153;20759;41123668;D0073;1
16328989;70;20227;41122060;D0073;1
16776666;425;20201;41037706;D0073;1
16796590;351;83569975;41077535;D0073;1
16424050;160;20201;41104049;D0073;1
16360747;6;20305;41142265;D0073;1
16312619;218;20201;41068402;D0073;1
16506108;70;20479;41141192;D0073;1
16107021;140;20201;41069194;D0073;1
16132614;240;20107;41040871;D0073;1
16070215;429;20759;40971027;D0073;1
16073593;41;20679;41101839;D0073;1
16698256;121;20679;41146233;D0073;1
16624592;123;20305;41138341;D0073;1
16407774;141;20107;41110359;D0073;1
16142125;302;20201;41020103;D0073;1
15888627;432;20201;40951303;D0073;1
16506187;26;20479;41156200;D0073;1
16132529;290;20107;41039489;D0073;1
15910521;58;20759;41075685;D0073;1
16741852;298;20759;41094220;D0073;1
16484034;8;NULL;41159263;D3151;1
16548965;NULL;20319;41165935;D3151;1
16893042;107;20201;41169540;D3151;1
16323732;12;20305;41141214;D3151;1
16631029;9;NULL;41174766;D3151;1
15976847;4;NULL;41104889;D3151;1
16323732;12;20305;41141207;D3151;1
16561714;NULL;NULL;41210417;D3151;1
16584749;7;NULL;41170814;D3151;1
16383544;8;NULL;41147200;D3151;1
16374997;NULL;20319;41142828;D3151;1
16764264;NULL;NULL;41184974;D3151;1
15986708;NULL;NULL;41104998;D3151;1
15916939;NULL;NULL;41099342;D3151;1
16149436;28;20305;41115755;D3151;1
16491045;1;NULL;41163089;D3151;1
16601890;5;NULL;41172430;D3151;1
16860980;90;20679;41172391;D3151;1
16596856;4;NULL;41175245;D3151;1
16093891;4015;20227;30186279;D3151;1
16319789;4;NULL;41143496;D3151;1
16513623;5;20305;41166342;D3151;1
16236497;6;NULL;41131847;D3151;1
16778627;2;NULL;41193281;D3151;1
