Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Kazenski zakonik;Šifra kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;----------------;-----------------------;--------------;-------------------;--------------------;------------------------
41021844;2018-6;1;50;m;KZ-1;197010;NULL;0;NULL;D5092
41092218;2019-1;1;40;m;KZ-1;211051;NULL;0;NULL;D0003
41089612;2019-1;1;48;m;KZ-1;122021;NULL;0;NULL;D0074
41089752;2017-5;1;NULL;;KZ-1;228010;NULL;0;NULL;D0003
41089779;2019-1;1;43;m;KZ-1;204021;NULL;0;NULL;D0003
41090560;2019-1;1;35;m;KZ-1;122010;NULL;0;NULL;D0981
41086137;2018-12;1;42;m;KZ-1;204021;NULL;0;NULL;D0003
41092943;2019-1;1;12;m;KZ-1;204010;NULL;0;NULL;D0003
41085105;2018-12;1;33;m;KZ-1;211051;NULL;0;NULL;D0003
41085124;2018-12;1;17;m;KZ-1;210010;NULL;0;NULL;D0003
41146017;2019-6;1;43;ž;KZ-1;122010;NULL;0;NULL;D0003
41084311;2018-12;1;NULL;;KZ-1;211051;NULL;0;NULL;D0003
41146889;2019-6;1;57;m;KZ-1;206020;NULL;0;NULL;D0966
41146892;2019-6;1;57;m;KZ-1;206020;NULL;0;NULL;D0966
41146893;2019-6;1;46;m;KZ-1;206020;NULL;0;NULL;D0098
41146932;2019-6;1;42;m;KZ-1;235010;NULL;0;NULL;D0966
41146933;2019-6;1;42;m;KZ-1;249010;NULL;0;NULL;D0966
41149027;2019-6;1;26;m;KZ-1;208010;NULL;0;NULL;D0003
41146901;2019-6;1;46;m;KZ-1;186010;NULL;0;NULL;D0098
41093039;2019-1;1;61;m;KZ-1;204021;NULL;0;NULL;D0003
41128173;2019-4;1;57;m;KZ-1;211051;NULL;0;NULL;D0003
41128542;2019-4;1;NULL;m;KZ-1;227010;NULL;0;NULL;D0966
41128543;2019-4;1;NULL;m;KZ-1;228010;NULL;0;NULL;D0966
41129198;2019-4;1;30;m;KZ-1;205011;NULL;0;NULL;D1465
41131111;2019-4;1;48;ž;KZ-1;191021;NULL;0;NULL;D0966
41132923;2019-5;1;34;m;KZ-1;204021;NULL;0;NULL;D0003
41131724;2019-5;1;39;m;KZ-1;204010;NULL;0;NULL;D0098
41131725;2019-5;1;34;m;KZ-1;204010;NULL;0;NULL;D0098
41131582;2019-4;1;38;m;KZ-1;206010;NULL;0;NULL;D5092
41136140;2019-5;1;26;m;KZ-1;211051;NULL;0;NULL;D0073
41131326;2019-4;1;48;m;KZ-1;228010;NULL;0;NULL;D0003
41138591;2019-5;1;NULL;;KZ-1;230010;NULL;0;NULL;D0966
41138658;2019-5;1;26;m;KZ-1;204021;NULL;0;NULL;D0003
41130452;2019-4;1;41;m;KZ-1;204021;NULL;0;NULL;D0003
41139326;2019-5;1;49;m;KZ-1;205011;NULL;0;NULL;D1465
41139921;2019-5;1;42;m;KZ-1;205011;NULL;0;NULL;D0003
41139938;2019-5;1;42;m;KZ-1;220021;NULL;0;NULL;D0003
41141069;2019-5;1;33;ž;KZ-1;208050;NULL;0;NULL;D0003
41142754;2019-6;1;51;m;KZ-1;314041;NULL;0;NULL;D0981
41145186;2019-6;1;46;m;KZ-1;204010;NULL;0;NULL;D0003
41145319;2019-6;1;60;m;KZ-1;204021;NULL;0;NULL;D0003
41145321;2019-4;1;28;m;KZ-1;204021;NULL;0;NULL;D0098
41145329;2019-6;1;35;m;KZ-1;204021;NULL;0;NULL;D0003
