ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
16282993;NULL;NULL;41139935;D1460;1
16607711;127;20749;41135466;D1469;1
16804334;20;20067;41188960;D0109;1
16726106;98;21001;41150076;D0073;1
16711524;498;20261;41021844;D5092;1
16193379;770;20103;40874643;D0074;1
16797127;40;20241;41183536;D0003;1
16587060;2788;21001;40830451;D0003;1
16785080;NULL;20103;41064215;D0003;1
16562986;46;20407;41153696;D0021;1
16484693;163;20103;41106488;D0092;1
15873109;255;20067;41008254;D1460;1
16101541;14;NULL;41119957;D3150;1
16653878;NULL;21001;40976882;D0073;1
16324317;1824;20273;40560914;D1469;1
16020160;13;20261;41105927;D0966;1
16705786;7544;20223;30139066;D0003;1
16574138;2406;20273;30333833;D0003;1
15896084;312;20241;40996500;D0003;1
16014195;545;20067;40927958;D5245;1
16847793;18;20271;41186468;D0021;1
16639159;62;20241;41170669;D0020;1
17001589;38;20749;41198710;D5092;1
16013913;29;20241;41113302;D0014;1
16213122;241;20749;41047044;D0073;1
16574300;2748;20273;40699838;D0003;1
16162498;1231;20241;40947107;D3149;1
15997156;390;20261;40977505;D5092;1
16187306;92;20241;41092958;D0073;1
16910067;1412;21001;40754164;D3151;1
16865276;5;20241;41202848;D0003;1
16418012;234;20241;41074850;D0109;1
15900501;334;20103;41080667;D0003;1
15959877;140;20241;41056256;D5092;1
16329628;665;20241;40930359;D0073;1
16483778;313;20261;41055224;D0098;1
16838226;46;20241;41184215;D0003;1
16573918;1264;20273;40767287;D0003;1
15982917;71;21001;41081564;D0014;1
16846161;38;20241;41187784;D0003;1
16974848;18;20261;41204384;D0966;1
15952111;758;20241;40853836;D0094;1
16297349;719;20241;40900419;D1469;1
16686585;640;20749;40972643;D1177;1
16917927;1415;21001;40754257;D0073;1
16480593;41;20261;41146795;D0082;1
16394309;119;20241;41113707;D1472;1
15843111;1124;20749;40733927;D0003;1
16522326;718;20749;40930164;D5093;1
16816874;16;20273;41192800;D0073;1
16323211;241;20749;41062774;D1175;1
16358677;367;21001;41060299;D1469;1
16586616;1738;20261;40619758;D5245;1
16353357;50;20273;41130442;D0073;1
17001328;702;20261;40977521;D5092;1
15933650;240;20241;41021328;D1469;1
16562114;92;20103;41171546;D3151;1
16384348;57;20241;41130812;D0003;1
16648349;1127;20241;41058774;D3151;1
17007661;NULL;20273;41216885;D5092;1
15842022;1945;20067;40621767;D0003;1
16910519;79;20067;41180579;D0966;1
16793021;16;20103;41188718;D0073;1
16733260;347;20261;41114225;D0003;1
15858832;531;21209;40918285;D0021;1
16297112;221;21001;41067572;D0003;1
16910067;1412;21001;40754247;D3151;1
17001328;702;20261;40977509;D5092;1
16502588;1603;20221;40653234;D0003;1
16795862;41;20103;41182559;D0003;1
15938687;1819;20749;40742310;D0003;1
16875275;84;20241;41189868;D0003;1
16101541;29;NULL;41177870;D3150;1
16292430;230;20241;41062194;D1166;1
16917927;1415;21001;40754124;D0073;1
16535749;265;20067;41072754;D0020;1
16621944;496;20749;41013353;D0966;1
16124795;321;20103;41015159;D0003;1
16391339;89;20749;41114053;D0074;1
16038780;406;20261;40977521;D1005;1
16880843;4;20241;41204416;D0003;1
16164925;327;21001;41037405;D0003;1
16514703;873;21001;40881114;D0003;1
16800630;110;20241;41161171;D1166;1
16126103;91;20103;41084960;D1460;1
16870073;167;20067;41148345;D5092;1
16148872;1;20273;41124870;D0074;1
16760565;1719;20221;40750215;D0003;1
15937826;NULL;20261;41095327;D0003;1
16508650;434;21001;41008969;D0073;1
16578619;755;20749;40930086;D1469;1
16631724;44;20241;41164367;D5092;1
16332781;156;21015;41146308;D5092;1
16316047;134;20273;41096394;D1469;1
16395662;NULL;21001;41148145;D0003;1
16370368;138;20241;41104851;D5244;1
16233826;24;20261;41126905;D3151;1
16911640;31;20241;41197365;D0098;1
15993738;1126;20749;40840144;D0003;1
16573971;1425;20273;40716573;D0003;1
16342768;1237;20749;40775575;D1469;1
16038270;7;20241;41110285;D0966;1
16854565;505;20241;41033594;D1469;1
16625433;65;20273;41155791;D0082;1
16746926;390;20103;41059457;D0003;1
16565418;808;20273;41022970;D0082;1
16338711;1;NULL;41146892;D0082;1
16686883;1113;20261;40820186;D0073;1
16397585;619;20067;40947505;D0014;1
15960711;7;20241;41102849;D0003;1
16703553;8719;20223;30139925;D0003;1
16895689;92;20273;41174860;D0003;1
16126112;250;20273;41034926;D1460;1
16447958;132;20241;41116507;D0003;1
16402174;1;20067;41154110;D0082;1
16593653;27;20241;41174903;D0014;1
16125870;31;20241;41115487;D0073;1
16794823;55;20241;41178263;D0003;1
17007661;NULL;20273;41216873;D5092;1
16495727;NULL;21001;41030628;D1472;1
16574300;2724;20273;40638591;D0003;1
16331666;176;20067;41084703;D1165;1
16760565;1719;20221;40750203;D0003;1
15842860;1792;20749;40742312;D1469;1
15906068;315;20103;40996776;D1469;1
