Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Kazenski zakonik;Šifra kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;----------------;-----------------------;--------------;-------------------;--------------------;------------------------
41108955;2019-2;0;39;m;KZ-1;259010;6;0;44.32;D0073
41108997;2019-2;1;37;m;KZ-1;266000;6;0;10.68;D0073
41108998;2019-2;1;39;m;KZ-1;266000;6;0;NULL;D0073
41109003;2019-2;1;40;m;KZ-1;141031;6;0;0.00;D0003
41109009;2019-2;1;32;m;KZ-1;266000;6;0;NULL;D0073
41109449;2019-2;1;47;m;KZ-1;209021;6;0;NULL;D0966
41109450;2019-2;1;31;m;KZ-1;209021;6;0;0.00;D0966
41110318;2019-2;6;43;m;KZ-1;260010;NULL;0;NULL;D0966
41110681;2019-2;1;33;m;KZ-1;211010;NULL;0;NULL;D0003
41110993;2019-2;1;41;m;KZ-1;211010;6;0;13500.00;D0073
41111608;2019-3;1;34;ž;KZ-1;138021;6;0;NULL;D0003
41111949;2019-2;1;40;m;KZ-1;122010;NULL;0;NULL;D0966
41111989;2019-3;1;38;m;KZ-1;259010;6;0;NULL;D0966
41112556;2018-11;1;42;m;KZ-1;143010;6;0;NULL;D0008
41112891;2019-3;1;NULL;m;KZ-1;257030;6;0;NULL;D0073
41113242;2019-3;1;34;ž;KZ-1;284030;6;0;NULL;D1465
41113243;2019-3;1;34;ž;KZ-1;283010;6;0;0.00;D1465
41113346;0000-00;NULL;NULL;m;KZ-1;251010;6;0;35.00;D0003
41113347;0000-00;NULL;36;m;KZ-1;251010;6;0;103.49;D0003
41113469;2019-3;1;40;m;KZ-1;191010;6;0;NULL;D0073
41114223;2019-3;6;54;m;KZ-1;324010;6;0;0.00;D0098
41114612;2019-3;1;48;m;KZ-1;144021;NULL;0;NULL;D0003
41114613;2019-3;1;32;m;KZ-1;144021;NULL;0;NULL;D0003
41114614;2019-3;1;34;ž;KZ-1;144021;NULL;0;NULL;D0003
41114615;2019-3;1;39;m;KZ-1;144021;NULL;0;NULL;D0003
41115329;2018-10;1;41;m;KZ-1;208010;6;0;NULL;D0003
41116026;2019-2;1;41;m;KZ-1;141031;6;0;NULL;D0003
41116027;2019-2;1;NULL;;KZ-1;141031;6;0;NULL;D0003
41116028;2019-2;1;NULL;m;KZ-1;141031;6;0;NULL;D0003
41116029;2019-2;1;NULL;m;KZ-1;141031;6;0;NULL;D0003
41116030;2019-2;1;NULL;m;KZ-1;141031;6;0;NULL;D0003
41116031;2019-2;1;NULL;m;KZ-1;141031;6;0;NULL;D0003
41116032;2019-2;1;NULL;m;KZ-1;141031;6;0;NULL;D0003
41116033;2019-2;1;NULL;m;KZ-1;141031;6;0;NULL;D0003
41116034;2019-2;1;NULL;;KZ-1;141031;6;0;NULL;D0003
41116084;2019-3;1;NULL;m;KZ-1;257010;6;0;NULL;D0966
41116085;2019-3;1;NULL;m;KZ-1;257010;6;0;NULL;D0966
41116226;2019-3;0;32;m;KZ-1;258000;6;0;0.00;D0098
41116228;2019-3;0;35;ž;KZ-1B;258000;6;0;NULL;D0098
41116238;2019-3;1;45;m;KZ-1;143042;NULL;0;NULL;D0966
41116313;2019-3;1;31;m;KZ-1;257010;6;0;1400.00;D0966
41116517;2019-3;1;44;m;KZ-1;258000;NULL;0;NULL;D0073
41116521;2019-3;1;39;ž;KZ-1;257010;NULL;0;NULL;D0073
41116609;2019-3;1;42;m;KZ-1;209010;6;0;0.00;D0073
41116618;2019-3;1;42;m;KZ-1;211010;6;0;500.00;D0073
41116635;2019-3;1;38;m;KZ-1;257010;NULL;0;NULL;D0003
41116636;2019-3;1;35;ž;KZ-1;257010;NULL;0;NULL;D0003
41116888;2019-3;1;45;m;KZ-1;266000;6;0;NULL;D0073
41116893;2019-3;1;39;m;KZ-1;284010;6;0;NULL;D0003
41117030;2019-2;1;NULL;m;KZ-1;266000;6;0;NULL;D0073
41117036;2019-2;1;47;m;KZ-1;266000;6;0;NULL;D0966
41117037;2019-2;1;31;m;KZ-1;266000;6;0;NULL;D0966
41117174;2019-3;6;NULL;m;KZ-1;209010;6;0;NULL;D0073
41118833;2019-3;1;45;m;KZ-1;197010;6;0;NULL;D0008
41118834;2019-3;1;36;m;KZ-1;197010;6;0;NULL;D0008
41119726;2019-3;1;36;m;KZ-1;284010;6;0;0.00;D1465
41119735;2019-3;1;37;m;KZ-1;259010;6;0;100.00;D0073
41119736;2019-3;1;37;m;KZ-1;259010;6;0;0.00;D0073
41119737;2019-3;1;36;ž;KZ-1;259010;6;0;0.00;D0073
