Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Kazenski zakonik;Šifra kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;----------------;-----------------------;--------------;-------------------;--------------------;------------------------
41073402;2018-11;0;38;ž;KZ-1;249010;NULL;0;NULL;D0966
40820866;2016-9;0;NULL;;KZ-1;240021;NULL;0;NULL;D3118
40820823;2016-9;0;64;m;KZ-1;240021;NULL;0;NULL;D3118
40820824;2016-9;0;42;m;KZ-1;240021;NULL;0;NULL;D3118
40820825;2016-9;0;43;m;KZ-1;240021;NULL;0;NULL;D3118
40820826;2016-9;0;49;m;KZ-1;240021;NULL;0;NULL;D3118
40820827;2016-9;0;NULL;;KZ-1;240021;NULL;0;NULL;D3118
40820833;2016-9;0;69;m;KZ-1;240021;NULL;0;NULL;D3118
40820834;2016-9;0;46;m;KZ-1;240021;NULL;0;NULL;D3118
40820835;2016-9;0;53;m;KZ-1;240021;NULL;0;NULL;D3118
40820836;2016-9;0;NULL;;KZ-1;240021;NULL;0;NULL;D3118
40820843;2016-9;0;44;m;KZ-1;240021;NULL;0;NULL;D3118
40820846;2016-9;0;NULL;;KZ-1;240021;NULL;0;NULL;D3118
10290337;2011-3;0;48;m;KZ-1;245032;NULL;0;NULL;D0981
40811524;2016-8;0;NULL;;KZ-1;240021;NULL;0;NULL;D0098
40811527;2016-8;0;46;m;KZ-1;240021;NULL;0;NULL;D3118
10289067;2013-10;0;43;m;KZ-1;204010;NULL;0;NULL;D5092
10289070;2013-10;0;43;m;KZ-1;235020;NULL;0;NULL;D5092
10289072;2013-10;0;43;m;KZ-1;228021;NULL;0;NULL;D5092
10288973;2012-6;0;42;m;KZ-1;257053;NULL;0;NULL;D0098
10288975;2012-6;0;42;m;KZ-1;257053;NULL;0;NULL;D0092
10288976;2012-6;0;54;m;KZ-1;257053;NULL;0;NULL;D0092
10288977;2012-6;0;27;ž;KZ-1;257053;NULL;0;NULL;D0098
10288978;2012-6;0;37;m;KZ-1;257053;NULL;0;NULL;D0098
10288979;2012-6;0;40;m;KZ-1;257053;NULL;0;NULL;D0098
10288980;2012-6;0;50;m;KZ-1;257053;NULL;0;NULL;D0092
40754110;2016-2;0;41;ž;KZ-1;249020;NULL;0;NULL;D0094
40726057;2015-9;0;32;;KZ-1;240021;NULL;0;NULL;D1179
40726058;2015-9;0;35;m;KZ-1;240010;NULL;0;NULL;D0981
40727682;2014-4;0;68;m;KZ-1;249010;NULL;0;NULL;D3151
40722394;2015-11;0;47;;KZ-1;240021;NULL;0;NULL;D1465
40722402;2015-11;0;34;m;KZ-1;240021;NULL;0;NULL;D1465
40758784;2015-8;0;39;m;KZ-1;257010;NULL;0;NULL;D0003
40758787;2015-8;0;44;ž;KZ-1;261010;NULL;0;NULL;D0003
40842953;2016-11;0;42;m;KZ-1;228021;NULL;0;NULL;D1465
40842954;2016-11;0;42;m;KZ-1;240021;NULL;0;NULL;D1465
40843005;2016-11;0;53;m;KZ-1;240021;NULL;0;NULL;D0008
40852985;2016-12;0;43;m;KZ-1;229031;NULL;0;NULL;D0098
40852986;2016-12;0;61;m;KZ-1;229031;NULL;0;NULL;D0098
40852987;2016-12;0;42;m;KZ-1;240010;NULL;0;NULL;D0008
40852988;2016-12;0;59;m;KZ-1;240010;NULL;0;NULL;D0008
40852989;2016-12;0;27;m;KZ-1;240010;NULL;0;NULL;D0008
40852994;2016-12;0;28;m;KZ-1;245031;NULL;0;NULL;D0092
40852998;2016-12;0;28;m;KZ-1;235010;NULL;0;NULL;D0008
40748177;2014-9;0;45;m;KZ-1;285010;NULL;0;NULL;D1465
40748227;2016-1;0;48;m;KZ-1;240021;NULL;0;NULL;D1465
40748228;2016-1;0;55;m;KZ-1;240021;NULL;0;NULL;D1465
40748229;2016-1;0;39;ž;KZ-1;240021;NULL;0;NULL;D1465
40605905;2014-11;0;53;m;KZ-1;245031;NULL;0;NULL;D0981
40605898;2014-11;0;39;m;KZ-1;245031;NULL;0;NULL;D0981
40742033;2016-1;0;42;m;KZ-1;249041;NULL;0;NULL;D0981
40742042;2016-1;0;36;m;KZ-1;249041;NULL;0;NULL;D0981
10289797;2010-4;0;NULL;;KZ-1;228010;NULL;0;NULL;D0003
10289798;2010-4;0;NULL;;KZ-1;228010;NULL;0;NULL;D0003
40622962;2014-12;0;36;m;KZ-1;257053;NULL;0;NULL;D1465
40618743;2014-12;0;49;ž;KZ-1;240021;NULL;0;NULL;D3118
40654949;2015-3;0;40;m;KZ-1;113021;NULL;0;0.00;D1465
40654950;2015-3;0;40;m;KZ-1;113021;NULL;0;0.00;D1465
40654951;2015-3;0;40;m;KZ-1;113021;NULL;0;NULL;D1465
40655013;2015-3;0;33;m;KZ-1;113021;NULL;0;NULL;D1465
40655014;2015-3;0;33;m;KZ-1;113021;NULL;0;NULL;D1465
40655015;2015-3;0;33;m;KZ-1;113021;NULL;0;NULL;D1465
40655019;2015-3;0;41;m;KZ-1;113021;NULL;0;NULL;D1465
40655025;2015-3;0;43;m;KZ-1;113021;NULL;0;NULL;D1465
40640416;2015-2;0;52;m;KZ-1;245032;NULL;0;NULL;D1465
40640419;2015-2;0;52;m;KZ-1;245031;NULL;0;NULL;D1465
40646996;2015-3;0;54;m;KZ-1;257053;NULL;0;NULL;D0098
40646997;2015-3;0;58;m;KZ-1;257053;NULL;0;NULL;D0098
40646998;2015-3;0;NULL;;KZ-1;257053;NULL;0;NULL;D0105
40647000;2015-3;0;54;m;KZ-1;230010;NULL;0;NULL;D0098
40647001;2015-3;0;57;m;KZ-1;230010;NULL;0;NULL;D0098
40647002;2015-3;0;57;m;KZ-1;230010;NULL;0;NULL;D0098
40647004;2015-3;0;NULL;;KZ-1;230010;NULL;0;NULL;D0105
40647005;2015-3;0;54;m;KZ-1;235020;NULL;0;NULL;D0098
40647006;2015-3;0;57;m;KZ-1;235020;NULL;0;NULL;D0098
40656344;2015-1;0;54;m;KZ-1;227020;NULL;0;NULL;D0008
40647344;2015-3;0;38;m;KZ-1;244020;NULL;0;NULL;D3151
40649111;2015-3;0;22;m;KZ-1;243020;NULL;0;NULL;D0003
40649114;2015-3;0;48;m;KZ-1;243020;NULL;0;NULL;D0003
40637486;2015-2;0;33;m;KZ-1;242010;NULL;0;NULL;D0003
40637489;2015-2;0;33;m;KZ-1;242010;NULL;0;NULL;D0003
40637490;2015-2;0;26;m;KZ-1;242010;NULL;0;NULL;D0003
46612;2012-6;0;52;m;KZ-1;209041;NULL;0;0.00;D1179
40780650;2013-10;0;40;m;KZ-1;245032;NULL;0;NULL;D5092
