Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Kazenski zakonik;Šifra kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;----------------;-----------------------;--------------;-------------------;--------------------;------------------------
41050357;2018-9;7;54;m;KZ-1B;192010;6;0;0.00;D0003
41105108;2019-2;2;27;ž;KZ-1B;186010;6;0;0.00;D0073
41136949;2019-5;2;57;m;KZ-1B;324031;6;0;NULL;D0003
41160197;2019-7;7;23;ž;KZ-1B;192010;6;0;0.00;D0003
41100793;2019-1;7;22;ž;KZ-1B;192010;6;0;NULL;D1469
41057021;2018-9;1;31;m;KZ-1B;192010;6;0;100.00;D0003
41057022;2018-9;1;31;m;KZ-1B;192010;6;0;1500.00;D0003
41057023;2018-9;1;33;m;KZ-1B;192010;6;0;2300.00;D0003
41069185;2018-11;1;31;m;KZ-1B;186010;6;0;100.00;D0003
41090514;2019-1;1;41;m;KZ-1B;192010;6;0;0.00;D0082
41100095;2019-2;1;27;m;KZ-1B;228010;6;0;NULL;D0073
41112184;2019-3;1;38;m;KZ-1B;192020;6;0;0.00;D0082
41112185;2019-3;1;38;m;KZ-1B;192020;6;0;NULL;D0008
41115720;2019-3;1;16;m;KZ-1B;191010;6;0;NULL;D0981
41115721;2019-3;1;19;m;KZ-1B;122010;6;0;40.00;D0981
41037391;2018-7;1;54;;KZ-1B;257010;6;0;NULL;D0003
41053157;2018-9;1;25;m;KZ-1B;123010;6;0;NULL;D0981
41085206;2018-12;1;42;m;KZ-1B;135010;6;0;NULL;D0003
41081509;2018-12;1;33;m;KZ-1B;173030;6;0;0.00;D1465
41083541;2018-12;1;49;m;KZ-1B;122010;6;0;NULL;D1469
41073261;2018-11;1;36;m;KZ-1B;191010;6;0;NULL;D0003
41117713;2019-3;1;32;m;KZ-1;176020;6;0;0.00;D1465
41116182;2019-3;1;43;ž;KZ-1;208010;6;0;900.00;D0003
41117172;2019-3;1;23;m;KZ-1;191010;6;0;600.00;D0003
41117188;2019-2;1;52;ž;KZ-1;228010;6;0;0.00;D0082
41208324;0000-00;NULL;59;ž;KZ-1B;324041;6;0;1200.00;D0007
41111456;2019-2;1;30;m;KZ-1B;192010;6;0;NULL;D0003
41111457;2019-2;1;31;m;KZ-1B;192010;6;0;NULL;D0003
41111458;2019-2;1;30;m;KZ-1B;192010;6;0;0.00;D0003
41107174;2019-2;1;36;ž;KZ-1B;192010;6;0;0.00;D0003
