ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
16066498;781;20215;40874615;D1131;1
16629378;3656;20643;10179617;D1469;1
16271826;157;20465;41087443;D3151;1
16028880;164;20217;41053590;D0082;1
16748972;45;21443;41146307;D0003;1
15860724;2580;20643;10176472;D1469;1
16294008;721;21443;40900119;D0003;1
16088959;1196;20215;40772322;D0003;1
16278337;138;20217;41092484;D0020;1
16713449;15;20643;41180238;D1472;1
16350234;NULL;NULL;41148428;D3151;1
16316635;3686;20217;10001035;D0003;1
16587763;45;20217;41161464;D8001;1
15960556;1329;20643;40682110;D5092;1
16836958;1582;20465;40694265;D1469;1
16621305;NULL;20217;41158987;D1472;1
16773273;92;20215;41162916;D0003;1
17030682;106;20465;41145370;D0003;1
16840563;799;20215;40985891;D0003;1
15934395;227;20215;41024670;D0003;1
16885048;486;20465;41109081;D0092;1
15983704;1133;20217;40742977;D5268;1
16278492;2406;21443;10174593;D0003;1
16615261;77;21443;41154152;D0003;1
16222315;44;20779;41116750;D0021;1
16660464;1113;20215;40831033;D1469;1
16419060;98;20465;41123486;D1460;1
16237079;1426;20643;40680845;D0003;1
16671526;16;21443;41182968;D0098;1
16599358;50;20215;41154206;D0014;1
15907844;115;20465;41059214;D5092;1
15933430;NULL;20465;41037606;D1469;1
16590167;111;21443;41141654;D0003;1
16829917;87;20215;41175515;D0014;1
16113324;1250;20643;40721438;D0003;1
16556700;28;20215;41162662;D0098;1
16678048;3;20215;41183669;D0014;1
16313341;3349;20465;10178659;D0003;1
16892726;92;20465;41173762;D0003;1
16490831;58;20643;41144669;D0073;1
16354000;2430;20217;10174597;D0003;1
16504687;717;21443;40918174;D1469;1
16907300;439;20465;41209078;D0014;1
16851580;78;20217;41174627;D0003;1
16086963;804;20465;40881711;D0003;1
16151825;220;20217;41048572;D0003;1
16645533;28;20215;41168194;D0074;1
16748939;452;21443;40990089;D0003;1
16745824;495;20217;41028177;D0003;1
16159118;14;20217;41119240;D0003;1
16481969;3674;20643;10000751;D0003;1
16364691;1954;20215;40515243;D1469;1
16176429;NULL;20217;40608343;D1469;1
16684374;3656;20217;10179649;D1469;1
16347735;2;NULL;41148148;D3151;1
16311694;83;20217;41115140;D0098;1
16910775;NULL;20217;41209424;D1313;1
16500965;1;NULL;41164421;D3151;1
16287504;2275;20643;10174810;D0003;1
16637233;12;83581279;41173761;D0021;1
16281394;42;20217;41127597;D0003;1
16731233;2191;20215;40476348;D0003;1
16638017;24;21207;41170115;D0021;1
16437345;NULL;20215;41155668;D1472;1
16347292;104;21443;41114143;D0003;1
16873187;376;20643;41057121;D0003;1
16673466;NULL;21443;41164173;D1472;1
16519638;44;20465;41152778;D1165;1
16738989;NULL;20215;41181970;D1472;1
16166140;32;20465;41115193;D0021;1
16158079;13;20217;41120761;D0003;1
15999677;73;20215;41081192;D0073;1
17066765;3463;20217;20248103;D1175;1
16076881;1;NULL;41115488;D3151;1
16420644;NULL;20215;41175515;D3151;1
16127111;NULL;20465;41120796;D0968;1
16272068;NULL;20465;41095511;D0003;1
16289714;1471;20215;40671841;D1469;1
16888372;17;21443;41178574;D0966;1
16309498;2;NULL;41141896;D3151;1
16208920;1392;20215;40687737;D1469;1
16400053;NULL;20643;41153720;D1279;1
16215249;1393;20215;40687737;D0003;1
16708463;41;20465;41170731;D1165;1
16110911;163;20215;41061959;D0098;1
16224378;64;20023;41112543;D0021;1
16242753;412;21443;40999030;D0073;1
16113324;1250;20643;40721400;D0003;1
16653207;892;83939337;40898055;D0020;1
16068526;381;21215;40990091;D0021;1
16327432;31;20215;41126395;D1460;1
16394735;3809;20465;10180666;D1469;1
16180896;124;20465;41084068;D1317;1
16141427;1744;20643;40651398;D0003;1
16255881;3870;20465;10001332;D0003;1
16915662;13;20465;41206371;D5092;1
16856107;105;20465;41167995;D0966;1
15961300;3520;20465;10180286;D0003;1
16749881;20;20643;41125070;D1469;1
16695208;37;20643;41170069;D0003;1
16420644;NULL;20215;41207556;D3151;1
15876795;780;20643;40872980;D1469;1
16741059;NULL;21443;41174830;D1472;1
16718984;4;20217;41185851;D5092;1
16349768;311;21093;41043568;D0021;1
16370693;3623;20215;10000777;D0003;1
15946424;NULL;20217;41138722;D0020;1
16194668;NULL;20217;41095895;D0003;1
15852093;36;20643;41079972;D1316;1
16248759;44;20217;41119964;D0003;1
16270722;584;21443;40947617;D0003;1
16310317;3069;20465;10173257;D0968;1
16776288;1;20643;41193912;D3151;1
15892871;NULL;20217;41020806;D0003;1
16509416;165;20643;41113934;D0003;1
16749037;89;21443;41114143;D0003;1
16283420;2316;20217;10174752;D0003;1
15958601;58;20465;41086166;D0073;1
16721781;126;21443;41102266;D1166;1
16224844;8;20217;41129823;D1165;1
16327432;262;20215;41037772;D1460;1
16710369;3513;20217;10178917;D1469;1
16521051;178;20643;41108381;D0966;1
16636597;47;21225;41194659;D0021;1
16315926;3772;20217;10001118;D0003;1
16915662;13;20465;41206383;D5092;1
16065800;104;20643;41079632;D0003;1
16529259;929;20215;40864240;D0003;1
16616922;712;20643;40943136;D3151;1
16888681;414;20217;41067941;D0003;1
16485779;1;NULL;41163435;D3151;1
16694680;2;20217;41182301;D3151;1
16112589;43;20217;41109577;D0003;1
16602773;2;NULL;41174209;D3151;1
16786490;22;NULL;41186740;D0021;1
16167286;22;20215;41117390;D3151;1
16302467;3844;20217;10001190;D0003;1
15983886;35;20217;41094496;D0073;1
16362442;3797;20465;10180657;D0003;1
16165801;46;83571203;41110007;D0021;1
16270642;3362;20217;10178917;D0003;1
16750257;NULL;20643;41134951;D1472;1
16602225;NULL;20465;40971167;D1469;1
16750365;1;20643;41192150;D3151;1
16382478;30;20465;41142161;D0003;1
16327432;255;20215;41040899;D1460;1
16419342;140;21443;41138713;D0082;1
16756144;3726;20217;10179783;D0003;1
16190174;51;21443;41111410;D0003;1
16749084;155;21443;41125624;D0003;1
16271930;99;20655;41105109;D0021;1
16438045;NULL;20217;41145320;D1472;1
16240853;18;21443;41131368;D5092;1
16355118;92;20215;41113270;D5092;1
16027753;195;20217;41041514;D0014;1
16365290;35;20217;41138912;D1166;1
16660464;1046;20215;40874615;D1469;1
16294273;1091;20215;40790933;D1469;1
16442257;531;20217;40984460;D5092;1
16288420;2233;20643;10174938;D0003;1
16505162;546;20215;40970211;D1469;1
16208920;1448;20215;40671841;D1469;1
16262901;73;21443;41114144;D0073;1
16860833;73;20465;41081585;D1166;1
16187201;422;20217;40992412;D0003;1
15868604;42;20217;41079847;D0003;1
16263321;540;20215;40957892;D0003;1
16536283;NULL;20465;41138481;D1472;1
16873413;51;20215;41186838;2;1
16286166;4696;21443;20264757;D0003;1
16847794;78;20643;41177212;D0021;1
16739973;2320;20643;10199291;D0003;1
16315830;3632;20465;10000734;D0003;1
16403069;NULL;20465;41101238;D0003;1
16590512;797;20215;40911802;D0003;1
16247110;152;20215;41083541;D0073;1
16796982;NULL;20465;41193182;D1472;1
16795487;889;20217;40902987;D0003;1
16306256;50;20215;41127612;D0003;1
16583150;NULL;21443;41174571;D1317;1
16365054;29;21443;41135484;D1166;1
16001902;71;20465;41085120;D0073;1
16394735;3809;20465;10180678;D1469;1
16550620;NULL;20215;41167092;D0003;1
16163315;39;20525;41114119;D0021;1
16801189;3785;20465;10179894;D0003;1
16009701;NULL;21443;41080904;D0003;1
16127486;1548;20217;40628249;D0003;1
15855602;35;20217;41078792;D0082;1
16029010;27;20215;41102511;D0098;1
16302385;3897;20217;10001312;D1469;1
16244205;NULL;21443;40892688;D0003;1
16793327;192;20465;41131637;D0098;1
16319931;3668;20215;10000881;D0003;1
15937710;22;20215;41091686;D0073;1
16162728;1217;20215;40772321;D1469;1
16046042;70;20215;41089572;D0073;1
16031954;153;20465;41059215;D0073;1
16398947;43;20215;41138845;D1166;1
16655810;672;20215;41001870;D0003;1
16778581;3643;20465;10000724;D0003;1
15889190;NULL;20215;41095907;D0003;1
16626743;8;20459;41173397;D0021;1
16823485;212;20217;41197957;D0014;1
16128138;626;20217;40914777;D0003;1
16250873;NULL;20643;40945158;D1469;1
16898178;2187;20215;40496833;D0003;1
